evidence_id,current_inference_level,recommended_inference_level,tier,strict_quote_match,strict_anchor_match,phrase_hit_rate,change
EV-KP-styling_rule-pcg-moment-over-category,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-styling_rule-process-trace-rejected-garment,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-styling_rule-process-trace-single-hard-fake-step,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-styling_rule-product-journey-sample-version-tree,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-knowledge-not-teacher-but-event,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-product-review-anti-filter-pledge,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-styling_rule-product-journey-vs-process-trace-boundary,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-product_attribute-compatibility-matrix-two-layer-truth-source,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-product_attribute-compatibility-edge-support-risk-reason-shell,low,low,T2_paraphrase_authentic,False,False,0.94,no_change
EV-KP-product_attribute-compatibility-derived-view-combination-formula,low,low,T2_paraphrase_authentic,False,False,0.97,no_change
EV-KP-product_attribute-compat-matrix-truth-source-layering,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-product_attribute-platform-tone-vs-private-outlet-channel-parallel,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-service_judgment-derived-view-risk-inherits-from-source-edge,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-service_judgment-product-review-concerns-clearance-on-spot,low,low,T2_paraphrase_authentic,False,False,0.95,no_change
EV-KP-styling_rule-behind-scenes-parallel-split-screen,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-styling_rule-behind-scenes-store-soundprint,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-styling_rule-daily-fragment-fixed-corner-time-fold,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-styling_rule-daily-fragment-sensory-sort-not-time,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-styling_rule-daily-fragment-single-chair-time-fold,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-styling_rule-ootd-micro-suspense-decision-chain,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-styling_rule-ootd-route-fitness-not-display,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-behind-scenes-near-disaster-narrative,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-training_unit-ootd-anti-hard-ad-discipline,low,low,T2_paraphrase_authentic,False,False,0.70,no_change
EV-KP-service_judgment-product-review-tactile-court-three-piece-compare,low,low,T2_paraphrase_authentic,False,False,0.93,no_change
EV-KP-training_unit-product-review-fabric-detective-spec-party,low,low,T2_paraphrase_authentic,False,False,1.00,no_change
EV-KP-service_judgment-product-review-concerns-clearance-on-spot-faye-positioning,low,low,T2_paraphrase_authentic,False,False,0.83,no_change
EV-KP-training_unit-role-profile-required-skills-binding,low,low,T2_paraphrase_authentic,False,False,0.91,no_change
