evidence_id,source_md,source_anchor,inference_level_current,strict_substring_hit,phrase_total,phrase_hits,phrase_hit_rate,best_span_excerpt,source_md_span_start,source_md_span_end,line_no,original_section_heading,adjudication_status,inference_level_recommended,recommendation_warning,adjudicator,rationale
EV-KP-styling_rule-premium-item-neutralization,Q7Q12-搭配陈列业务包/搭配规则包.md,6.1 规则 08 + 6.3 + 6.4 反转四,low,false,12,12,1.0,"仓库已直接把这条作为规则样例写进抽取协议,原理是""用基础款休闲单品搭配奢华单品,降低视觉压迫感"". ",4059,4109,133,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-styling_rule-face-brightness,Q7Q12-搭配陈列业务包/搭配规则包.md,6.1 规则 09 + 6.3,low,false,10,10,1.0,"顾客最直观的反馈首先是""脸色好不好""""我显不显老"". ",4523,4550,147,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-styling_rule-formality-consistency,Q7Q12-搭配陈列业务包/搭配规则包.md,6.1 规则 10 + 6.2,low,false,8,8,1.0,":西装 + 皮鞋 / 乐福鞋,衬衫 + 西裤,结构连衣裙 + 干净外套. fails_in",5055,5100,164,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-styling_rule-menswear-belt-shoe,Q7Q12-搭配陈列业务包/搭配规则包.md,6.1 规则 11 + 6.2 + 6.4 反转五,low,false,17,17,1.0,"在休闲,球鞋,工装,无腰带场景可放松;只要进入 formal dressing",7010,7049,236,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-styling_rule-single-problem-priority,Q7Q12-搭配陈列业务包/搭配规则包.md,6.1 规则 12 + 6.2,low,false,11,11,1.0,":顾客说显胖,就先解决显胖;说难搭,就先解决难搭. fails_in",5992,6026,192,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-styling_rule-substitution-priority-ladder,Q7Q12-搭配陈列业务包/搭配规则包.md,6.5,low,false,9,9,1.0,"尤其贵价单品救场时,材质像不像,往往比颜色像不像更关键. 第四优先:守 color_family(色系家族)",7245,7299,253,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-styling_rule-looks-good-but-unsellable,Q7Q12-搭配陈列业务包/搭配规则包.md,6.6,low,false,21,21,1.0,"皮草配缎裙配闪鞋配大耳环,远看成立,近看日常没法卖. formal_casual_mismatch_look",7707,7761,283,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-fabric_property-cotton-knit-familiar-trap,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,四、1. 棉针织 / 棉弹类,low,false,10,10,1.0,"最容易误导顾客的点有三条:纯棉不等于不透;纯棉不等于不变形;纯棉也不等于穿久了还保持领口利落. 正式风险提示冻结为:领口松,下摆卷,白浅色透,汗后贴身,机洗后回",2366,2461,68,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-fabric_property-viscose-modal-tencel-mirror-win,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,四、3. 粘胶 / 莫代尔 / 天丝类,low,false,8,8,1.0,". 最容易误导的是把""软垂""说成""修形"".很多时候它只是顺着身体线条走,不会帮顾客藏掉她在意的位置. 正式风险提示冻结为:贴肉,挂长,缝位变形,薄款暴露体表痕迹",2862,2955,-1,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-fabric_property-silk-acetate-satin-honest-fabric,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,四、4. 真丝 / 醋酸 / 缎面类,low,false,5,5,1.0,". 最容易误导的是只卖光泽,不讲暴露感. 正式风险提示冻结为:勾丝,水痕,压痕,静电,浅色透,局部发白,体表痕迹明显;",3153,3212,-1,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-fabric_property-wool-cashmere-care-claim-bound,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,四、5. 羊毛 / 羊绒 / 毛混类,low,false,7,7,1.0,"最容易误导的是""含毛=高级""""羊绒=永远不起球""""毛类=都要手洗"". 正式风险提示冻结为:摩擦位起球,包带处先老,局部起毛,毡缩,刺痒,肩肘膝鼓包.",3336,3410,96,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-fabric_property-denim-twill-mirror-not-truth,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,四、6. 牛仔 / 斜纹重棉类,low,false,5,5,1.0,". 最容易误导的是""显瘦有精神""就直接推,忽略久坐,蹲起,闷热,掉色和回缩. 正式风险提示冻结为:腰腹压迫,膝盖鼓包,裆部紧,深色掉色,未经充分预洗时存在回缩和",3564,3649,-1,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-fabric_property-chiffon-organza-layering-tool,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,四、7. 雪纺 / 欧根纱 / 轻透材,low,false,7,7,1.0,". 最容易误导的是把它当成""显瘦遮肉""单穿主力. 正式风险提示冻结为:透感,静电,勾丝,挂纱,缝口起皱;",3744,3796,-1,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-fabric_property-polyester-nylon-functional-no-blanket,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,四、8. 涤纶 / 锦纶 / 功能化纤类,low,false,5,5,1.0,". 最容易误导的是只讲""好打理"",不讲闷,静电,摩擦发亮,面料噪音. 正式风险提示冻结为:静电,热感,发亮,摩擦位先老,表面起毛,里外层手感落差大.",3932,4006,-1,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-craft_quality-preshrink-wash-set-after-sale-front,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,五、1. 预缩 / 水洗 / 定型,low,false,9,9,1.0,"这组正式定义为""售后前置工艺"". 它直接决定一件衣服洗后会不会缩,歪,扭,变短,决定裤线,裙摆,袖长会不会洗一次就走样. 门店说这件""耐穿,稳定,好打理""之前,",4056,4154,123,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-craft_quality-sewing-stitch-pucker-near-eye,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,五、2. 缝制质量,low,false,16,16,1.0,"这组正式定义为""近看质感工艺"". 顾客不一定会说 seam puckering",4246,4285,123,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-craft_quality-fusing-lamination-silhouette-gate,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,五、3. 粘合衬 / 贴合 / 复合,direct_quote,true,7,7,1.0,"这组正式定义为""轮廓成立工艺"". 领口,门襟,驳头,裤头,袖山,一旦衬用错或贴合不稳,陈列时还能撑,穿几次就可能翻边,起泡,脱层. 凡是要用""挺,立,利落,骨架",4486,4584,123,,direct_quote_verified,direct_quote,,auto,字面在原 MD（空白+标点归一）
EV-KP-craft_quality-dye-fastness-daily-risk,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,五、4. 染整 / 色牢度,direct_quote,true,8,8,1.0,"这组正式定义为""日常使用风险工艺"". 不是只有深色才要看色牢度,浅深拼接,浅色内搭,包带摩擦,汗液摩擦都要看. 凡是顾客会长期背包,贴身穿,或者浅深叠穿的单品,",4597,4695,123,,direct_quote_verified,direct_quote,,auto,字面在原 MD（空白+标点归一）
EV-KP-craft_quality-brushing-napping-aging-speed,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,五、5. 磨毛 / 拉毛 / 起绒 / 防起球,direct_quote,true,8,8,1.0,"这组正式定义为""第一触感与老化速度工艺"". 很多单品上手很讨喜,但三次之后就显旧,问题往往不在设计,而在表层处理和摩擦位耐受. 凡是卖点写""软,糯,绒,暖,亲肤",4718,4834,123,,direct_quote_verified,direct_quote,,auto,字面在原 MD（空白+标点归一）
EV-KP-craft_quality-pleat-topstitch-pattern-match-care,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,五、6. 压褶 / 明线 / 对条对格 / 细节收口,low,false,6,6,1.0,"百褶稳不稳,线迹直不直,格纹对不对,滚边净不净,顾客不一定会说术语,但一定会据此把衣服归类成""讲究""还是""将就"". 凡是要卖""做工感,品质感,工艺感""的单品,这",4898,4984,154,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-fabric_property-soft-not-equal-premium,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,六、误判 1,direct_quote,true,6,6,1.0,"正式纠偏:软只说明触感,不说明轮廓成立.软垂类面料要同步判断贴肉,挂长,暴露体表痕迹风险. 落盘对象:StylingRule(搭配规则),TrainingMat",5023,5115,160,,direct_quote_verified,direct_quote,,auto,字面在原 MD（空白+标点归一）
EV-KP-fabric_property-heavy-not-equal-quality,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,六、误判 2,direct_quote,true,5,5,1.0,"正式纠偏:重可能只是厚,闷,压身;质感要看表面,回弹,结构,缝制和使用后的稳定性. 落盘对象:Product(商品),TrainingMaterial(培训材料",5133,5215,165,,direct_quote_verified,direct_quote,,auto,字面在原 MD（空白+标点归一）
EV-KP-fabric_property-wrinkle-not-equal-low-grade,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,六、误判 3,direct_quote,true,5,5,1.0,"正式纠偏:有些皱是材质特性,不是低级;关键是顾客是否接受这种表情,以及场景是否允许. 落盘对象:FabricKnowledge(面料知识),TrainingMa",5233,5326,170,,direct_quote_verified,direct_quote,,auto,字面在原 MD（空白+标点归一）
EV-KP-fabric_property-gloss-not-equal-luxe,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,六、误判 4,direct_quote,true,5,5,1.0,"正式纠偏:光泽会同步放大体表痕迹,褶印,贴肉和廉价感;不是所有光泽都显贵. 落盘对象:StylingRule(搭配规则),Product(商品).",5345,5418,175,,direct_quote_verified,direct_quote,,auto,字面在原 MD（空白+标点归一）
EV-KP-fabric_property-pure-cotton-not-zero-risk,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,六、误判 5,direct_quote,true,4,4,1.0,"正式纠偏:纯棉也会透,会卷,会缩,会变形;针织棉更要看领口,下摆和洗后稳定性. 落盘对象:FabricKnowledge(面料知识),TrainingMater",5437,5527,180,,direct_quote_verified,direct_quote,,auto,字面在原 MD（空白+标点归一）
EV-KP-fabric_property-composition-only-no-scenario-bound,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,六、误判 6,direct_quote,true,4,4,1.0,"正式纠偏:成分只是起点,真正决定成交的是场景,动作,出汗,久坐,洗护,摩擦. 落盘对象:Product(商品),product_review(产品测评).",5545,5622,185,,direct_quote_verified,direct_quote,,auto,字面在原 MD（空白+标点归一）
EV-KP-craft_quality-store-risk-discipline-evidence-first,Q7Q12-搭配陈列业务包/面料工艺品质判断包.md,七、门店统一口径,direct_quote,true,8,8,1.0,"能不能机洗,看洗护标,不看感觉. 会不会缩水,看预缩 / 水洗 / 定型,不看""摸起来稳不稳"". 会不会起皱,看纤维,织法,整理,不看它挂着时平不平. 会不会透",5659,5863,192,,direct_quote_verified,direct_quote,,auto,字面在原 MD（空白+标点归一）
EV-KP-training_unit-microlearning-not-long-course,Q7Q12-搭配陈列业务包/培训与纠错包.md,二、训练原则 2.1+2.5,low,false,10,10,1.0,"scenario-based(情境训练),Do/Don't(正误对照),而不是长课. 外部学习科学也长期支持 retrieval practice(提取练习) ",354,450,26,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-training_unit-priority-by-impact-frequency-trust,Q7Q12-搭配陈列业务包/培训与纠错包.md,二、2.2 + 九、priority_error_group,low,false,11,11,1.0,conversion_impact(对成交影响),491,515,33,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-training_unit-standard-action-vs-judgment-skill,Q7Q12-搭配陈列业务包/培训与纠错包.md,二、2.4 + 十、training_split_policy,low,false,19,17,0.8947,standard_action(标准动作):可以拍成固定步骤,611,641,41,,paraphrase_located,low,,auto,phrase 命中率 89% ≥ 30%（有原文痕迹）
EV-KP-training_unit-customer-first-look-judgment,Q7Q12-搭配陈列业务包/培训与纠错包.md,五、C1 first_look_judgment,direct_quote,true,8,8,1.0,"C1 first_look_judgment(第一眼判断顾客诉求) 正确动作:先看顾客是在找场景,找问题解法,还是找某件具体衣服 错误动作:一上来就报卖点,报价",1352,1514,87,,direct_quote_verified,direct_quote,,auto,字面在原 MD（空白+标点归一）
EV-KP-training_unit-try-on-guidance-one-main-one-backup,Q7Q12-搭配陈列业务包/培训与纠错包.md,五、C2 try_on_guidance,direct_quote,true,6,6,1.0,"C2 try_on_guidance(试穿引导) 正确动作:先解决顾客最担心的一点再让她试 错误动作:拿 3-5 件一股脑塞进试衣间 为什么错:信息过载,试穿质",1515,1650,93,,direct_quote_verified,direct_quote,,auto,字面在原 MD（空白+标点归一）
EV-KP-training_unit-body-shape-objection-structure-points,Q7Q12-搭配陈列业务包/培训与纠错包.md,五、C3 body_shape_objection,direct_quote,true,6,6,1.0,"C3 body_shape_objection(身型顾虑应对) 正确动作:用版型,比例,重心解释 错误动作:空喊""显瘦""""显高"" 为什么错:没有证据,像套路 怎",1651,1778,99,,direct_quote_verified,direct_quote,,auto,字面在原 MD（空白+标点归一）
EV-KP-training_unit-fabric-touch-before-spec,Q7Q12-搭配陈列业务包/培训与纠错包.md,五、C4 fabric_touch_explanation,direct_quote,true,4,4,1.0,"C4 fabric_touch_explanation(面料体感解释) 正确动作:让顾客摸关键点再解释 错误动作:只讲参数 为什么错:服装很多成交靠体感,不靠术",1779,1899,105,,direct_quote_verified,direct_quote,,auto,字面在原 MD（空白+标点归一）
EV-KP-training_unit-styling-error-top-priority-eight,Q7Q12-搭配陈列业务包/培训与纠错包.md,六/七/九,low,false,15,15,1.0,"第一优先级,只抓会直接影响成交的 8 类: wrong_proportion_balance(比例失衡)",4426,4478,303,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-training_unit-substitution-honest-disclosure,Q7Q12-搭配陈列业务包/培训与纠错包.md,五、C8 + 八、I1-I8,low,false,18,18,1.0,"C8 inventory_rescue_at_counter(柜台前库存救场) 正确动作:讲清是同款替代,近色替代,还是整套转向 错误动作:把替代款说成原款 为",2321,2456,129,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-training_unit-on-floor-four-layer-assessment,Q7Q12-搭配陈列业务包/培训与纠错包.md,十一、on_floor_assessment_protocol,low,false,17,17,1.0,层 mystery_shopper_reflection(神秘顾客式复盘),5588,5625,404,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-training_unit-auto-trigger-rules,Q7Q12-搭配陈列业务包/培训与纠错包.md,十二、training_trigger_rules,low,false,10,10,1.0,"满足以下任一条件,就应自动生成或推送对应 TrainingMaterial",5826,5863,425,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-training_unit-role-binding-frontline-priority,Q7Q12-搭配陈列业务包/培训与纠错包.md,十三、role_profile_binding,low,false,8,8,1.0," 理由很直接:首批训练最需要的人,不是总部 PPT 人,而是前线会接,会摆,会救场的人.",6142,6186,-1,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-training_unit-color-hesitation-disambiguation,Q7Q12-搭配陈列业务包/培训与纠错包.md,五、C5 color_hesitation_handling,direct_quote,true,9,9,1.0,"C5 color_hesitation_handling(颜色犹豫处理) 正确动作:先判断顾客是在怕难搭,怕显黑,怕不耐脏,还是怕不够正式 错误动作:只说""这个",1900,2059,111,,direct_quote_verified,direct_quote,,auto,字面在原 MD（空白+标点归一）
EV-KP-display_rule-window-display-purpose,Q7Q12-搭配陈列业务包/陈列方法包.md,二、1. window_display + 三、1）拦人 + 四、库存校验联动,low,false,8,8,1.0,"店外好看,店内拿不齐;一窗塞太多;道具比货重;季节和店内货不一致. ",721,755,40,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-display_rule-mannequin-display-purpose,Q7Q12-搭配陈列业务包/陈列方法包.md,二、2. mannequin_display + 四、联动（必须回指 StylingRule、过库存校验）,low,false,11,11,1.0,"模特穿得像大片,不像门店;主件有货,配件没货;层次过重,现实里穿不了. ",1029,1065,62,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-display_rule-front-hanging-purpose,Q7Q12-搭配陈列业务包/陈列方法包.md,二、3. front_hanging_display + 三、5）适合培训新人,low,false,10,10,1.0,"一排都是重点;颜色,风格,长度乱;挂的是没货样子款. 什么叫""看着高级但卖不动"":",1343,1384,84,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-display_rule-side-hanging-purpose,Q7Q12-搭配陈列业务包/陈列方法包.md,二、4. side_hanging_display + 三、5）适合培训新人,low,false,9,9,1.0,"像仓库,不像卖场;挂得太满;尺码和颜色顺序乱;季节混挂. 什么叫""看着高级但卖不动"":",1615,1658,105,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-display_rule-folded-display-purpose,Q7Q12-搭配陈列业务包/陈列方法包.md,二、5. folded_display + 三、5）适合培训新人 + 培训形态：俯拍 / Do/Don't / before-after,low,false,14,14,1.0,"仓库培训真源也已把折叠,挂装,陈列 before/after,错误 vs 正确作为高价值训练形态.",2011,2060,133,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-display_rule-display-first-then-speak,Q7Q12-搭配陈列业务包/门店接客场景包.md,三、4）适合先陈列后开口的场景正式冻结,direct_quote,true,7,7,1.0,"4)适合先陈列后开口的场景,正式冻结为 4 类 ready_made_full_set(现成成套型) new_item_cannot_style(新款不会搭型)",2766,2887,197,,direct_quote_verified,direct_quote,,auto,字面在原 MD（空白+标点归一）
EV-KP-inventory_rescue-can-rescue-scenarios,Q7Q12-搭配陈列业务包/门店接客场景包.md,三、2）断码时还能救的场景正式冻结,direct_quote,true,7,7,1.0,"2)断码时还能救的场景,正式冻结为 5 类 commute_mainstay(通勤主力型) weekend_social(周末社交型) functional_g",2503,2660,187,,direct_quote_verified,direct_quote,,auto,字面在原 MD（空白+标点归一）
EV-KP-inventory_rescue-no-rescue-scenarios,Q7Q12-搭配陈列业务包/门店接客场景包.md,三、3）断码时不该硬救的场景正式冻结,direct_quote,true,5,5,1.0,"3)断码时不该硬救的场景,正式冻结为 3 类 shape_correction(显瘦修身型) comfort_sensitive(体感敏感型) urgent_f",2661,2765,193,,direct_quote_verified,direct_quote,,auto,字面在原 MD（空白+标点归一）
EV-KP-service_judgment-budget-controlled,Q7Q12-搭配陈列业务包/门店接客场景包.md,二、9. budget_controlled + 三、1）卡在第二套 + 三、5）必须先问再推,low,false,11,11,1.0,"先问预算是买一件主力,还是买两件组合;是看单价,还是看利用率. 最容易卡住:",2053,2091,155,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-service_judgment-commute-mainstay,Q7Q12-搭配陈列业务包/门店接客场景包.md,二、2. commute_mainstay + 三、2）断码可救,low,false,8,8,1.0,"先问通勤方式,办公室温度,要不要开会,平时更在意利落还是舒服. 最容易卡住:",809,847,46,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-service_judgment-functional-gap-fill,Q7Q12-搭配陈列业务包/门店接客场景包.md,二、6. functional_gap_fill + 三、2）断码可救 + 三、5）必须先问再推,low,false,10,10,1.0,"不是卡第二套,而是卡""利用率有没有讲透"". 库存不理想怎么转向:",1550,1582,110,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-service_judgment-greeting-master-principles,Q7Q12-搭配陈列业务包/门店接客场景包.md,一、2）接客总原则正式冻结,direct_quote,true,5,5,1.0,"2)接客总原则正式冻结 先判任务,再推货. 先问顾虑,再给第一套. 第一套是开门,第二套才是成交,第三套是兜底. 断码能不能救,先看场景,不先看嘴.",349,423,17,,direct_quote_verified,direct_quote,,auto,字面在原 MD（空白+标点归一）
EV-KP-service_judgment-must-ask-first,Q7Q12-搭配陈列业务包/门店接客场景包.md,三、5）必须先问再推的场景正式冻结,direct_quote,true,7,7,1.0,"5)必须先问再推的场景,正式冻结为 6 类 urgent_full_look(应急一身型) shape_correction(显瘦修身型) comfort_se",2888,3067,202,,direct_quote_verified,direct_quote,,auto,字面在原 MD（空白+标点归一）
EV-KP-service_judgment-new-item-cannot-style,Q7Q12-搭配陈列业务包/门店接客场景包.md,二、7. new_item_cannot_style + 三、2）断码可救 + 三、4）先陈列后开口,low,false,11,11,1.0,"第一套只是""能搭"",第二套才决定""买回去会不会穿"". 库存不理想怎么转向:",1727,1764,127,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
EV-KP-service_judgment-ready-made-full-set,Q7Q12-搭配陈列业务包/门店接客场景包.md,二、5. ready_made_full_set + 三、4）先陈列后开口 + 三、1）卡在第二套,low,false,13,13,1.0,"第二套.第一套只解决""现成"",第二套才解决""值不值得整套带走"". 库存不理想怎么转向:",1365,1408,95,,paraphrase_located,low,,auto,phrase 命中率 100% ≥ 30%（有原文痕迹）
