pack_id,yaml_path,brand_layer_dir,knowledge_assertion_excerpt,granularity_layer,runtime_asset_id_default,asset_type_guess,asset_type,runtime_asset_id,title,summary,review_notes
KP-service_judgment-urgent-full-look,candidates/domain_general/KP-service_judgment-urgent-full-look.yaml,domain_general,"顾客说""后天有事，给我配一身能直接穿出去""时，导购第一动作不是抓款，而是先问场合/对象/天气/时长/想要正式还是松一点； 第一套只是""能去""，决定成交的是第二套——第二套必须解决""像不像她自己""，否则三套都白搭。",L3,RA-service_judgment-urgent-full-look,action_template,action_template,,急用全套场景动作,后天有事的全套需求要先问场合对象天气时长，再用第二套解决像不像本人。,W12.A 人工审表确认
KP-service_judgment-weekend-social,candidates/domain_general/KP-service_judgment-weekend-social.yaml,domain_general,"顾客说""周末出去吃饭、逛街、拍照，想穿得有点感觉""时，导购第一动作是先问见谁（朋友/对象/家人）+ 想要松弛/精致/显气色哪一种状态， 再决定推什么；周末社交客买的是状态感不是实用，断码只能""同气质转""，绝不能从松弛硬转商务。",L3,RA-service_judgment-weekend-social,dialogue_template,dialogue_template,,周末状态感话术,周末社交客先问见谁和想呈现的状态，再按同气质方向推荐替代。,W12.A 人工审表确认
KP-training_unit-content-template-saturation-anti-pattern,candidates/domain_general/KP-training_unit-content-template-saturation-anti-pattern.yaml,domain_general,,L3,RA-training_unit-content-template-saturation-anti-pattern,dialogue_template,dialogue_template,,模板饱和反模式话术,提醒内容团队识别模板化表达过饱和的问题，避免继续复用失效口播框架。,W12.A 人工审表确认
KP-training_unit-customer-first-look-judgment,candidates/domain_general/KP-training_unit-customer-first-look-judgment.yaml,domain_general,"顾客进店后的""第一眼判断""必须先识别她属于场景型 / 单品型 / 体感型 / 价格型四类之一， 再决定开口角度——一上来就报卖点、报价格、报面料几乎一定翻车， 因为顾客还没感觉到""你懂我""，导购的所有信息都落不进她的判断框。",L3,RA-training_unit-customer-first-look-judgment,action_template,action_template,,进店第一眼判断动作,顾客进店先分场景型单品型体感型价格型，再决定开口角度。,W12.A 人工审表确认
KP-training_unit-fabric-touch-before-spec,candidates/domain_general/KP-training_unit-fabric-touch-before-spec.yaml,domain_general,"解释面料必须先让顾客摸到关键点（袖口 / 里层 / 领口）再说参数； 上来只讲""含 60% 棉 40% 涤""这种术语会失败，因为服装大量成交靠体感而不是参数， 没让她""上手""过的面料解释，几乎注定不会被相信。",L3,RA-training_unit-fabric-touch-before-spec,action_template,action_template,,先摸后讲面料动作,解释面料前先让顾客摸到袖口里层领口等关键点，再补充参数。,W12.A 人工审表确认
KP-training_unit-kuleshov-context-driven-emotion-edit,candidates/domain_general/KP-training_unit-kuleshov-context-driven-emotion-edit.yaml,domain_general,,L3,RA-training_unit-kuleshov-context-driven-emotion-edit,shot_template,shot_template,,上下文情绪剪辑镜头,通过前后镜头上下文改变同一表情或衣物动作的情绪含义，形成可复用剪辑模板。,W12.A 人工审表确认
KP-training_unit-microlearning-not-long-course,candidates/domain_general/KP-training_unit-microlearning-not-long-course.yaml,domain_general,"门店培训不能做成长课，必须以微学习 + 即时支持 + 情境训练 + 正误对照（Do/Don't）为主， 辅以提取练习与间隔复现；判定培训""完成""的唯一标志是员工能在现场复现，而不是""看过/听过""。",L3,RA-training_unit-microlearning-not-long-course,role_split,role_split,,微学习训练分工,把门店培训拆给微学习即时支持情境训练和复现检查，避免长课式完成假象。,W12.A 人工审表确认
KP-training_unit-product-review-anti-filter-pledge,candidates/domain_general/KP-training_unit-product-review-anti-filter-pledge.yaml,domain_general,"product_review 内容生产纪律：""反滤镜宣言""（原相机 / 自然光 / 不拉腿 / 不美颜）是 进阶测评的**信任地基**——四项自述一旦缺失，下面所有体感测评都失去可信度。 这条纪律推翻""测评应该拍得好看""的默认套路：饱和的服装测评赛道里， 当多位博主同时评同一商品时观众会归类为""协调推广""，因此反向声明""我不修图不美颜"" 反而是 product_review 的**最低进入门槛**",L3,RA-training_unit-product-review-anti-filter-pledge,shot_template,shot_template,,反滤镜测评镜头,测评开头用原相机自然光不拉腿不美颜声明建立信任，再进入体感测试。,W12.A 人工审表确认
KP-training_unit-relational-witness-over-monologue,candidates/domain_general/KP-training_unit-relational-witness-over-monologue.yaml,domain_general,,L3,RA-training_unit-relational-witness-over-monologue,action_template,action_template,,关系见证替代独白,用人与人之间的反应和见证动作承载表达，替代单人长篇独白。,W12.A 人工审表确认
KP-training_unit-role-binding-frontline-priority,candidates/domain_general/KP-training_unit-role-binding-frontline-priority.yaml,domain_general,"首批培训单元必须挂接到""会接、会摆、会救场""的前线 3 个核心岗位—— store_manager（门店店长）/ sales_associate（导购）/ warehouse_supervisor（仓库主管）， 而不是优先发给 merchandising_director / designer / sample_worker 等次级岗位； 顺序倒过来 = 培训资源喂给最不缺培训的人，前线该会的还是",L3,RA-training_unit-role-binding-frontline-priority,role_split,role_split,,前线岗位优先分工,首批培训优先绑定店长导购仓库主管三类前线岗位，避免资源喂给次级岗位。,W12.A 人工审表确认
KP-training_unit-role-profile-required-skills-binding,candidates/domain_general/KP-training_unit-role-profile-required-skills-binding.yaml,domain_general,"MerchandisingSkill（陈列搭配技能）不应升为独立 core_object_type， 而应作为 RoleProfile 的能力清单字段（required_skills）落档； TrainingMaterial 通过现有 supports_training 关系挂回 RoleProfile 以表达""训练目标""。这样保持 18 项对象白名单稳定， 同时支持""店长该掌握什么 / 导购要训",L3,RA-training_unit-role-profile-required-skills-binding,action_template,action_template,,角色技能绑定动作,把陈列搭配技能作为角色能力清单绑定到训练目标，而不是新增核心对象。,W12.A 人工审表确认
KP-training_unit-silence-as-pattern-interrupt,candidates/domain_general/KP-training_unit-silence-as-pattern-interrupt.yaml,domain_general,,L3,RA-training_unit-silence-as-pattern-interrupt,dialogue_template,dialogue_template,,沉默打断惯性话术,在高频推销或解释惯性中使用克制停顿，让顾客重新进入判断而不是被信息淹没。,W12.A 人工审表确认
KP-training_unit-standard-action-vs-judgment-skill,candidates/domain_general/KP-training_unit-standard-action-vs-judgment-skill.yaml,domain_general,门店技能必须先拆成 standard_action（标准动作）与 judgment_skill（判断力）两类再设计培训： 标准动作类（折叠 / 挂装 / 蒸烫 / 试衣前递衣顺序等）必须拍成手部+空间动作做 Do/Don't； 判断力类（顾客顾虑判断 / 身型与比例判断 / 库存救场该救还是该转等）必须放进情境演练， 不能只给标准答案——混到一起练，两边都练不出来。,L3,RA-training_unit-standard-action-vs-judgment-skill,action_template,action_template,,标准动作判断力拆分,先区分标准动作和判断力两类训练，再分别设计手部动作和情境演练。,W12.A 人工审表确认
KP-training_unit-store-manager-rhythm-first,candidates/domain_general/KP-training_unit-store-manager-rhythm-first.yaml,domain_general,"老店长（store_manager）的核心手感不是""会卖""，而是""让整家店不乱""——一进店先看节奏（货场主次→店员站位→顾客停顿→后场库存接力）， 四件事按顺序看，任何一环不对就先稳节奏再谈成交；颠倒顺序（先看哪件衣服漂亮 / 先冲销量再稳团队）→ 整店当天状态会从最早的弱信号一路滑到失手。",L3,RA-training_unit-store-manager-rhythm-first,role_split,role_split,,店长节奏优先分工,店长先按货场店员顾客后场的节奏顺序判断整店状态，再处理成交。,W12.A 人工审表确认
