source_md,heading_path,heading_level,body_length,body_hash,adjudication_status,sub_reason,adjudicator,priority,rationale,batch_target
Q2-内容类型种子/GPT5.4.md,制作难度判断,3,205,e432a998afb3,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,2. lifestyle_expression（生活方式表达 / 生活态度类内容）,2,52,5ed4bd929e80,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,主流玩法（已被用烂）,3,0,,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：口号先行的“理想生活宣言”,4,139,9dc6cf24f5af,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：审美拼贴式“我想成为的人”,4,140,fc41855b185e,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,进阶玩法（少数高手在用）,3,0,,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：沉默仪式，不讲道理,4,367,84fae9f4b8de,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：关系映照，不说“我主张什么”,4,336,a26b7832a08b,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,突破性玩法（还没人这么干，但可能成立）,3,0,,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：价值观只通过“我拒绝了什么”来出现,4,384,2ab73fd1045b,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：反差场景里的柔软穿着,4,389,54531c0693de,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 3：气味叙事的视觉化,4,324,44d718215f04,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,服装行业垂直加成,3,212,0cbe3c3c8216,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,一定不行的玩法,3,78,60fbbf2e31e6,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,制作难度判断,3,133,e432a998afb3,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,3. knowledge_sharing（知识分享 / 干货科普类）,2,59,0a319350a64c,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,主流玩法（已被用烂）,3,0,,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：镜头前站桩讲 3 点,4,118,484056391333,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：PPT 化口播,4,112,0d63b68d32fd,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,进阶玩法（少数高手在用）,3,0,,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：先讲人生，再讲知识,4,273,1d2f7943dda9,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：知识长在手上，而不是长在嘴上,4,277,1855aac11235,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,突破性玩法（还没人这么干，但可能成立）,3,0,,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：从一个错误开始讲,4,361,e6bb80b20ec2,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：一句知识，只靠动作讲清,4,303,024975f4b426,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 3：把知识藏进一个小故事,4,287,2992aa129bd2,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,服装行业垂直加成,3,247,0cbe3c3c8216,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,一定不行的玩法,3,80,60fbbf2e31e6,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,制作难度判断,3,124,e432a998afb3,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,4. humor_content（幽默内容 / 搞笑段子类）,2,54,430699c62adb,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,主流玩法（已被用烂）,3,0,,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：套热门音频做表情反应,4,79,f9b990b8e15f,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：强行反转小剧场,4,102,42f6cea11f45,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,进阶玩法（少数高手在用）,3,0,,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：用幽默做认知翻面,4,238,4e013e8bc053,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：用视觉小机关做幽默,4,267,b857fc787537,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,突破性玩法（还没人这么干，但可能成立）,3,0,,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：一本正经地拍小事灾难,4,318,b4e8f50b4725,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：一件外套切换三个社会身份,4,302,4143caa2e860,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 3：评论区没有出现，但你把它演出来了,4,267,1f349dc1eb3f,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,服装行业垂直加成,3,176,0cbe3c3c8216,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,一定不行的玩法,3,75,60fbbf2e31e6,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,制作难度判断,3,117,e432a998afb3,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,5. talent_showcase（才艺展示 / 个人特长展示）,2,57,40ba4607f8ef,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,主流玩法（已被用烂）,3,0,,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：正面站桩展示完成品,4,85,9abe41eca379,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：高光拼盘,4,87,c087fec0fddf,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,进阶玩法（少数高手在用）,3,0,,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：展示才艺，也展示练习和笨拙,4,243,29e2d0f07773,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：把才艺放进生活任务里,4,279,a5a353fd0853,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,突破性玩法（还没人这么干，但可能成立）,3,0,,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：才艺不是表演，是救场,4,306,99d80c39d7dd,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：同一个动作，练一百次的痕迹,4,259,744328cd1788,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 3：把才艺传给另一个人,4,280,50a6e65cd22f,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,服装行业垂直加成,3,107,0cbe3c3c8216,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,一定不行的玩法,3,67,60fbbf2e31e6,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,制作难度判断,3,103,e432a998afb3,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,6. daily_fragment（日常碎片 / 随手记类）,2,48,098b26480a82,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,主流玩法（已被用烂）,3,0,,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：配热门歌的碎片拼盘,4,89,a171284d5e9d,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：一句话日记 + 一堆小镜头,4,95,002b4cfb2c95,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,进阶玩法（少数高手在用）,3,0,,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：季节情绪蒙太奇,4,259,4f81ed202df4,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：碎片里有一点“真实讲话”,4,242,7c34e71c55a0,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,突破性玩法（还没人这么干，但可能成立）,3,0,,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：同一个角落，不同的我,4,319,fd76033273f1,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：没有脸的生活痕迹,4,282,a2f269af40e3,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 3：碎片不是按时间排，而是按体感排,4,281,774347a1184b,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,服装行业垂直加成,3,94,0cbe3c3c8216,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,一定不行的玩法,3,78,60fbbf2e31e6,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,制作难度判断,3,112,e432a998afb3,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,7. outfit_of_the_day（每日穿搭 / OOTD）,2,66,6f30f4dd13ec,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,主流玩法（已被用烂）,3,0,,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：转圈 + 单品列表,4,76,9f2f2d12d574,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：GRWM + 最终成片,4,93,3bf3f18a58e7,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,进阶玩法（少数高手在用）,3,0,,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：不是展示衣服，是展示选择过程,4,281,4f75f0ca4065,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：穿搭是人格延伸，不是商品陈列,4,295,d182d182c16c,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,突破性玩法（还没人这么干，但可能成立）,3,0,,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 1：这套衣服不是为了拍照，是为了今天的路线,4,329,f0b3ba3adf34,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 2：两种身份争同一身衣服,4,306,d17c910e5c12,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,玩法 3：衣服记住了今天,4,309,3f326d4af7de,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,服装行业垂直加成,3,221,0cbe3c3c8216,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,一定不行的玩法,3,90,60fbbf2e31e6,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/GPT5.4.md,制作难度判断,3,117,e432a998afb3,unprocessable,cross_source_reference,auto,,按 5-class 签字 / W2 决议归入 cross_source_reference,
Q2-内容类型种子/_index.md,内容类型交付物模板 — 索引,1,569,2deae87efab3,unprocessable,meta_non_business,auto,,按 5-class 签字 / W2 决议归入 meta_non_business,
Q2-内容类型种子/_index.md,0. 这个目录解决什么问题,2,652,1c37c8119227,unprocessable,meta_non_business,auto,,按 5-class 签字 / W2 决议归入 meta_non_business,
Q2-内容类型种子/_index.md,1. 文件清单,2,0,,unprocessable,meta_non_business,auto,,按 5-class 签字 / W2 决议归入 meta_non_business,
Q2-内容类型种子/_index.md,1.1 原料层（外部研究文档）,3,847,d805cf3840ba,unprocessable,meta_non_business,auto,,按 5-class 签字 / W2 决议归入 meta_non_business,
Q2-内容类型种子/_index.md,1.2 元工具层（跨 ContentType 共享资产）,3,630,8cfb57591655,unprocessable,meta_non_business,auto,,按 5-class 签字 / W2 决议归入 meta_non_business,
Q2-内容类型种子/_index.md,1.3 交付物层（提取后的草案）,3,4469,9dba1bff291b,unprocessable,meta_non_business,auto,,按 5-class 签字 / W2 决议归入 meta_non_business,
Q2-内容类型种子/_index.md,2. 单文件结构标准（v0.1）,2,735,78c72f7020ee,unprocessable,meta_non_business,auto,,按 5-class 签字 / W2 决议归入 meta_non_business,
Q2-内容类型种子/_index.md,3. 实拍可行性硬约束（贯穿所有交付物）,2,714,720ca0ecd00a,unprocessable,meta_non_business,auto,,按 5-class 签字 / W2 决议归入 meta_non_business,
Q2-内容类型种子/_index.md,4. 执行计划与闸门,2,0,,unprocessable,meta_non_business,auto,,按 5-class 签字 / W2 决议归入 meta_non_business,
Q2-内容类型种子/_index.md,阶段 1 ：试点（personal_vlog）— 已完成 ✅,3,191,4b2601a8ea29,unprocessable,meta_non_business,auto,,按 5-class 签字 / W2 决议归入 meta_non_business,
Q2-内容类型种子/_index.md,阶段 2 ：批量落盘剩 6 个 — 已完成 ✅,3,490,4eee0f50e363,unprocessable,meta_non_business,auto,,按 5-class 签字 / W2 决议归入 meta_non_business,
Q2-内容类型种子/_index.md,阶段 2.5 ：补共享叙事引擎层 — 已完成 ✅,3,314,44e3618bd8dd,unprocessable,meta_non_business,auto,,按 5-class 签字 / W2 决议归入 meta_non_business,
Q2-内容类型种子/_index.md,阶段 3 ：企业叙事类试点 founder_ip — 已完成 ✅（2026-04-13）,3,342,927558b37b51,unprocessable,meta_non_business,auto,,按 5-class 签字 / W2 决议归入 meta_non_business,
Q2-内容类型种子/_index.md,阶段 4 ：企业叙事类批量 5 份 — 已完成 ✅（2026-04-14）,3,603,cc0c6d251ca8,unprocessable,meta_non_business,auto,,按 5-class 签字 / W2 决议归入 meta_non_business,
Q2-内容类型种子/_index.md,阶段 5 ：最终索引收口 — ✅ 已完成（2026-04-14）,3,1559,e0a3263621eb,unprocessable,meta_non_business,auto,,按 5-class 签字 / W2 决议归入 meta_non_business,
Q2-内容类型种子/_index.md,阶段 6 ：两者均可类 batch 3 全量落盘 — ✅ 已完成（2026-04-14）,3,2043,58df6177d599,unprocessable,meta_non_business,auto,,按 5-class 签字 / W2 决议归入 meta_non_business,
Q2-内容类型种子/_index.md,阶段 7 ：业务裁决第 1 轮闭合（85 条悬空收口项全部关闭）— ✅ 已完成（2026-04-14）,3,3003,c063afc6bbbe,unprocessable,meta_non_business,auto,,按 5-class 签字 / W2 决议归入 meta_non_business,
Q2-内容类型种子/_index.md,阶段 8 ：Q2 闸门 5 关闭 / Q2 正式裁决 — ✅ 已完成（2026-04-14）,3,2414,a808b40190c8,unprocessable,meta_non_business,auto,,按 5-class 签字 / W2 决议归入 meta_non_business,
Q2-内容类型种子/_index.md,5. 三个非交付物层面的纪律,2,426,70bb16f64455,unprocessable,meta_non_business,auto,,按 5-class 签字 / W2 决议归入 meta_non_business,
Q2-内容类型种子/_index.md,6. 变更记录,2,8325,3f9cb0ea43da,unprocessable,meta_non_business,auto,,按 5-class 签字 / W2 决议归入 meta_non_business,
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,跨内容类型共享叙事引擎 v0.2.1 正式（Q2 闸门 5 已关闭 / 业务裁决第 1 轮闭合 / G1-G9 全部关闭 / batch 3 首创机制无损并入 / §J.3 字段语义映射标准落盘 / 2026-04-14 由领域专家 Faye 触发）,1,0,,unprocessable,short_section_lt_100_chars,auto,,按 5-class 签字 / W2 决议归入 short_section_lt_100_chars,
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,元数据,2,708,8fc721eeabd9,covered_by_pack,parent_anchor,auto,,已被 evidence 直接命中或父 pack 间接覆盖,
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,本文件是什么（核心定义）,2,632,5a649e7776b2,covered_by_pack,quote_in_md,auto,,已被 evidence 直接命中或父 pack 间接覆盖,
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,本文件和 13 份 ContentType 交付物的关系,2,1078,2efed21d0760,covered_by_pack,parent_anchor,auto,,已被 evidence 直接命中或父 pack 间接覆盖,
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,A. 戛纳 4 大叙事范式（已降维到 1 人 1 手机）,2,95,964fd7179b6c,covered_by_pack,parent_anchor,auto,,已被 evidence 直接命中或父 pack 间接覆盖,
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,"引擎 1 —— ""反讽对位叙事""",3,837,b203235db507,covered_by_pack,parent_anchor,auto,,已被 evidence 直接命中或父 pack 间接覆盖,
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,"引擎 2 —— ""认知反转""",3,810,091d8ef80cea,covered_by_pack,parent_anchor,auto,,已被 evidence 直接命中或父 pack 间接覆盖,
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,"引擎 3 —— ""空间蒙太奇""",3,921,5b627730f25f,covered_by_pack,parent_anchor,auto,,已被 evidence 直接命中或父 pack 间接覆盖,
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,"引擎 4 —— ""介质反差""",3,820,f1d5e09a4539,covered_by_pack,parent_anchor,auto,,已被 evidence 直接命中或父 pack 间接覆盖,
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,B. 电影手法的降维适配,2,71,fc964eefe9a4,covered_by_pack,parent_anchor,auto,,已被 evidence 直接命中或父 pack 间接覆盖,
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,"引擎 5 —— ""伪一镜到底""",3,1085,7cdf52a59bd3,covered_by_pack,parent_anchor,auto,,已被 evidence 直接命中或父 pack 间接覆盖,
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,"引擎 6 —— ""节奏断裂""",3,836,cad4a0cbc8c2,covered_by_pack,parent_anchor,auto,,已被 evidence 直接命中或父 pack 间接覆盖,
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,"引擎 7 —— ""循环结构""",3,800,f2223a946b13,covered_by_pack,parent_anchor,auto,,已被 evidence 直接命中或父 pack 间接覆盖,
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,"引擎 8 —— ""物品 POV""",3,906,965845f04234,covered_by_pack,parent_anchor,auto,,已被 evidence 直接命中或父 pack 间接覆盖,
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,C. 时尚影像 × 服装行业实证手法,2,219,a4b05ae029a7,covered_by_pack,parent_anchor,auto,,已被 evidence 直接命中或父 pack 间接覆盖,
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,"引擎 9 —— ""一件衣服 + 一个动作 + 30 秒""",3,1106,2f13c08ec2c4,covered_by_pack,parent_anchor,auto,,已被 evidence 直接命中或父 pack 间接覆盖,
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,"引擎 10 —— ""纯沉默叙事（无解说无 BGM）"" 🆕 v0.1.1",3,1120,d206eb405d11,covered_by_pack,parent_anchor,auto,,已被 evidence 直接命中或父 pack 间接覆盖,
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,"引擎 11 —— ""ASMR 感官沉浸（面料 / 缝纫机 / 剪刀声）"" 🆕 v0.1.1",3,1120,cf12323cccd7,covered_by_pack,parent_anchor,auto,,已被 evidence 直接命中或父 pack 间接覆盖,
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,"引擎 12 —— ""定格动画 / 延时摄影"" 🆕 v0.1.1",3,1185,50b7dc76e417,covered_by_pack,parent_anchor,auto,,已被 evidence 直接命中或父 pack 间接覆盖,
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,"引擎 13 —— ""MV / 电影预告片格式"" 🆕 v0.1.1",3,1233,bc38b991270c,covered_by_pack,parent_anchor,auto,,已被 evidence 直接命中或父 pack 间接覆盖,
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,D. 引擎 × ContentType 调用矩阵,2,1879,236adcffd3e9,covered_by_pack,quote_in_md,auto,,已被 evidence 直接命中或父 pack 间接覆盖,
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,E. 2025-2026 四大内容趋势（平台级背景）,2,97,e6e484cc73b1,covered_by_pack,parent_anchor,auto,,已被 evidence 直接命中或父 pack 间接覆盖,
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,"趋势 1 —— ""真实性压倒精致度""",3,392,8cbd01301702,covered_by_pack,quote_in_md,auto,,已被 evidence 直接命中或父 pack 间接覆盖,
Q2-内容类型种子/_shared-narrative-engines-v0.1.md,"趋势 2 —— ""微型创作者成为品牌首选合作对象""",3,280,2374d1c2c371,covered_by_pack,parent_anchor,auto,,已被 evidence 直接命中或父 pack 间接覆盖,
