pack_id,pack_type,brand_layer,gate_1_closed_scenario,gate_2_reverse_infer,gate_3_rule_generalizable,gate_4_production_feasible,final_state,failure_reason
KP-training_unit-event-documentary-long-term-tier-discipline,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-evidence-shape-four-types,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-fabric-touch-before-spec,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-founder-profile-brand-unique-layer,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-founder-profile-soft-use-no-rename,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-greeting-format-lock,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-grounding-over-polish-default,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-humor-content-brand-tone-gate-for-puppetry,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-humor-content-clothing-as-persona-switch,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-knowledge-not-teacher-but-event,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-kuleshov-context-driven-emotion-edit,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-lifestyle-expression-old-defines-premium,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-lifestyle-expression-values-via-rejection,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-merch-director-stylable-not-sellable,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-microlearning-not-long-course,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-objection-clearing-over-selling-points,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-on-floor-four-layer-assessment,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-ootd-anti-hard-ad-discipline,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-persona-anti-pattern-checklist,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-persona-vs-roleprofile-layering,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-priority-by-impact-frequency-trust,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-process-trace-stop-the-bad-one-builds-trust,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-product-review-anti-filter-pledge,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-product-review-fabric-detective-spec-party,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-relational-witness-over-monologue,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-role-binding-frontline-priority,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-role-material-five-kinds-minimum,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-roleprofile-not-speaking-shell,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-sample-worker-rework-as-judgment,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-shared-layer-registration-not-rewrite,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-silence-as-pattern-interrupt,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-sop-asmr-procedural-memory,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-standard-action-vs-judgment-skill,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-store-manager-rhythm-first,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-styling-error-top-priority-eight,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-substitution-honest-disclosure,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-tactile-cue-language-online-compensation,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-talent-showcase-rescue-not-show-off,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-try-on-guidance-one-main-one-backup,training_unit,domain_general,pass,pass,pass,pass,active,
KP-training_unit-warehouse-supervisor-fact-not-promise,training_unit,domain_general,pass,pass,pass,pass,active,
KP-service_judgment-product-review-concerns-clearance-on-spot-faye-positioning,service_judgment,needs_review,pass,pass,partial,pass,active,gate_3 partial: 品牌级优先级声明不要求跨品牌 generalizable
KP-training_unit-role-profile-required-skills-binding,training_unit,domain_general,pass,pass,pass,pass,active,
