unprocessable_id,source_md,source_anchor,content_excerpt,classification,classification_reason,follow_up_action,status,created_at
UP-tcb10-003,Q4-人设种子/phase-3-Q4-三套通用Persona首批卡片.md,附 §1 与兼容矩阵的关系 + §2 与岗位素材清单的关系 + §3 与参数级填充清单的关系,本稿与下一份兼容矩阵 / 岗位素材清单 / 参数级填充清单的承接关系说明,meta_layer_not_business,本节为 Q4 产物间的工程衔接说明非业务知识断言；下游对象已分别由 TC-B11/B12/B13 各自抽取,跳过,open,2026-05-03
UP-tcb10-004,Q4-人设种子/phase-3-Q4-三套通用Persona首批卡片.md,卡片2 §1 + §3 平台维度说明 PrivateOutletChannel,styling_advisor 是导购朋友圈出货核心承接也是 PrivateOutletChannel 私域出口位最主要的人设输出源,duplicate_or_redundant,Persona × PrivateOutletChannel 兼容关系归 TC-B12 兼容矩阵卡的 relation 表派生范围本卡不抽 relation,跳过待 TC-B12 落档,open,2026-05-03
UP-tcb15-001,Q2-内容类型种子/通用类compass.md,5 类 ContentType 全部章节,同主题不同来源：通用类.md / 通用类compass.md / 通用类deep-research-report.md 三份覆盖完全相同的 5 类 ContentType（product_review / store_daily / product_copy_general / training_material / emotion_expression）的主流-进阶-突破三档玩法。compass 版与原通用类版在断言层面高度重叠（沉默叙事 / 体感测评 / 反对意见清单 / 关系映照 / 错题本剧场 等）,duplicate_or_redundant,本卡 9 条 pack 已用 cross_source_consensus 方式合并三份证据；compass 版独有的具体玩法名称（触感法庭 / 同一件衣服的三次误会 / 衣架摄像机 / 库存解剖室 / 把情绪写成洗标 等）作为 alternative_path 或 evidence_quote 收纳；不再单独立 pack 以避免与 TC-B14 单 ContentType 主 pack 抢占边界,跳过待 TC-B14 / TC-B18 在各自 ContentType 主 pack 中按需引用,open,2026-05-03
UP-tcb15-002,Q2-内容类型种子/通用类deep-research-report.md,Cross-cutting techniques / Conclusion / Clothing as emotional medium 横向章节,deep-research-report 末三节为跨 5 类 ContentType 的方法论综述：1-person-1-phone toolkit / international brand benchmarks (Jacquemus/Bottega/Moncler/Marc Jacobs) / phone-executable cinematic techniques / anti-aesthetic advantage / 5 大原则归纳,meta_layer_not_business,该综述属内容生产方法论 / 国际品牌案例汇编而非具体业务断言；其中可形成断言的部分（沉默优先 / 模板饱和反模式 / 服装作为情绪媒介 / 触觉暗示）已在 KP-training_unit-silence-as-pattern-interrupt / KP-training_unit-content-template-saturation-anti-pattern / KP-product_attribute-clothing-as-emotional-medium-stance / KP-training_unit-tactile-cue-language-online-compensation 4 条 pack 中收纳；剩余案例性内容不再强抽,跳过仅作 evidence 引用,open,2026-05-03
UP-tcb15-003,Q2-内容类型种子/通用类deep-research-report.md & 通用类compass.md,"各 ContentType ""服装行业垂直加成""小节中提到的具体外部账号（@垫底辣孩 / @岳老板 / NEIWAI / 远家 / JNBY / @冷少 / @鹦鹉梨 / 垫底辣孩 / Jacquemus / Patagonia 等）",具体账号案例描述与粉丝数据 / GMV 数据,out_of_scope,"本仓只做服装零售业务 markdown 抽取为 9 表领域知识；外部账号案例属市场参考资料非业务知识断言；如未来需要可单独立""竞品 benchmark""对象类型，但当前 skeleton core_object_types 18 项不含此类对象",跳过不抽,open,2026-05-03
UP-tcb15-004,Q2-内容类型种子/通用类compass.md,"各 ContentType ""实拍可行性自检 / 制作难度判断 / 适合品牌 / AI 工具能辅助到什么程度""小节",1人1手机可拍 / 预算≤200 / 4 小时内可完成 / 难度档位 / 适合品牌（小品牌-单店-加盟）/ AI 工具辅助边界 等横向制作约束信息,duplicate_or_redundant,"该信息在三份 md 中跨 ContentType 反复出现且高度同质；属""内容生产可行性约束""元规则，但单条不足以形成具体业务断言，且与三档玩法成熟度（KP-product_attribute-content-type-three-tier-maturity）强相关；建议未来在 ContentType schema 上增设 production_constraint 字段（≤200元 / ≤4 小时 / ≤1 人）一次性收纳",跳过待 ContentType schema 升级时一次性吸收,open,2026-05-03
UP-tcb17-001,Q2-内容类型种子/深度研究.md,全文（7 个个人创作类 ContentType 的主流/进阶/突破三档玩法 + 服装行业垂直加成 + 实拍可行性自检）,对 personal_vlog / lifestyle_expression / knowledge_sharing / humor_content / talent_showcase / daily_fragment / outfit_of_the_day 7 个 ContentType 各档位玩法的研究稿；含具体玩法案例（衣椅倒叙日记 / 门槛剧场 / POV 场景短剧化等）+ 服装垂直机会 + 一定不行的反例 + 制作难度判断,duplicate_or_redundant,本稿是对 7 份个人创作类 ContentType 玩法库的深度研究底稿；其中可形成跨 CT 通用断言的部分（玩法卡 10 字段壳 / 玩法档位分级 / grounding 压倒 polished / 引擎 vs 玩法层级隔离）已被本卡 8 条 pack 抽尽；具体玩法案例属于单 CT 玩法库内容（玩法卡 = PlayCard），按 TC-B14 / TC-B18 单 CT 边界处理不在本卡重抽；外部平台数据与第三方账号案例属市场参考资料非业务断言,跳过参考 TC-B14/B18 单 CT 玩法库与本卡 8 条共享层 pack,open,2026-05-03
UP-tcb17-002,Q2-内容类型种子/GPT5.4.md,全文（个人创作类 + 企业叙事类 ContentType 的 GPT5.4 版研究稿）,GPT5.4 版本的 ContentType 玩法研究底稿；与深度研究.md / compass_artifact 同源覆盖相同 ContentType 范围；属外部 LLM 生成的内容方法论参考资料,out_of_scope,[原 external_reference_material → out_of_scope] GPT5.4 是参考资料形式的内容方法论研究底稿；其抽象出的方法论 / schema 已在 _shared-narrative-engines-v0.1.md 共享层正式落盘并由本卡 8 条 pack 抽取；原文搬运不算业务断言（按 SKILL.md 反空壳门禁）；保留作为 evidence 引用底料不进 pack,跳过仅作共享层条目的次级 evidence 来源,open,2026-05-03
UP-tcb17-003,Q2-内容类型种子/compass_artifact_wf-6a00fe44-74d6-4f0c-b6c9-c3e309071f66_text_markdown.md,全文（compass artifact 内容创新前沿研究）,compass artifact 版研究稿：§八跨内容类型的突破性灵感来源（戛纳 4 范式 + 电影 4 手法 + SHOWstudio 时尚影像）+ §九服装行业的内容创新前沿与平台趋势 + 跨内容类型通用创新手法矩阵,out_of_scope,[原 external_reference_material → out_of_scope] compass artifact 是 13 条共享叙事引擎的原始来源底稿；其精华已在 _shared-narrative-engines-v0.1.md 共享层 §A-§C / §E 正式收口并由本卡 8 条 pack 抽取；原文搬运不算业务断言（按 SKILL.md 反空壳门禁）；保留作为 evidence 引用底料不进 pack,跳过仅作共享层条目的次级 evidence 来源,open,2026-05-03
UP-tcb17-004,Q2-内容类型种子/_index.md,全文（Q2 内容类型种子工作区导航与边界声明）,Q2 工作区入口 / 18 份 ContentType 交付物索引 / 玩法卡固定字段结构定义 / 各阶段闸门历史与变更记录快照 / 共享层 §J.3 字段语义映射的回引锚点,meta_layer_not_business,_index.md 为 Q2 工作区目录性质索引文档非具体业务知识断言；其指向的下游 ContentType 文档由 TC-B14 ~ TC-B18 各自抽取；其中真正可抽的字段壳治理（玩法卡固定字段结构 / 字段语义映射）已在共享层 §J.3 落盘并由本卡 KP-product_attribute-storyboard-30s-dual-decoding pack 抽取,跳过参考 TC-B14~B18 单 CT 抽取与本卡 storyboard-dual-decoding pack,open,2026-05-03
UP-tcb17-005,Q2-内容类型种子/CLAUDE.md,全文（Q2 局部 CLAUDE.md）,Q2 工作区局部 CLAUDE.md（实测内容为空 / 0 行）,meta_layer_not_business,Q2 局部 CLAUDE.md 实际内容为空（wc -l = 0）；即便有内容也属规则定义层 / 抽取 agent 行为指引非具体业务知识断言；本仓 CLAUDE.md 红线已在仓根 CLAUDE.md 与 skill SKILL.md 内统一,跳过,open,2026-05-03
UP-tcb16-001,Q2-内容类型种子/企业叙事类compass_artifact.md,一/二/三/四/五/六 六个一级章节,compass 版企业叙事 6 类（创始人IP / 岗位Vlog / 事件纪实 / 产品历程 / 工艺溯源 / 幕后花絮）的主流-进阶-突破三档玩法清单,duplicate_or_redundant,与 GPT5.4 同主题同结构本卡已用 GPT5.4 抽出 6 字段壳 / 反AI腔 / 物件叙事 / 北极星 4 条 pack；compass 信息无独立增量,跳过本卡不重抽,open,2026-05-03
UP-tcb16-002,Q2-内容类型种子/企业叙事类compass_artifact.md,横跨六种类型的通用创新手法矩阵 + 2024-2025 结构性趋势 + 朴素设备时代的内容竞争力公式,沉默叙事 / ASMR / 一镜到底 / 反差场景 / 倒叙 / 定格动画 / MV格式等 7 种通用创新手法 + Bottega关注度70% / 抖音90亿人次 / 时尚红人GMV 4倍 等行业宏观数据 + Jacquemus×iPhone / Apple Shot on iPhone 等国际案例,out_of_scope,[原 external_reference_material → out_of_scope] 行业综述 / 国际品牌案例 / 宏观数据非可机器消费业务断言；其中具体可执行手法（沉默叙事 / 物件叙事）已在 KP-training_unit-enterprise-narrative-object-witness-over-talking-head 中作为同档替代手法登记,跳过,open,2026-05-03
UP-tcb16-003,Q2-内容类型种子/企业叙事类deep-research-report.md,founder_ip / role_work_vlog / event_documentary / product_journey / process_trace / behind_the_scenes 六个一级章节,deep-research 版 6 类企业叙事的主流-进阶-突破三档玩法 + 真实案例引用（Sara Blakely / Vivy Yusof / Bee Inspired / TikTok 等）,duplicate_or_redundant,与 GPT5.4 同主题同结构本卡已用 GPT5.4 完成抽取；deep-research 主要价值是案例引用与外部链接非新业务断言,跳过本卡不重抽,open,2026-05-03
UP-tcb16-004,Q2-内容类型种子/企业叙事类GPT5.4.md,"各章节""真实案例""小节脚注引用（[TikTok For Business][12] / [Storimake][13] / [福布斯][1] / [Instagram][2-3] 等)",国际品牌与平台报告引用（Bee Inspired / Bottega Veneta / Sara Blakely / Founder Diaries 等）,out_of_scope,[原 external_reference_material → out_of_scope] 外部品牌案例与平台报告非可机器消费的服装零售业务断言；保留链接以备追溯但不抽 pack,跳过,open,2026-05-03
UP-tcb14-b1-001,Q2-内容类型种子/behind_the_scenes-交付物-v0.1.md & daily_fragment & outfit_of_the_day & store_daily & personal_vlog & role_work_vlog,"各文件 §""本文件是什么（核心定义）"" + ""玩法库 10 字段表头"" + ""30 秒分镜参考"" 字段",6 份 ContentType 文件均含完全相同的玩法卡 10 字段壳定义（档位/定义/北极星映射/元素/分镜/服装钩子/可行性/AI/来源/备注）+ 30 秒分镜双解码（分秒+画面+动作+声音）+ 三档玩法成熟度（C1主流默认禁用 / C2 进阶 / C3 突破性）,duplicate_or_redundant,玩法卡 10 字段壳已在 B17 KP-product_attribute-engine-card-vs-play-card-shell 抽尽；30 秒分镜双解码已在 B17 KP-product_attribute-storyboard-30s-dual-decoding 抽尽；三档玩法成熟度已在 KP-product_attribute-content-type-three-tier-maturity 覆盖；本 batch 不重抽,跳过参考 B17 共享层 9 条 pack,open,2026-05-03
UP-tcb14-b1-002,Q2-内容类型种子/behind_the_scenes-交付物-v0.1.md C3-2/C3-4/C3-5 + daily_fragment C3-7 + outfit_of_the_day C3-5,"玩法卡尾部""调用共享引擎 #2 认知反转 / #11 ASMR / #12 延时 / #4 介质反差 / #1 反讽对位""等引擎引用",6 份 ContentType 玩法卡通过编号引用共享叙事引擎库 13 条引擎而非复制其内容（玩法卡只引引擎编号，引擎卡跨 CT 复用）,duplicate_or_redundant,引擎卡 vs 玩法卡的层级隔离与跨 CT 复用纪律已在 B17 KP-product_attribute-engine-card-vs-play-card-shell + KP-training_unit-shared-layer-registration-not-rewrite + KP-training_unit-engine-vs-play-by-cross-ct-test 三条 pack 抽尽；本 batch 不重抽具体引擎引用,跳过参考 B17 共享层,open,2026-05-03
UP-tcb14-b1-003,Q2-内容类型种子/各 CT 文件 §F AI 辅助边界,,AI 能做（选题脚本拍摄剪辑发布五环节清单）/ AI 不能做（替代真实情绪/选择/判断/审美/人格）的 5×2 矩阵 + 反 AI 腔（避免显瘦/高级/氛围感空词）,duplicate_or_redundant,AI 辅助边界与反 AI 腔纪律的核心断言已在 B17 KP-training_unit-ai-tone-banned-list-veto + KP-training_unit-grounding-over-polish-default 抽尽；6 份 CT 在此环节是同一元规则的不同 CT 应用面不再单独立 pack,跳过参考 B17 ai-tone-banned 与 grounding-over-polish,open,2026-05-03
UP-tcb14-b1-004,Q2-内容类型种子/各 CT 文件 §G 待裁决项 + 版本记录,,v0.1→v0.2 业务裁决闭合记录（G 段全关闭 / M3 玩法分级 long_term / M4 无痕处理删品牌名 / 头部状态升 v0.2 等）,meta_layer_not_business,版本变更与业务裁决闭合记录属工程过程而非具体业务知识断言；其裁决结论已被融入各 CT 玩法卡正文与 §D/§E,跳过仅作 evidence 引用底料,open,2026-05-03
UP-tcb14-b1-005,Q2-内容类型种子/behind_the_scenes 与 event_documentary 边界 + role_work_vlog 与 founder_ip 边界 + outfit_of_the_day 与 product_review/personal_vlog 边界 + daily_fragment 与 personal_vlog/lifestyle_expression 边界,"各 CT 文件中的""与 X CT 的边界""小节",6 份 CT 内含的 ContentType 与其他 CT 的边界判定（叙事重心二选一/连续 vs 不连续/穿出来 vs 评出来 等）,process_description_needs_split,"各 CT 之间的边界矩阵已被各 CT v0.2 G 段裁决统一延后到独立的""ContentType 边界矩阵任务""（横切 M2 / TC-B12 兼容矩阵卡承接）；本 batch 不在单 CT 北极星 pack 内重复抽边界 pack 以避免与边界矩阵任务交叉",跳过待 TC-B12 边界矩阵任务统一处理,open,2026-05-03
UP-tcb14-b1-006,Q2-内容类型种子/behind_the_scenes-交付物-v0.1.md & store_daily & outfit_of_the_day & 等各 CT §D 服装行业垂直机会 / 行业趋势支撑,,TikTok 2026 authenticity > polished / 小红书 playbook / 抖音巨量引擎 2024 / Gymshark/SKIMS/Loewe/Zara/Source With U/Wisdom Kaye/Denise Mercedes 等海外品牌账号案例（v0.2 M4 无痕处理后保留方向描述）,out_of_scope,外部品牌账号与平台数据属市场参考资料而非可机器消费的服装零售业务断言；本仓只做 9 表领域知识抽取；方向描述（如 OOTD 叙事化方向 / 高频更新穿搭方向）属 ContentType 子玩法档位归口已在玩法卡正文体现,跳过不抽,open,2026-05-03
UP-tcb14-b2-001,Q2-内容类型种子/talent_showcase-交付物-v0.1.md,§C C3-7 失败美学 100 天挑战玩法分级 long_term,talent_showcase C3-7 标注 long_term 玩法分级（单次拍摄合规但系列需跨周/跨月运营）,duplicate_or_redundant,与本 batch 已抽的 KP-training_unit-event-documentary-long-term-tier-discipline 同一元规则（单条 ≤ 4 小时但素材跨日 / 元数据标 long_term / 进默认调用池）；event_documentary v0.2 备注已显式标 talent_showcase C3-7 为 long_term 同源，关系已在该 pack 的 properties_json.also_applies 中登记，禁止重抽,跳过引用 KP-training_unit-event-documentary-long-term-tier-discipline,open,2026-05-03
UP-tcb14-b2-002,Q2-内容类型种子/process_trace-交付物-v0.1.md,§C C3-8 一根线的旅程全链叙事玩法分级 brand_tier,process_trace C3-8 标注 brand_tier 玩法分级（跨地区采集超出个人创作基线 / 不进默认调用池 / 仅品牌模式调用）,duplicate_or_redundant,brand_tier 是 long_term 之外的第二档分级取值；其值已被本 batch 已抽的 KP-training_unit-event-documentary-long-term-tier-discipline 的 04_value_set（standard / long_term / brand_tier 三档枚举）覆盖；同一元规则的另一档取值无需独立 pack,跳过引用同 pack 的 brand_tier 取值,open,2026-05-03
UP-tcb14-b2-003,Q2-内容类型种子/emotion_expression-交付物-v0.1.md & 其余 5 份,§C 各 CT 元素库 B1-B9 九维元素清单（视觉/听觉/人物/场景/情绪/文字/时间/反差/隐喻）,6 份 CT 各自的 9 维元素库枚举（如 emotion_expression B1 物件作为情绪载体 / event_documentary B7 三段时间结构 / humor_content B7 短时长 / lifestyle_expression B1 色温分区 / talent_showcase B1 重复动作 / process_trace B1 手部特写 等）,scenario_not_closed,9 维元素库是表达资源原子枚举非业务断言；元素本身不构成 success_pattern/flip_pattern 成对的闭环知识；其约束力来自玩法卡的'表达元素清单'引用关系而非元素本身；不强抽以避免空壳,跳过仅作玩法卡 evidence 底料,open,2026-05-03
UP-tcb14-b2-004,Q2-内容类型种子/各 CT 文件 §F AI 辅助边界,,AI 能做 vs AI 不能做矩阵（选题/脚本/拍摄/剪辑/发布五环节）；各 CT §F 核心判断（如 emotion_expression AI 辅助度最低 / humor_content AI 只能做结构草案 / lifestyle_expression AI 不能决定真属于这个人的生活选择）,duplicate_or_redundant,各 CT §F 的元规则（AI 能做结构清单不能做真实性判断）与 B17 已抽的 cross-CT 共享层 pack（含 enterprise-narrative-anti-ai-tone 等）以及本 batch 的 emotion-expression-9-ai-tone-banlist 共同覆盖；单 CT 的 AI 辅助度差异属调用池权重而非独立断言,跳过权重信息留待 TC-B12 矩阵任务承接,open,2026-05-03
UP-tcb14-b2-005,Q2-内容类型种子/各 CT 文件 §C C1 主流玩法默认禁用条目（如 emotion_expression C1-1/C1-2/C1-3 / event_documentary C1-1~C1-4 / humor_content C1-1~C1-3 / lifestyle_expression C1 / talent_showcase C1-1/C1-2 / process_trace C1-1~C1-4）,,各 CT C1 档默认禁用玩法清单及其 AI 辅助度警示,duplicate_or_redundant,C1 默认禁用是 ContentType 档位通用纪律已被 B17 cross-CT 共享层覆盖（含 engine-vs-play 跨 CT 测试与 6 决策维度）；emotion_expression 的'强默认禁用'升级在 G4 裁决中保持单档不分级（与其他 17 份一致），不构成独立元规则,跳过沿用 B17 通用 C1 纪律,open,2026-05-03
UP-tcb14-b3-001,Q2-内容类型种子/GPT5.4.md,§1-§18 全文,18 份 ContentType 的原始 GPT-5 探索文本（北极星+主流玩法+进阶玩法+突破性玩法+服装行业垂直加成 等），是 18 份 *-交付物-v0.1.md 的源材料三件套之一,out_of_scope,GPT5.4.md 是 18 份交付物的源材料而非独立业务知识；其全部业务断言已被 18 份交付物结构化抽取并已被 B17 + B14 各批次覆盖；本仓只处理 markdown 业务血肉的最终结构化产物 不重复处理上游探索文本；归类 external_reference_material（用 out_of_scope 兜底分类）,跳过仅作各交付物 evidence 三源备查的来源溯源指针,open,2026-05-03
UP-tcb14-b3-002,Q2-内容类型种子/深度研究.md,全文,个人创作类 ContentType 的深度研究报告（personal_vlog/daily_fragment/outfit_of_the_day/emotion_expression/talent_showcase/lifestyle_expression/humor_content 7 类的主流+进阶+突破性玩法），含小红书/抖音/B站/Instagram/TikTok 平台案例与服装垂直钩子,out_of_scope,深度研究.md 是个人创作类 7 份交付物的源材料三件套之一；其全部业务断言已被对应交付物结构化抽取并已被 B14/B15 批次覆盖；本仓只处理交付物的最终结构化产物 不重复处理上游研究报告；归类 external_reference_material（用 out_of_scope 兜底分类）,跳过仅作各交付物 evidence 三源备查的来源溯源指针,open,2026-05-03
UP-tcb14-b3-003,Q2-内容类型种子/通用类compass.md,全文,通用类 5 份 ContentType 的 compass artifact 报告（含 product_copy_general/store_daily/role_work_vlog/product_review/training_material 5 类的主流+进阶+突破性玩法 + 跨平台案例 + 行业趋势数据）,out_of_scope,通用类compass.md 是通用类 5 份交付物的源材料三件套之一；其全部业务断言已被对应交付物结构化抽取（含 training_material 北极星 90% forgotten 数据 / store_daily 案例集 等）并已被 B14/B15/B17 批次覆盖；本仓只处理交付物的最终结构化产物 不重复处理上游 compass 报告；归类 external_reference_material（用 out_of_scope 兜底分类）,跳过仅作各交付物 evidence 三源备查的来源溯源指针,open,2026-05-03
