semantic_id,owner_field,definition,examples_json,brand_layer,source_pack_id
SM-KP-styling_rule-silhouette-balance-volume_focus,rule_name,"松紧对冲法：一身只留一个量感重点，上下廓形必须呈宽收对比",[],domain_general,KP-styling_rule-silhouette-balance
SM-KP-styling_rule-waistline-anchor-anchor_concept,rule_name,"腰线锚点法：以腰线为身材比例视觉锚点，先解决锚点再调颜色与材质",[],domain_general,KP-styling_rule-waistline-anchor
SM-KP-styling_rule-one-focus-focus_axes,rule_name,"一身一个主角法：四选一焦点轴=颜色/版型/材质/设计",[],domain_general,KP-styling_rule-one-focus
SM-KP-styling_rule-color-echo-echo_concept,rule_name,"颜色呼应法：一身至少两处颜色锚点；挂场按色阶/温度/系列分组",[],domain_general,KP-styling_rule-color-echo
SM-KP-styling_rule-neutral-plus-accent-base_plus_accent,rule_name,"中性色打底法：中性色主色+一处提气点；属软建议级别",[],domain_general,KP-styling_rule-neutral-plus-accent
SM-KP-styling_rule-structure-drape-material_axes,rule_name,"挺垂对比法：挺/垂、厚/薄、糯/利落三组材质张力对冲",[],domain_general,KP-styling_rule-structure-drape
SM-KP-styling_rule-premium-item-neutralization-neutralizer_role,rule_name,"贵气单品中和法：用哑光/基础/低压力单品降低奢华单品视觉压迫感",[],domain_general,KP-styling_rule-premium-item-neutralization
SM-KP-styling_rule-face-brightness-near_face_layer,rule_name,"近脸提气法：以离脸最近那一层为优先级，先解决气色再解决时髦",[],domain_general,KP-styling_rule-face-brightness
SM-KP-styling_rule-formality-consistency-formality_level,rule_name,"正式度统一法：一身上下件正式度同级，错位即翻车",[],domain_general,KP-styling_rule-formality-consistency
SM-KP-styling_rule-menswear-belt-shoe-belt_shoe_match,rule_name,"男装鞋腰带同色法：suit/dress 场景下腰带与鞋的颜色/皮质/正式度同级",[],domain_general,KP-styling_rule-menswear-belt-shoe
SM-KP-styling_rule-single-problem-priority-single_concern,rule_name,"单一问题优先法：先解决顾客一个核心顾虑，替代时也守住该顾虑",[],domain_general,KP-styling_rule-single-problem-priority
SM-KP-styling_rule-substitution-priority-ladder-priority_axis,rule_name,"替代四级优先顺序：silhouette > formality_level > visual_weight > color_family",[],domain_general,KP-styling_rule-substitution-priority-ladder
SM-KP-styling_rule-looks-good-but-unsellable-anti_patterns,rule_name,"看着成立实际不好卖：7 类反例库；门店推荐与陈列上墙前的反向自检清单",[],domain_general,KP-styling_rule-looks-good-but-unsellable
SM-KP-fabric_property-cotton-knit-familiar-trap-cotton_not_zero_risk,risk_alerts,"纯棉针织即使亲肤吸汗也存在透 / 变形 / 缩水 / 尺寸波动六类风险，需前置说明",[],domain_general,KP-fabric_property-cotton-knit-familiar-trap
SM-KP-fabric_property-viscose-modal-tencel-mirror-win-soft_drape_not_shaping,risk_alerts,"粘胶/莫代尔/天丝的软垂只是顺着身体走，不具备藏肉修形效果",[],domain_general,KP-fabric_property-viscose-modal-tencel-mirror-win
SM-KP-fabric_property-silk-acetate-satin-honest-fabric-honest_gloss,risk_alerts,"真丝 / 醋酸 / 缎面光泽会同步放大任何体表痕迹与状态，是诚实而非美化的面料",[],domain_general,KP-fabric_property-silk-acetate-satin-honest-fabric
SM-KP-fabric_property-wool-cashmere-care-claim-bound-care_claim_first,risk_alerts,"羊毛/羊绒/毛混能否机洗只看洗护标 care claim，不许凭销售经验",[],domain_general,KP-fabric_property-wool-cashmere-care-claim-bound
SM-KP-fabric_property-denim-twill-mirror-not-truth-mirror_not_truth,risk_alerts,"牛仔 / 斜纹重棉镜前轮廓不等于真实穿着体验，成交判断必须包含动作场景",[],domain_general,KP-fabric_property-denim-twill-mirror-not-truth
SM-KP-fabric_property-chiffon-organza-layering-tool-layering_only,risk_alerts,"雪纺 / 欧根纱定位为层次工具，不是显瘦遮肉的主面料安全款",[],domain_general,KP-fabric_property-chiffon-organza-layering-tool
SM-KP-fabric_property-polyester-nylon-functional-no-blanket-no_blanket_term,risk_alerts,"涤纶 / 锦纶 / 功能化纤不许用化纤一刀切，要按纱线/织法/后整理/用途分别判断",[],domain_general,KP-fabric_property-polyester-nylon-functional-no-blanket
SM-KP-craft_quality-preshrink-wash-set-after-sale-front-after_sale_front,craft_feature,"预缩/水洗/定型是售后前置工艺，是耐穿稳定卖点的资格门槛",[],domain_general,KP-craft_quality-preshrink-wash-set-after-sale-front
SM-KP-craft_quality-sewing-stitch-pucker-near-eye-near_eye_quality,craft_feature,"缝制质量是近看质感工艺，缝口起皱是面料/缝型/针线/送布的综合症状",[],domain_general,KP-craft_quality-sewing-stitch-pucker-near-eye
SM-KP-craft_quality-fusing-lamination-silhouette-gate-silhouette_gate,craft_feature,"粘合衬/贴合/复合是轮廓成立工艺，是挺立利落骨架卖点的资格门槛",[],domain_general,KP-craft_quality-fusing-lamination-silhouette-gate
SM-KP-craft_quality-dye-fastness-daily-risk-daily_use_risk,craft_feature,"染整/色牢度是日常使用风险工艺，不仅针对深色，浅深拼接/包带/汗液都要看",[],domain_general,KP-craft_quality-dye-fastness-daily-risk
SM-KP-craft_quality-brushing-napping-aging-speed-aging_speed_check,craft_feature,"磨毛/拉毛/起绒/防起球决定第一触感与老化速度，是软糯绒暖亲肤卖点的资格门槛",[],domain_general,KP-craft_quality-brushing-napping-aging-speed
SM-KP-craft_quality-pleat-topstitch-pattern-match-care-premium_gate,craft_feature,"压褶/明线/对条对格/细节收口是讲究感工艺，是做工感/品质感/工艺感卖点的资格门槛",[],domain_general,KP-craft_quality-pleat-topstitch-pattern-match-care
SM-KP-fabric_property-soft-not-equal-premium-soft_is_touch_only,hand_feel,"软是触感属性，不构成高级或轮廓判断",[],domain_general,KP-fabric_property-soft-not-equal-premium
SM-KP-fabric_property-heavy-not-equal-quality-heavy_is_weight_only,hand_feel,"重是重量维度，不直接构成质感判断",[],domain_general,KP-fabric_property-heavy-not-equal-quality
SM-KP-fabric_property-wrinkle-not-equal-low-grade-wrinkle_two_kinds,risk_alerts,"皱分两类——材质表情类（不是低级）vs 工艺缺陷类（是品质问题）",[],domain_general,KP-fabric_property-wrinkle-not-equal-low-grade
SM-KP-fabric_property-gloss-not-equal-luxe-gloss_amplifier,risk_alerts,"光泽是放大器，会同步放大显贵和显廉价两端",[],domain_general,KP-fabric_property-gloss-not-equal-luxe
SM-KP-fabric_property-pure-cotton-not-zero-risk-cotton_not_blanket_safe,risk_alerts,"纯棉只是成分维度，不构成零风险背书，需看版型/织法/整理",[],domain_general,KP-fabric_property-pure-cotton-not-zero-risk
SM-KP-fabric_property-composition-only-no-scenario-bound-composition_plus_scenario,hand_feel,"成分只是起点，必须与穿着情境绑定才能得出推荐结论",[],domain_general,KP-fabric_property-composition-only-no-scenario-bound
SM-KP-craft_quality-store-risk-discipline-evidence-first-evidence_first,craft_feature,"门店统一风险口径建立在看证据不看感觉上，每类风险都对应特定证据维度",[],domain_general,KP-craft_quality-store-risk-discipline-evidence-first
SM-KP-training_unit-microlearning-not-long-course-completion_definition,mastery_check,"培训完成 = 现场无提示可复现，而非看过/听过",[],domain_general,KP-training_unit-microlearning-not-long-course
SM-KP-training_unit-priority-by-impact-frequency-trust-priority_dim,priority_score,"训练优先级三维度：conversion_impact / error_frequency / trust_damage","[""conversion_impact"",""error_frequency"",""trust_damage""]",domain_general,KP-training_unit-priority-by-impact-frequency-trust
SM-KP-training_unit-standard-action-vs-judgment-skill-skill_type,skill_type,"技能类型：standard_action 标准动作 vs judgment_skill 判断力，决定培训格式","[""standard_action"",""judgment_skill""]",domain_general,KP-training_unit-standard-action-vs-judgment-skill
SM-KP-training_unit-customer-first-look-judgment-customer_type,customer_type,"进店顾客四分类：场景型/单品型/体感型/价格型，决定开口路径","[""scenario_driven"",""single_item_driven"",""comfort_driven"",""price_driven""]",domain_general,KP-training_unit-customer-first-look-judgment
SM-KP-training_unit-on-floor-four-layer-assessment-layer,assessment_method,"现场验收四层：A 动作复现 / B 情境应答 / C 正误辨识 / D 神秘顾客复盘","[""action_replay_check"",""scenario_response_check"",""do_dont_spotting"",""mystery_shopper_reflection""]",domain_general,KP-training_unit-on-floor-four-layer-assessment
SM-KP-training_unit-role-binding-frontline-priority-role_layer,role_layer,"岗位分层：frontline 前线 / headquarters 总部，决定培训优先级","[""frontline"",""headquarters""]",domain_general,KP-training_unit-role-binding-frontline-priority
SM-KP-display_rule-window-display-purpose-purpose,display_unit,window_display 业务目标三件套：拦人/定调/拉进店,,domain_general,KP-display_rule-window-display-purpose
SM-KP-display_rule-mannequin-display-purpose-purpose,display_unit,mannequin_display 业务目标：试穿想象桥（提升试穿率+整套带走率）,,domain_general,KP-display_rule-mannequin-display-purpose
SM-KP-display_rule-front-hanging-purpose-purpose,display_unit,front_hanging_display 业务目标：抓主款（一眼锁定第一主款）,,domain_general,KP-display_rule-front-hanging-purpose
SM-KP-display_rule-side-hanging-purpose-purpose,display_unit,side_hanging_display 业务目标：承接选择（顾客连续浏览+补选）,,domain_general,KP-display_rule-side-hanging-purpose
SM-KP-display_rule-folded-display-purpose-purpose,display_unit,folded_display 业务目标：促上手（看面料+敢抽+顺手加购）,,domain_general,KP-display_rule-folded-display-purpose
SM-KP-service_judgment-urgent-full-look-second_set_target,first_judgment,"应急客第二套的目标=像不像她自己（身份匹配）而非能不能去（任务交付）","[""第一套=能去"",""第二套=像她"",""第三套=兜底""]",domain_general,KP-service_judgment-urgent-full-look
SM-KP-service_judgment-commute-mainstay-utility_reason,first_judgment,"通勤客第二套必须挂的具体购买理由=利用率（一周穿几次/能搭几件已有）","[""一周 3 次以上"",""能配现有 2 件以上""]",domain_general,KP-service_judgment-commute-mainstay
SM-KP-service_judgment-weekend-social-vibe_axis,first_judgment,"周末社交客的状态感三轴：松弛/精致/显气色——不能跨气质替换","[""松弛"",""精致"",""显气色""]",domain_general,KP-service_judgment-weekend-social
SM-KP-service_judgment-shape-correction-fit_lock_params,first_judgment,"显瘦客必须确认的 4 个可接受参数：松量/长度/腰线/露肤点","[""松量"",""长度"",""腰线"",""露肤点""]",domain_general,KP-service_judgment-shape-correction
SM-KP-service_judgment-ready-made-full-set-motive_three,first_judgment,"现成成套客的 3 种动机：省心 / 速度 / 不会搭——三种推法不同","[""省心"",""速度"",""不会搭""]",domain_general,KP-service_judgment-ready-made-full-set
SM-KP-service_judgment-functional-gap-fill-wardrobe_axes,first_judgment,"补位客必问 3 件事：家里主色/主版型/最常穿去哪","[""主色"",""主版型"",""最常穿场景""]",domain_general,KP-service_judgment-functional-gap-fill
SM-KP-service_judgment-new-item-cannot-style-dual_path,first_judgment,"新款不会搭客必须给的两条路：保守穿法 + 出彩穿法","[""保守"",""出彩""]",domain_general,KP-service_judgment-new-item-cannot-style
SM-KP-service_judgment-budget-controlled-budget_axis,first_judgment,"预算客必锁的 2 轴：一件主力 vs 两件组合 / 看单价 vs 看利用率","[""主力 vs 组合"",""单价 vs 利用率""]",domain_general,KP-service_judgment-budget-controlled
SM-KP-service_judgment-repeat-purchase-replenish-satisfaction_axis,first_judgment,"复购客必问的 5 类满意轴：版型/长度/面料/颜色/场景","[""版型"",""长度"",""面料"",""颜色"",""场景""]",domain_general,KP-service_judgment-repeat-purchase-replenish
SM-KP-service_judgment-greeting-master-principles-decision_order,first_judgment,"接客四原则的判断顺序：判任务→问顾虑→分三套→看场景再决定救场","[""判任务"",""问顾虑"",""分三套"",""看场景救场""]",domain_general,KP-service_judgment-greeting-master-principles
SM-KP-training_unit-founder-profile-brand-unique-layer-layer,layer,Persona 分层：brand_unique 品牌唯一层 / generic 通用层；决定能否跨品牌复用,,domain_general,KP-training_unit-founder-profile-brand-unique-layer
SM-KP-training_unit-founder-profile-soft-use-no-rename-enablement,enablement_flag,FounderProfile 是否对该品牌启用：true=启用并对接 founder_ip / false=跳过不报错,,domain_general,KP-training_unit-founder-profile-soft-use-no-rename
SM-KP-training_unit-persona-vs-roleprofile-layering-cap,persona_count_cap,冷启动阶段通用 Persona 数量上限：默认 3，超出需评审,,domain_general,KP-training_unit-persona-vs-roleprofile-layering
SM-KP-training_unit-roleprofile-not-speaking-shell-function,role_function,RoleProfile 职能：knowledge_base 知识底座（默认）/ speaking_shell 说话身份壳（禁止）,,domain_general,KP-training_unit-roleprofile-not-speaking-shell
SM-KP-product_attribute-persona-six-field-shell-six_field_shell,role_type,"Persona 6 字段壳：role_type / life_archetype / emotional_spectrum / authenticity_anchors / topic_scope / typical_scenarios，超出即破壳","[""role_type"",""life_archetype"",""emotional_spectrum"",""authenticity_anchors"",""topic_scope"",""typical_scenarios""]",domain_general,KP-product_attribute-persona-six-field-shell
SM-KP-product_attribute-persona-six-field-shell-topic_scope,topic_scope,"topic_scope 是复合字段含 allowed_topics / forbidden_topics / perspective_focus 三子项","[""allowed_topics"",""forbidden_topics"",""perspective_focus""]",domain_general,KP-product_attribute-persona-six-field-shell
SM-KP-product_attribute-persona-field-fill-state-fill_state,field_fill_state,"字段成熟度三档：frozen 下游可直接消费 / candidate 已给最小可用值待回填 / pending 待后续Q承接","[""frozen"",""candidate"",""pending""]",domain_general,KP-product_attribute-persona-field-fill-state
SM-KP-product_attribute-compatible-with-edge-properties-support,support,"support 4 档：now 已支持 / enhanced 增强后支持 / custom 品牌级或特殊场景 / unsupported 不建议","[""now"",""enhanced"",""custom"",""unsupported""]",domain_general,KP-product_attribute-compatible-with-edge-properties
SM-KP-product_attribute-compatible-with-edge-properties-risk,risk,"risk 3 档：low / medium / high","[""low"",""medium"",""high""]",domain_general,KP-product_attribute-compatible-with-edge-properties
SM-KP-product_attribute-compatible-with-edge-properties-reason,reason,"reason 自由文本必须解释 support 与 risk 的具体依据",[],domain_general,KP-product_attribute-compatible-with-edge-properties
SM-KP-service_judgment-platform-derivation-not-source-derivation_axes,derivation_axes,"派生视图三轴：Persona × ContentType × Platform/Channel；不写入图谱由真源边 + Q3 tier 临时组合","[""Persona"",""ContentType"",""Platform/Channel""]",domain_general,KP-service_judgment-platform-derivation-not-source
SM-KP-service_judgment-derivation-formula-eight-row-formula,derivation_formula,"派生公式 8 行组合规则表：support × tier → 4 档展示档（默认可用 / 补充配置后可用 / 品牌级或特殊场景 / 不建议）","[""default_available"",""available_after_config"",""brand_or_special"",""not_recommended""]",domain_general,KP-service_judgment-derivation-formula-eight-row
SM-KP-inventory_rescue-customer-priority-six-axes-axes,rescue_disposition,接客层替代优先级 6 级：wearability > occasion_fit > silhouette_match > color_family_match > price_band_match > fabric_detail_match；先成交路径后相似度,,domain_general,KP-inventory_rescue-customer-priority-six-axes
SM-KP-inventory_rescue-hard-block-five-conditions-hard_block,rescue_disposition,hard_block 是库存决策的物理层硬拦截，5 类条件命中任一即停止原方案，话术不得绕过,,domain_general,KP-inventory_rescue-hard-block-five-conditions
SM-KP-inventory_rescue-shallow-vs-deep-sensing-layers,sensing_layer,库存感知能力两层：shallow（事实/过滤）vs deep（判断/动作指导）；下游动作必须挂深层,,domain_general,KP-inventory_rescue-shallow-vs-deep-sensing
SM-KP-inventory_rescue-state-catalog-six-states-state_label,state_label,门店库存状态 6 类标签：size_complete / size_broken / color_broken / single_size_tail / single_item_only / alternate_not_same_sku,,domain_general,KP-inventory_rescue-state-catalog-six-states
SM-KP-inventory_rescue-state-catalog-six-states-rescue_mode,rescue_disposition,三态决策模式：rescue_mode 救场 / redirect_mode 转向 / give_up_mode 放弃,,domain_general,KP-inventory_rescue-state-catalog-six-states
SM-KP-product_attribute-persona-three-shell-coverage-store_operator,cold_start_positioning,store_operator：门店经营、秩序维护、带队复盘、后场协同的主视角,,domain_general,KP-product_attribute-persona-three-shell-coverage
SM-KP-product_attribute-persona-three-shell-coverage-styling_advisor,cold_start_positioning,styling_advisor：前台接客、试穿建议、搭配判断、顾客体感翻译的主视角,,domain_general,KP-product_attribute-persona-three-shell-coverage
SM-KP-product_attribute-persona-three-shell-coverage-product_professional,cold_start_positioning,product_professional：设计、打样、工艺、面料、版型、商品判断与专业叙事的主视角,,domain_general,KP-product_attribute-persona-three-shell-coverage
SM-KP-product_attribute-persona-shell-not-equal-role-shell,persona_definition_kind,通用 Persona 是 speaking_shell（说话身份壳），不是 single_role（单一岗位）；岗位动作走挂接 RoleProfile,,domain_general,KP-product_attribute-persona-shell-not-equal-role
SM-KP-training_unit-persona-anti-pattern-checklist-four_traps,anti_pattern_check_state,Persona 内容四类反模式：① 万能鸡汤号 ② 强推销售话术 ③ 产品说明书堆砌 ④ 单边正能量,,domain_general,KP-training_unit-persona-anti-pattern-checklist
SM-KP-training_unit-collect-real-action-before-script-priority_chain,collection_priority,岗位素材采集 6 阶段固定顺序：动作→判断→困境→话术→情绪→总结,,domain_general,KP-training_unit-collect-real-action-before-script
SM-KP-training_unit-evidence-shape-four-types-shape_taxonomy,evidence_shape,证据形态四类：口述 / 动作 / 文档 / 物证；缺失视为不可采信,,domain_general,KP-training_unit-evidence-shape-four-types
SM-KP-training_unit-collect-failure-not-only-success-failure_quota,failure_quota,负面颗粒（失败/犹豫/卡住/禁说/失手）占比 ≥ 成功案例同等比例,,domain_general,KP-training_unit-collect-failure-not-only-success
SM-KP-training_unit-role-material-five-kinds-minimum-completeness_gate,material_completeness,5 类必备素材齐全 + 3 硬证据为种子数据可导入门槛,,domain_general,KP-training_unit-role-material-five-kinds-minimum
SM-KP-training_unit-cold-start-role-priority-frontline-priority_phase,cold_start_priority_phase,冷启动素材采集两阶段：P0 四岗（前台/门店/设计/工艺）→ P1 三岗（纵深/决策/协同）,,domain_general,KP-training_unit-cold-start-role-priority-frontline
SM-KP-product_attribute-engine-card-vs-play-card-shell-play_card_shell,play_card_tier,玩法卡 10 字段壳：档位/定义/北极星/元素/分镜/服装钩子/可行性/AI/来源/备注；属于单一 ContentType 的具体玩法,,domain_general,KP-product_attribute-engine-card-vs-play-card-shell
SM-KP-product_attribute-engine-card-vs-play-card-shell-engine_card_shell,engine_principle,引擎卡 10 字段壳：出处/原理/为什么高级/降维执行/分镜/服装适配/可调用ContentType/可行性/AI/备注；跨 ContentType 可复用的元工具,,domain_general,KP-product_attribute-engine-card-vs-play-card-shell
SM-KP-product_attribute-play-card-scenario-tag-three-values-scenario,play_card_scenario,玩法卡业务层归属；零售内容两层漏斗的 schema key；三取值不可扩,,domain_general,KP-product_attribute-play-card-scenario-tag-three-values
SM-KP-product_attribute-play-card-tier-three-values-tier,play_card_tier,玩法卡资源约束分级；三取值不可扩,,domain_general,KP-product_attribute-play-card-tier-three-values
SM-KP-product_attribute-storyboard-30s-dual-decoding-storyboard_30s,play_card_storyboard_30s,30 秒分镜参考字段；视频型 CT 读为四段分镜（画面/声音/动作）；文案型 CT 读为四段文案骨架（钩子/正文/视觉/CTA）；解码按 output_format 分叉,,domain_general,KP-product_attribute-storyboard-30s-dual-decoding
SM-KP-product_attribute-storyboard-30s-dual-decoding-output_format,output_format,ContentType 输出形态；当前两值 video / copy；新增形态走共享层升级,,domain_general,KP-product_attribute-storyboard-30s-dual-decoding
SM-KP-product_attribute-troop-facing-register-five-fields-switch,audience_register,ContentType 受众属性；当前两值 consumer_facing / troop_facing；troop_facing 时 north_star / apparel_hook / shooting_feasibility / red_lines / ai_boundary 5 字段语义自动切为对内员工训练读法,,domain_general,KP-product_attribute-troop-facing-register-five-fields
SM-KP-training_unit-ai-tone-banned-list-veto-veto,ai_tone_banned_list,AI 腔禁用清单 = AI 生成的一票否决层；命中即拒绝输出；清单只在共享层维护,,domain_general,KP-training_unit-ai-tone-banned-list-veto
SM-KP-training_unit-engine-vs-play-by-cross-ct-test-cross_ct_reuse,cross_ct_reuse_test,跨 ContentType 复用度测试 = 引擎 vs 玩法的唯一硬指标；≥2 CT 独立成立且原理段无需重写 → 引擎；否则 → 玩法,,domain_general,KP-training_unit-engine-vs-play-by-cross-ct-test
SM-KP-training_unit-grounding-over-polish-default-policy,ai_default_aesthetic_policy,AI 默认审美策略 = grounding 压倒 polished；玩法档位 C3>C2>C1（C1 默认禁用）；元素层禁用通用 BGM + 统一滤镜 + 模板转场组合,,domain_general,KP-training_unit-grounding-over-polish-default
SM-KP-training_unit-shared-layer-registration-not-rewrite-policy,shared_layer_upgrade_policy,共享层升级正交纪律：只在共享层 §F/§I/版本记录追加登记；单 CT 文件正文 0 改动；登记缺失 ≠ 内容扩写,,domain_general,KP-training_unit-shared-layer-registration-not-rewrite
SM-KP-product_attribute-enterprise-narrative-six-section-shell-six_field_shell,,,,domain_general,KP-product_attribute-enterprise-narrative-six-section-shell
SM-KP-training_unit-enterprise-narrative-object-witness-over-talking-head-low_position_object,,,,domain_general,KP-training_unit-enterprise-narrative-object-witness-over-talking-head
SM-KP-training_unit-enterprise-narrative-north-star-first-north_star,,,,domain_general,KP-training_unit-enterprise-narrative-north-star-first
SM-clothing-as-emotional-medium-stance,schema_meta_rule,"平台对所有 ContentType 必须采用""服装作为情绪媒介 / 身体界面 / 关系道具 / 时间标记 / 感官体验""的多重立场，而不是""服装作为视觉商品 / SKU""——只把服装当 SKU 的内容产出会立即丧失差异化；ContentType 默认 garment_role 字段必须显式取值。",,domain_general,KP-product_attribute-clothing-as-emotional-medium-stance
SM-content-type-three-tier-maturity,schema_meta_rule,"每一个 ContentType 必须维护""已被用烂玩法 / 进阶玩法 / 突破性玩法""三档成熟度（playbook_tier）字段，平台生成时显式标注当前生成属于哪一档；缺失三档划分的 ContentType 视为内容资产不完整，禁止用于生成调用。",,domain_general,KP-product_attribute-content-type-three-tier-maturity
SM-concrete-action-over-adjective,language_rewrite_rule,服装内容（测评/文案/情绪表达/培训）必须把抽象形容词（高级/舒服/显瘦/百搭/松弛感）改写为具体动作或身体反馈（坐下时腰头会不会顶胃、抬手时肩线会不会拽、地铁手扶杆袖口会不会跑、坐一下午不偷偷扯腰头），写不出具体动作的卖点视为空话，不得入生成产物。,,domain_general,KP-training_unit-concrete-action-over-adjective
SM-template-saturation-anti-pattern,anti_pattern_filter,"服装内容生产平台不能生成""显瘦/百搭/高级感/绝绝子/姐妹冲""这一类形容词模板与口播套路，必须先识别""已被用烂的玩法""并主动跳出，否则产出会立即被算法与观众归类为模板化批量内容、丧失差异化与信任。",,domain_general,KP-training_unit-content-template-saturation-anti-pattern
SM-kuleshov-context-driven-emotion-edit,editing_structure_rule,"情绪表达类内容应优先用""中性表情主镜头 + 不同情境 B-roll 拼接""（Kuleshov 效应）让观众自己投射情绪，而不是靠主角表演崩溃 / 哭腔 / 大字金句；平台生成情绪类脚本时必须把""剪辑结构驱动情绪""列为可调用模板，并给 B-roll 取材清单。",,domain_general,KP-training_unit-kuleshov-context-driven-emotion-edit
SM-objection-clearing-over-selling-points,content_structure_rule,"服装高决策成本品类的内容（测评/详情页/培训）应优先组织""顾虑清单解除""而非""卖点堆砌""——观众真正卡住的是""会不会踩雷（怕透/怕勒/怕皱/怕显胯/怕扎/怕闷）""，把首屏与开头改成反对意见 + 实拍证据，比正向自夸更能缩短决策；写不出顾虑清单的内容判定为未对齐购买心智。",,domain_general,KP-training_unit-objection-clearing-over-selling-points
SM-relational-witness-over-monologue,structure_choice_rule,"服装情绪 / 测评 / 门店日常类内容应优先用""关系介入或第三方见证""（妈妈审评、同事递水杯、店员替顾客翻领、伴侣搭外套）取代""自我独白对镜怼脸""——观众更信""家里人会怎么说""和真实关系动作，而不是自我宣讲。",,domain_general,KP-training_unit-relational-witness-over-monologue
SM-silence-as-pattern-interrupt,format_choice_rule,"在 BGM 与口播饱和的中文短视频生态里，沉默/留白（无口播、环境音、固定机位长停顿、白空间排版）本身就是模式打断（pattern interrupt），平台生成 5 类通用 ContentType 时必须把""无声叙事 / 极少字幕 / 留白排版""作为一等可选玩法，不得默认配 BGM 加金句。",,domain_general,KP-training_unit-silence-as-pattern-interrupt
SM-tactile-cue-language-online-compensation,content_module_rule,"服装在线零售里观众""摸不到""是先天劣势，平台必须把""触觉暗示语言（tactile cue language）+ 触觉暗示视觉（手指陷进针织、衣角擦过桌面、布料摩擦声、拉链咔哒声、慢动作垂坠）""作为产品文案与测评的标配模块，因为感官研究显示触觉暗示能在心理上模拟试穿、显著影响购买意愿。",,domain_general,KP-training_unit-tactile-cue-language-online-compensation
SM-KP-product_attribute-content-type-north-star-behind-scenes-bts_north_star,north_star,behind_the_scenes ContentType 的北极星：愿意把不完美给我看 / 看不见的完成成本——主流禁用三类（NG 集锦 / 仓库流水线 / 正片 teaser）的判型锚点,,domain_general,KP-product_attribute-content-type-north-star-behind-scenes
SM-KP-product_attribute-content-type-north-star-daily-fragment-df_north_star,north_star,daily_fragment ContentType 北极星：碎片之间必须有隐形线索 / 选择逻辑——把审美拼贴升级为情绪证据,,domain_general,KP-product_attribute-content-type-north-star-daily-fragment
