mapping_id,runtime_method,input_types,output_types,governing_rules_json,brand_layer,source_pack_id
CM-outfit_recommendation-KP-styling_rule-formality-consistency,outfit_recommendation,"[""Product"",""CustomerScenario""]","[""OutfitPlan""]","{""governed_by"":[""RL-KP-styling_rule-formality-consistency""]}",domain_general,KP-styling_rule-formality-consistency
CM-store_training-KP-styling_rule-formality-consistency,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-styling_rule-formality-consistency""]}",domain_general,KP-styling_rule-formality-consistency
CM-display_guidance-KP-styling_rule-formality-consistency,display_guidance,"[""DisplayGuide""]","[""DisplayPlan""]","{""governed_by"":[""RL-KP-styling_rule-formality-consistency""]}",domain_general,KP-styling_rule-formality-consistency
CM-outfit_recommendation-KP-styling_rule-menswear-belt-shoe,outfit_recommendation,"[""Product"",""CustomerScenario""]","[""OutfitPlan""]","{""governed_by"":[""RL-KP-styling_rule-menswear-belt-shoe""]}",domain_general,KP-styling_rule-menswear-belt-shoe
CM-store_training-KP-styling_rule-menswear-belt-shoe,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-styling_rule-menswear-belt-shoe""]}",domain_general,KP-styling_rule-menswear-belt-shoe
CM-store_training-KP-styling_rule-single-problem-priority,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-styling_rule-single-problem-priority""]}",domain_general,KP-styling_rule-single-problem-priority
CM-outfit_recommendation-KP-styling_rule-single-problem-priority,outfit_recommendation,"[""Product"",""CustomerScenario""]","[""OutfitPlan""]","{""governed_by"":[""RL-KP-styling_rule-single-problem-priority""]}",domain_general,KP-styling_rule-single-problem-priority
CM-display_guidance-KP-styling_rule-single-problem-priority,display_guidance,"[""DisplayGuide""]","[""DisplayPlan""]","{""governed_by"":[""RL-KP-styling_rule-single-problem-priority""]}",domain_general,KP-styling_rule-single-problem-priority
CM-inventory_rescue-KP-styling_rule-substitution-priority-ladder,inventory_rescue,"[""Product"",""InventoryState""]","[""SubstitutionPlan""]","{""governed_by"":[""RL-KP-styling_rule-substitution-priority-ladder""]}",domain_general,KP-styling_rule-substitution-priority-ladder
CM-outfit_recommendation-KP-styling_rule-substitution-priority-ladder,outfit_recommendation,"[""Product"",""CustomerScenario""]","[""OutfitPlan""]","{""governed_by"":[""RL-KP-styling_rule-substitution-priority-ladder""]}",domain_general,KP-styling_rule-substitution-priority-ladder
CM-store_training-KP-styling_rule-substitution-priority-ladder,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-styling_rule-substitution-priority-ladder""]}",domain_general,KP-styling_rule-substitution-priority-ladder
CM-display_guidance-KP-styling_rule-looks-good-but-unsellable,display_guidance,"[""DisplayGuide""]","[""DisplayPlan""]","{""governed_by"":[""RL-KP-styling_rule-looks-good-but-unsellable""]}",domain_general,KP-styling_rule-looks-good-but-unsellable
CM-outfit_recommendation-KP-styling_rule-looks-good-but-unsellable,outfit_recommendation,"[""Product"",""CustomerScenario""]","[""OutfitPlan""]","{""governed_by"":[""RL-KP-styling_rule-looks-good-but-unsellable""]}",domain_general,KP-styling_rule-looks-good-but-unsellable
CM-store_training-KP-styling_rule-looks-good-but-unsellable,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-styling_rule-looks-good-but-unsellable""]}",domain_general,KP-styling_rule-looks-good-but-unsellable
CM-outfit_recommendation-KP-fabric_property-cotton-knit-familiar-trap,outfit_recommendation,Product|CustomerScenario,StylingRule|RiskDisclosure,{},domain_general,KP-fabric_property-cotton-knit-familiar-trap
CM-store_training-KP-fabric_property-cotton-knit-familiar-trap,store_training,TrainingMaterial,TrainingScript,{},domain_general,KP-fabric_property-cotton-knit-familiar-trap
CM-outfit_recommendation-KP-fabric_property-viscose-modal-tencel-mirror-win,outfit_recommendation,Product|CustomerScenario,StylingRule|RiskDisclosure,{},domain_general,KP-fabric_property-viscose-modal-tencel-mirror-win
CM-store_training-KP-fabric_property-viscose-modal-tencel-mirror-win,store_training,TrainingMaterial,TrainingScript,{},domain_general,KP-fabric_property-viscose-modal-tencel-mirror-win
CM-outfit_recommendation-KP-fabric_property-silk-acetate-satin-honest-fabric,outfit_recommendation,Product|CustomerScenario,StylingRule|RiskDisclosure,{},domain_general,KP-fabric_property-silk-acetate-satin-honest-fabric
CM-store_training-KP-fabric_property-silk-acetate-satin-honest-fabric,store_training,TrainingMaterial,TrainingScript,{},domain_general,KP-fabric_property-silk-acetate-satin-honest-fabric
CM-outfit_recommendation-KP-fabric_property-wool-cashmere-care-claim-bound,outfit_recommendation,Product|CustomerScenario,StylingRule|RiskDisclosure,{},domain_general,KP-fabric_property-wool-cashmere-care-claim-bound
CM-store_training-KP-fabric_property-wool-cashmere-care-claim-bound,store_training,TrainingMaterial,TrainingScript,{},domain_general,KP-fabric_property-wool-cashmere-care-claim-bound
CM-outfit_recommendation-KP-fabric_property-denim-twill-mirror-not-truth,outfit_recommendation,Product|CustomerScenario,StylingRule|RiskDisclosure,{},domain_general,KP-fabric_property-denim-twill-mirror-not-truth
CM-store_training-KP-fabric_property-denim-twill-mirror-not-truth,store_training,TrainingMaterial,TrainingScript,{},domain_general,KP-fabric_property-denim-twill-mirror-not-truth
CM-outfit_recommendation-KP-fabric_property-chiffon-organza-layering-tool,outfit_recommendation,Product|CustomerScenario,StylingRule|RiskDisclosure,{},domain_general,KP-fabric_property-chiffon-organza-layering-tool
CM-display_guidance-KP-fabric_property-chiffon-organza-layering-tool,display_guidance,DisplayGuide|Product,DisplayLayout,{},domain_general,KP-fabric_property-chiffon-organza-layering-tool
CM-outfit_recommendation-KP-fabric_property-polyester-nylon-functional-no-blanket,outfit_recommendation,Product|CustomerScenario,StylingRule|RiskDisclosure,{},domain_general,KP-fabric_property-polyester-nylon-functional-no-blanket
CM-store_training-KP-fabric_property-polyester-nylon-functional-no-blanket,store_training,TrainingMaterial,TrainingScript,{},domain_general,KP-fabric_property-polyester-nylon-functional-no-blanket
CM-store_training-KP-craft_quality-preshrink-wash-set-after-sale-front,store_training,TrainingMaterial,TrainingScript,{},domain_general,KP-craft_quality-preshrink-wash-set-after-sale-front
CM-content_generation-KP-craft_quality-preshrink-wash-set-after-sale-front,content_generation,Product|CraftKnowledge,ProductCopy,{},domain_general,KP-craft_quality-preshrink-wash-set-after-sale-front
CM-store_training-KP-craft_quality-sewing-stitch-pucker-near-eye,store_training,TrainingMaterial,TrainingScript,{},domain_general,KP-craft_quality-sewing-stitch-pucker-near-eye
CM-display_guidance-KP-craft_quality-sewing-stitch-pucker-near-eye,display_guidance,DisplayGuide|Product,DisplayLayout,{},domain_general,KP-craft_quality-sewing-stitch-pucker-near-eye
CM-store_training-KP-craft_quality-fusing-lamination-silhouette-gate,store_training,TrainingMaterial,TrainingScript,{},domain_general,KP-craft_quality-fusing-lamination-silhouette-gate
CM-display_guidance-KP-craft_quality-fusing-lamination-silhouette-gate,display_guidance,DisplayGuide|Product,DisplayLayout,{},domain_general,KP-craft_quality-fusing-lamination-silhouette-gate
CM-outfit_recommendation-KP-craft_quality-dye-fastness-daily-risk,outfit_recommendation,Product|CustomerScenario,StylingRule|RiskDisclosure,{},domain_general,KP-craft_quality-dye-fastness-daily-risk
CM-store_training-KP-craft_quality-dye-fastness-daily-risk,store_training,TrainingMaterial,TrainingScript,{},domain_general,KP-craft_quality-dye-fastness-daily-risk
CM-store_training-KP-craft_quality-brushing-napping-aging-speed,store_training,TrainingMaterial,TrainingScript,{},domain_general,KP-craft_quality-brushing-napping-aging-speed
CM-outfit_recommendation-KP-craft_quality-brushing-napping-aging-speed,outfit_recommendation,Product|CustomerScenario,StylingRule|RiskDisclosure,{},domain_general,KP-craft_quality-brushing-napping-aging-speed
CM-display_guidance-KP-craft_quality-pleat-topstitch-pattern-match-care,display_guidance,DisplayGuide|Product,DisplayLayout,{},domain_general,KP-craft_quality-pleat-topstitch-pattern-match-care
CM-store_training-KP-craft_quality-pleat-topstitch-pattern-match-care,store_training,TrainingMaterial,TrainingScript,{},domain_general,KP-craft_quality-pleat-topstitch-pattern-match-care
CM-store_training-KP-fabric_property-soft-not-equal-premium,store_training,TrainingMaterial,TrainingScript,{},domain_general,KP-fabric_property-soft-not-equal-premium
CM-outfit_recommendation-KP-fabric_property-soft-not-equal-premium,outfit_recommendation,Product|CustomerScenario,StylingRule|RiskDisclosure,{},domain_general,KP-fabric_property-soft-not-equal-premium
CM-store_training-KP-fabric_property-heavy-not-equal-quality,store_training,TrainingMaterial,TrainingScript,{},domain_general,KP-fabric_property-heavy-not-equal-quality
CM-outfit_recommendation-KP-fabric_property-heavy-not-equal-quality,outfit_recommendation,Product|CustomerScenario,StylingRule|RiskDisclosure,{},domain_general,KP-fabric_property-heavy-not-equal-quality
CM-store_training-KP-fabric_property-wrinkle-not-equal-low-grade,store_training,TrainingMaterial,TrainingScript,{},domain_general,KP-fabric_property-wrinkle-not-equal-low-grade
CM-outfit_recommendation-KP-fabric_property-wrinkle-not-equal-low-grade,outfit_recommendation,Product|CustomerScenario,StylingRule|RiskDisclosure,{},domain_general,KP-fabric_property-wrinkle-not-equal-low-grade
CM-store_training-KP-fabric_property-gloss-not-equal-luxe,store_training,TrainingMaterial,TrainingScript,{},domain_general,KP-fabric_property-gloss-not-equal-luxe
CM-outfit_recommendation-KP-fabric_property-gloss-not-equal-luxe,outfit_recommendation,Product|CustomerScenario,StylingRule|RiskDisclosure,{},domain_general,KP-fabric_property-gloss-not-equal-luxe
CM-store_training-KP-fabric_property-pure-cotton-not-zero-risk,store_training,TrainingMaterial,TrainingScript,{},domain_general,KP-fabric_property-pure-cotton-not-zero-risk
CM-outfit_recommendation-KP-fabric_property-pure-cotton-not-zero-risk,outfit_recommendation,Product|CustomerScenario,StylingRule|RiskDisclosure,{},domain_general,KP-fabric_property-pure-cotton-not-zero-risk
CM-store_training-KP-fabric_property-composition-only-no-scenario-bound,store_training,TrainingMaterial,TrainingScript,{},domain_general,KP-fabric_property-composition-only-no-scenario-bound
CM-outfit_recommendation-KP-fabric_property-composition-only-no-scenario-bound,outfit_recommendation,Product|CustomerScenario,StylingRule|RiskDisclosure,{},domain_general,KP-fabric_property-composition-only-no-scenario-bound
CM-store_training-KP-craft_quality-store-risk-discipline-evidence-first,store_training,TrainingMaterial,TrainingScript,{},domain_general,KP-craft_quality-store-risk-discipline-evidence-first
CM-outfit_recommendation-KP-craft_quality-store-risk-discipline-evidence-first,outfit_recommendation,Product|CustomerScenario,StylingRule|RiskDisclosure,{},domain_general,KP-craft_quality-store-risk-discipline-evidence-first
CM-content_generation-KP-craft_quality-store-risk-discipline-evidence-first,content_generation,Product|CraftKnowledge,ProductCopy,{},domain_general,KP-craft_quality-store-risk-discipline-evidence-first
CM-store_training-KP-training_unit-microlearning-not-long-course,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-training_unit-microlearning-not-long-course""]}",domain_general,KP-training_unit-microlearning-not-long-course
CM-store_training-KP-training_unit-priority-by-impact-frequency-trust,store_training,"[""TrainingMaterial""]","[""TrainingPriorityList""]","{""governed_by"":[""RL-KP-training_unit-priority-by-impact-frequency-trust""]}",domain_general,KP-training_unit-priority-by-impact-frequency-trust
CM-store_training-KP-training_unit-standard-action-vs-judgment-skill,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-training_unit-standard-action-vs-judgment-skill""]}",domain_general,KP-training_unit-standard-action-vs-judgment-skill
CM-store_training-KP-training_unit-customer-first-look-judgment,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-training_unit-customer-first-look-judgment""]}",domain_general,KP-training_unit-customer-first-look-judgment
CM-store_training-KP-training_unit-try-on-guidance-one-main-one-backup,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-training_unit-try-on-guidance-one-main-one-backup""]}",domain_general,KP-training_unit-try-on-guidance-one-main-one-backup
CM-store_training-KP-training_unit-body-shape-objection-structure-points,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-training_unit-body-shape-objection-structure-points""]}",domain_general,KP-training_unit-body-shape-objection-structure-points
CM-store_training-KP-training_unit-fabric-touch-before-spec,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-training_unit-fabric-touch-before-spec""]}",domain_general,KP-training_unit-fabric-touch-before-spec
CM-store_training-KP-training_unit-styling-error-top-priority-eight,store_training,"[""TrainingMaterial""]","[""TrainingPriorityList""]","{""governed_by"":[""RL-KP-training_unit-styling-error-top-priority-eight""]}",domain_general,KP-training_unit-styling-error-top-priority-eight
CM-store_training-KP-training_unit-substitution-honest-disclosure,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-training_unit-substitution-honest-disclosure""]}",domain_general,KP-training_unit-substitution-honest-disclosure
CM-inventory_rescue-KP-training_unit-substitution-honest-disclosure,inventory_rescue,"[""InventoryState"",""CustomerScenario""]","[""RescueScript"",""RiskDisclosure""]","{""governed_by"":[""RL-KP-training_unit-substitution-honest-disclosure""]}",domain_general,KP-training_unit-substitution-honest-disclosure
CM-store_training-KP-training_unit-on-floor-four-layer-assessment,store_training,"[""TrainingMaterial""]","[""AssessmentProtocol""]","{""governed_by"":[""RL-KP-training_unit-on-floor-four-layer-assessment""]}",domain_general,KP-training_unit-on-floor-four-layer-assessment
CM-store_training-KP-training_unit-auto-trigger-rules,store_training,"[""TrainingMaterial"",""CustomerScenario"",""InventoryState""]","[""TrainingTriggerEvent""]","{""governed_by"":[""RL-KP-training_unit-auto-trigger-rules""]}",domain_general,KP-training_unit-auto-trigger-rules
CM-store_training-KP-training_unit-role-binding-frontline-priority,store_training,"[""TrainingMaterial"",""RoleProfile""]","[""TrainingDispatchPlan""]","{""governed_by"":[""RL-KP-training_unit-role-binding-frontline-priority""]}",domain_general,KP-training_unit-role-binding-frontline-priority
CM-store_training-KP-training_unit-color-hesitation-disambiguation,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-training_unit-color-hesitation-disambiguation""]}",domain_general,KP-training_unit-color-hesitation-disambiguation
CM-display_guidance-KP-display_rule-window-display-purpose,display_guidance,"[""DisplayGuide""]","[""DisplayPlan""]","{""governed_by"": [""RL-KP-display_rule-window-display-purpose""]}",domain_general,KP-display_rule-window-display-purpose
CM-store_training-KP-display_rule-window-display-purpose,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"": [""RL-KP-display_rule-window-display-purpose""]}",domain_general,KP-display_rule-window-display-purpose
CM-display_guidance-KP-display_rule-mannequin-display-purpose,display_guidance,"[""DisplayGuide""]","[""DisplayPlan""]","{""governed_by"": [""RL-KP-display_rule-mannequin-display-purpose""]}",domain_general,KP-display_rule-mannequin-display-purpose
CM-store_training-KP-display_rule-mannequin-display-purpose,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"": [""RL-KP-display_rule-mannequin-display-purpose""]}",domain_general,KP-display_rule-mannequin-display-purpose
CM-display_guidance-KP-display_rule-front-hanging-purpose,display_guidance,"[""DisplayGuide""]","[""DisplayPlan""]","{""governed_by"": [""RL-KP-display_rule-front-hanging-purpose""]}",domain_general,KP-display_rule-front-hanging-purpose
CM-store_training-KP-display_rule-front-hanging-purpose,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"": [""RL-KP-display_rule-front-hanging-purpose""]}",domain_general,KP-display_rule-front-hanging-purpose
CM-display_guidance-KP-display_rule-side-hanging-purpose,display_guidance,"[""DisplayGuide""]","[""DisplayPlan""]","{""governed_by"": [""RL-KP-display_rule-side-hanging-purpose""]}",domain_general,KP-display_rule-side-hanging-purpose
CM-store_training-KP-display_rule-side-hanging-purpose,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"": [""RL-KP-display_rule-side-hanging-purpose""]}",domain_general,KP-display_rule-side-hanging-purpose
CM-display_guidance-KP-display_rule-folded-display-purpose,display_guidance,"[""DisplayGuide""]","[""DisplayPlan""]","{""governed_by"": [""RL-KP-display_rule-folded-display-purpose""]}",domain_general,KP-display_rule-folded-display-purpose
CM-store_training-KP-display_rule-folded-display-purpose,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"": [""RL-KP-display_rule-folded-display-purpose""]}",domain_general,KP-display_rule-folded-display-purpose
CM-display_guidance-KP-display_rule-display-first-then-speak,display_guidance,"[""DisplayGuide""]","[""DisplayPlan""]","{""governed_by"":[""RL-KP-display_rule-display-first-then-speak""]}",domain_general,KP-display_rule-display-first-then-speak
CM-inventory_rescue-KP-inventory_rescue-can-rescue-scenarios,inventory_rescue,"[""InventoryState"",""StylingRule""]","[""StylingRule""]","{""governed_by"":[""RL-KP-inventory_rescue-can-rescue-scenarios""]}",domain_general,KP-inventory_rescue-can-rescue-scenarios
CM-inventory_rescue-KP-inventory_rescue-no-rescue-scenarios,inventory_rescue,"[""InventoryState"",""StylingRule""]","[""StylingRule""]","{""governed_by"":[""RL-KP-inventory_rescue-no-rescue-scenarios""]}",domain_general,KP-inventory_rescue-no-rescue-scenarios
CM-store_training-KP-service_judgment-budget-controlled,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-service_judgment-budget-controlled""]}",domain_general,KP-service_judgment-budget-controlled
CM-outfit_recommendation-KP-service_judgment-budget-controlled,outfit_recommendation,"[""CustomerScenario"",""Product""]","[""StylingRule""]","{""governed_by"":[""RL-KP-service_judgment-budget-controlled""]}",domain_general,KP-service_judgment-budget-controlled
CM-store_training-KP-service_judgment-commute-mainstay,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-service_judgment-commute-mainstay""]}",domain_general,KP-service_judgment-commute-mainstay
CM-outfit_recommendation-KP-service_judgment-commute-mainstay,outfit_recommendation,"[""CustomerScenario"",""Product""]","[""StylingRule""]","{""governed_by"":[""RL-KP-service_judgment-commute-mainstay""]}",domain_general,KP-service_judgment-commute-mainstay
CM-store_training-KP-service_judgment-functional-gap-fill,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-service_judgment-functional-gap-fill""]}",domain_general,KP-service_judgment-functional-gap-fill
CM-inventory_rescue-KP-service_judgment-functional-gap-fill,inventory_rescue,"[""InventoryState"",""StylingRule""]","[""StylingRule""]","{""governed_by"":[""RL-KP-service_judgment-functional-gap-fill""]}",domain_general,KP-service_judgment-functional-gap-fill
CM-store_training-KP-service_judgment-greeting-master-principles,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-service_judgment-greeting-master-principles""]}",domain_general,KP-service_judgment-greeting-master-principles
CM-store_training-KP-service_judgment-must-ask-first,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-service_judgment-must-ask-first""]}",domain_general,KP-service_judgment-must-ask-first
CM-store_training-KP-service_judgment-new-item-cannot-style,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-service_judgment-new-item-cannot-style""]}",domain_general,KP-service_judgment-new-item-cannot-style
CM-outfit_recommendation-KP-service_judgment-new-item-cannot-style,outfit_recommendation,"[""CustomerScenario"",""Product""]","[""StylingRule""]","{""governed_by"":[""RL-KP-service_judgment-new-item-cannot-style""]}",domain_general,KP-service_judgment-new-item-cannot-style
CM-store_training-KP-service_judgment-ready-made-full-set,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-service_judgment-ready-made-full-set""]}",domain_general,KP-service_judgment-ready-made-full-set
CM-display_guidance-KP-service_judgment-ready-made-full-set,display_guidance,"[""DisplayGuide""]","[""DisplayPlan""]","{""governed_by"":[""RL-KP-service_judgment-ready-made-full-set""]}",domain_general,KP-service_judgment-ready-made-full-set
CM-store_training-KP-service_judgment-repeat-purchase-replenish,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-service_judgment-repeat-purchase-replenish""]}",domain_general,KP-service_judgment-repeat-purchase-replenish
CM-outfit_recommendation-KP-service_judgment-repeat-purchase-replenish,outfit_recommendation,"[""CustomerScenario"",""Product""]","[""StylingRule""]","{""governed_by"":[""RL-KP-service_judgment-repeat-purchase-replenish""]}",domain_general,KP-service_judgment-repeat-purchase-replenish
CM-store_training-KP-service_judgment-second-third-set-blocker,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-service_judgment-second-third-set-blocker""]}",domain_general,KP-service_judgment-second-third-set-blocker
