rule_id,rule_type,applicable_when,success_scenario,flip_scenario,alternative_boundary,brand_layer,source_pack_id
RL-KP-styling_rule-silhouette-balance,hard_rule,通勤/大众/初次试穿/整组挂场,宽收对比成立穿上顺眼,上下同膨顾客觉得自己变壮,替代先守廓形角色再守颜色；高个偏瘦/oversize 街头风可反转,domain_general,KP-styling_rule-silhouette-balance
RL-KP-styling_rule-waistline-anchor,hard_rule,显高/显瘦/显精神诉求 + 梨形/H型/小个子/产后/通勤,腰线明确顾客觉得精神,长上衣全盖+低腰+无收束顾客觉得垮,高腰断码用腰带/短外套/层次制假腰线；不能用无腰线等效替代,domain_general,KP-styling_rule-waistline-anchor
RL-KP-styling_rule-one-focus,hard_rule,第一次种草/连带销售/安全成交盘,单一主角+其余降噪顾客一眼锁定,亮片+花+金属+大耳环顾客不下单,舞台/时装表达不在此限；主角断货替代保留主角功能,domain_general,KP-styling_rule-one-focus
RL-KP-styling_rule-color-echo,hard_rule,整套搭配/挂场分组/全部客群,至少两处颜色呼应整体显完整,孤立亮色其他断开画面散,同温度同明度替代；冷暖乱跳禁止；冲突感造型可放行,domain_general,KP-styling_rule-color-echo
RL-KP-styling_rule-neutral-plus-accent,soft_rule,通勤/怕出错/初次成交/安全盘/新导购首推,中性色打底+一处提气复制率高,全灰全米无材质层次显性冷淡,节庆/潮流年轻客群可高饱和反转；提气断货优先换配饰,domain_general,KP-styling_rule-neutral-plus-accent
RL-KP-styling_rule-structure-drape,soft_rule,想提升质感/客单较高门店/贵价商品搭配,材质对冲成立顾客觉得显贵,全软塌或全硬挺显廉价或老气,替代先守材质角色再守颜色；纯运动场景不适用,domain_general,KP-styling_rule-structure-drape
RL-KP-styling_rule-premium-item-neutralization,soft_rule,难卖主推款/设计感强商品/日常零售推荐,贵气+基础休闲降压顾客觉得能穿出门,贵气叠贵气视觉压迫顾客掉头,中和单品保留哑光/基础/低压力特征；婚礼/晚宴/典礼反转放行,domain_general,KP-styling_rule-premium-item-neutralization
RL-KP-styling_rule-face-brightness,soft_rule,成熟客/黄调肤色/熬夜脸/第一次试色,近脸提亮顾客气色好,近脸发灰发黄整体比例再对也显老,上装缺货优先替换近脸提亮件；强妆造场景不适用,domain_general,KP-styling_rule-face-brightness
RL-KP-styling_rule-formality-consistency,hard_rule,面试/会议/通勤/婚礼/商务男装,上下件正式度同级顾客觉得得体,套装配休闲鞋/礼服感配破洞牛仔顾客说不出但退,断码只能换同级正式度；混搭风可放行,domain_general,KP-styling_rule-formality-consistency
RL-KP-styling_rule-menswear-belt-shoe,hard_rule,男装西装/商务/婚礼/面试 formal dressing 场景,鞋腰带颜色皮质正式度一致顾客觉得专业,黑鞋浅棕编织带或正装鞋休闲带顾客掉头,鞋断货优先同色同正式度替代不换整套西装；纯休闲/球鞋/工装/无腰带场景反转放行,domain_general,KP-styling_rule-menswear-belt-shoe
RL-KP-styling_rule-single-problem-priority,hard_rule,全部导购/全部门店/全部接客场景,单点顾虑精准解决顾客成交,卖点堆满顾客决策瘫痪不下单,原款缺货替代必须优先守住顾客最在意的那一个点,domain_general,KP-styling_rule-single-problem-priority
RL-KP-styling_rule-substitution-priority-ladder,hard_rule,主件断码/库存救场/陈列替换,按四级顺序守功能替代后顾客接受,只长得像功能不一样顾客试穿后掉头,任一前三级掉级判定不能替代→进入库存救场或转向；不找长得像的找功能一样的,domain_general,KP-styling_rule-substitution-priority-ladder
RL-KP-styling_rule-looks-good-but-unsellable,hard_rule,门店推荐定稿/主推墙上墙/培训反例对照,通过 7 类反例筛选门店转化稳定,命中任一反例仍上推荐或上墙顾客不停留不下单,命中后回到对应正向规则修正：silhouette_balance/proportion_split/premium_item_neutralization/formality_consistency 或改造为问题解决墙,domain_general,KP-styling_rule-looks-good-but-unsellable
RL-KP-fabric_property-cotton-knit-familiar-trap,fabric_recommendation_disclosure,面料=棉针织/棉弹 且 顾客=粗放洗护或默认纯棉零风险,前置六类风险，顾客接受洗护小心后无售后异议,只讲亲肤吸汗未讲风险 → 洗一次回缩或白色透出 → 退换/差评,要求领口不松→罗纹高密；白色怕透→双层或深色；要免烫→梭织棉,domain_general,KP-fabric_property-cotton-knit-familiar-trap
RL-KP-fabric_property-viscose-modal-tencel-mirror-win,fabric_recommendation_disclosure,面料=粘胶/莫代尔/天丝 且 顾客在意修形或贴肉,把软垂讲为顺身体而非修形，前置六类风险 → 顾客接受流动感,把软垂卖成修形 → 顾客觉得显胖或暴露体表 → 退换/差评,要清晰轮廓→梭织棉麻/重磅缎；要流动感不挂长→厚克重莫代尔混纺,domain_general,KP-fabric_property-viscose-modal-tencel-mirror-win
RL-KP-fabric_property-silk-acetate-satin-honest-fabric,fabric_recommendation_disclosure,面料=真丝/醋酸/高光泽缎 且 顾客可能在意暴露感,前置光泽放大效应+七类风险 → 顾客按容忍度选款无售后,只卖光泽不讲暴露感 → 上身发现腹部/内衣边明显 → 退换/差评,怕暴露→哑光仿缎/砂洗真丝；怕勾丝→高密织法；怕静电→真丝主成分而非涤纶缎,domain_general,KP-fabric_property-silk-acetate-satin-honest-fabric
RL-KP-fabric_property-wool-cashmere-care-claim-bound,fabric_recommendation_disclosure,面料=羊毛/羊绒/毛混 且 顾客问机洗或起球或刺痒,先看 care claim 再答 + 前置六类风险 + 破除三大误判 → 顾客按标洗护无纠纷,拍脑袋答机洗或承诺羊绒不起球 → 毡缩或起球 → 退换/差评,一律机洗→Machine Washable防缩款；刺痒敏感→美利奴细支；介意起球→紧捻高密针织,domain_general,KP-fabric_property-wool-cashmere-care-claim-bound
RL-KP-fabric_property-denim-twill-mirror-not-truth,fabric_recommendation_disclosure,面料=牛仔/斜纹重棉 且 顾客有久坐/蹲起/浅色搭配场景,前置五类风险+按场景选款 → 顾客接受支撑感与穿着代价无纠纷,只卖显瘦有精神 → 久坐勒腰/掉色/回缩 → 退换/差评,久坐怕勒→高弹力混纺；怕掉色→水洗退浆款；怕回缩→Sanforized预缩或大一码,domain_general,KP-fabric_property-denim-twill-mirror-not-truth
RL-KP-fabric_property-chiffon-organza-layering-tool,fabric_recommendation_disclosure,面料=雪纺/欧根纱/轻透材 且 顾客想单穿显瘦,定位为层次工具+前置五类风险 → 顾客叠穿氛围成立无纠纷,卖为单穿主力 → 透出体表/内衣 → 退换/差评,要单穿→带衬里乔其或厚款；怕静电→含天然纤维或抗静电整理；怕勾丝→欧根纱或带肌理款,domain_general,KP-fabric_property-chiffon-organza-layering-tool
RL-KP-fabric_property-polyester-nylon-functional-no-blanket,fabric_recommendation_disclosure,面料=涤纶/锦纶/功能化纤 且 顾客问化纤或好打理,按四维分水岭+前置六类风险 → 顾客按场景选款无纠纷,只讲好打理或一刀切贬低化纤 → 闷热/发亮投诉或话术失信,怕闷→含天然纤维或吸湿排汗整理；怕发亮→哑光后整理；怕静电→抗静电整理款,domain_general,KP-fabric_property-polyester-nylon-functional-no-blanket
RL-KP-craft_quality-preshrink-wash-set-after-sale-front,craft_promise_gate,推荐遇水易变形面料 且 准备说耐穿稳定好打理,工艺信息齐全且到位 → 可用稳定卖点 → 顾客洗后无走样,无工艺信息但仍承诺不会缩 → 走样 → 退换/差评,信息不可得→改代偿话术；要全机洗→Sanforized款,domain_general,KP-craft_quality-preshrink-wash-set-after-sale-front
RL-KP-craft_quality-sewing-stitch-pucker-near-eye,craft_signal_recognition,近看款顾客对缝口提出疑问 或 店员近距离品质讲解,识别并坦诚解释四源 → 顾客认可懂行 不视为黑点,归咎线松紧或反驳设计感 → 信任受损 或 把明显失败品当讲究卖,面料致皱→坦诚说明；针线规格→换批；明显失败→换款换码,domain_general,KP-craft_quality-sewing-stitch-pucker-near-eye
RL-KP-craft_quality-fusing-lamination-silhouette-gate,craft_promise_gate,推荐讲轮廓款 且 准备喊挺立利落骨架卖点,衬与贴合到位 → 穿几次后无翻边起泡 → 卖点成立,衬未到位仍喊挺立 → 翻边起泡脱层 → 退换/差评,无法确认衬到位→改卖面料/版型/设计感；已起泡→换款换码,domain_general,KP-craft_quality-fusing-lamination-silhouette-gate
RL-KP-craft_quality-dye-fastness-daily-risk,craft_quality_disclosure,推浅深拼接/深色/长期背包/浅色叠穿单品,前置褪色沾色风险+建议首次单洗 → 顾客无染色事故,只对深色提风险 → 拼接沾色或包带褪色 → 退换/差评,在意沾色→水洗退浆或浅色款；浅深叠穿→加隔层或选高色牢度款,domain_general,KP-craft_quality-dye-fastness-daily-risk
RL-KP-craft_quality-brushing-napping-aging-speed,craft_promise_gate,推荐用软糯绒暖亲肤做卖点的单品,表层处理+摩擦位耐受到位 → 三次穿后无显旧 → 卖点成立,无防起球整理仍喊耐穿亲肤 → 三次后球化 → 退换/差评,高频背包党→紧捻高密或防起球整理；短周期款→改卖季节亮点,domain_general,KP-craft_quality-brushing-napping-aging-speed
RL-KP-craft_quality-pleat-topstitch-pattern-match-care,craft_promise_gate,推讲究款 且 准备喊做工感品质感工艺感卖点,四项细节同时过关 → 近看用心 → 卖点+陈列高级层级成立,四项任一不过仍喊讲究 → 顾客近看判定将就 → 信任受损,部分不过关→改卖面料/版型/设计；高级位需要候补→选四项全过关替代款,domain_general,KP-craft_quality-pleat-topstitch-pattern-match-care
RL-KP-fabric_property-soft-not-equal-premium,misjudgment_correction,店员或顾客把软作为高级判断核心 且 软垂面料,纠偏为触感+前置三类风险 → 顾客理性选择无投诉,把软=高级卖给在意贴肉/挂长顾客 → 暴露体表 → 退换/差评,真要高级感→重磅缎/廓形面料；爱软触感→接受贴肉挂长选适合款,domain_general,KP-fabric_property-soft-not-equal-premium
RL-KP-fabric_property-heavy-not-equal-quality,misjudgment_correction,店员或顾客用掂手感重做质感判断,用五维替代手掂 → 顾客避开过重压身款无投诉,把重=质感 → 顾客发现压肩/闷 → 退换/差评,在意质感→五维替代；怕压身→相同结构更轻克重款,domain_general,KP-fabric_property-heavy-not-equal-quality
RL-KP-fabric_property-wrinkle-not-equal-low-grade,misjudgment_correction,店员或顾客把会皱等同于低级,区分两类皱+做接受度判断 → 顾客理性接受材质表情类,统一定义会皱=低级 → 错失适合顾客 或 用材质表情借口糊弄真缺陷,不接受表情类→免烫混纺；要求全天平整→定型工艺到位款；缺陷类→按品质问题处理,domain_general,KP-fabric_property-wrinkle-not-equal-low-grade
RL-KP-fabric_property-gloss-not-equal-luxe,misjudgment_correction,店员或顾客把光泽等同显贵,区分两类光泽+提示放大器属性 → 顾客按条件选自然柔和光款,把任何光泽卖成显贵 → 自然光下塑料感 → 退换/差评,真要显贵→重磅真丝/醋酸缎；在意体表痕迹→哑光仿缎；塑料反光→改卖派对短时穿着,domain_general,KP-fabric_property-gloss-not-equal-luxe
RL-KP-fabric_property-pure-cotton-not-zero-risk,misjudgment_correction,店员或顾客把纯棉等同零风险,纠偏成成分维度+四类共性风险+针织额外三项 → 顾客理性选择无投诉,用纯棉做万能背书 → 顾客发现透/卷/缩/变形 → 退换/差评,要零风险→高稳定棉混合化纤；针织棉→显式提领口下摆稳定性；薄浅色→推内搭,domain_general,KP-fabric_property-pure-cotton-not-zero-risk
RL-KP-fabric_property-composition-only-no-scenario-bound,misjudgment_correction,店员推荐或回答只停留在成分层,讲成分+问六维情境绑定动作 → 同款不同顾客得不同建议都成立,只讲成分忽略场景 → 情境不匹配翻车 → 退换/差评,情境信息不全→问1-2关键问题；顾客拒答→列风险让自评；培训→用do_dont_contrast,domain_general,KP-fabric_property-composition-only-no-scenario-bound
RL-KP-craft_quality-store-risk-discipline-evidence-first,store_unified_voice,店员回答任何 8 类风险问题,按风险种类引用对应证据维度回答 → 跨门店口径稳定 顾客信任,凭手感/感觉/挂着平判断 → 洗后翻车 → 退换/差评,无证据→用代偿话术；坚持直答→基于证据的概率描述；证据冲突→洗护标>店员经验,domain_general,KP-craft_quality-store-risk-discipline-evidence-first
RL-KP-training_unit-microlearning-not-long-course,training_format_policy,设计/采购/复用任何门店培训内容,改用微学习+情境+Do/Don't+提取练习员工现场能复现,做成长课/PPT灌输/看过即学完培训完成率高但执行率低,合规法律内容仍需系统化；纯线上文档需调整提取练习方式,domain_general,KP-training_unit-microlearning-not-long-course
RL-KP-training_unit-priority-by-impact-frequency-trust,training_priority_policy,编排首批训练单元清单或季度培训规划,按三维度评分挑选首批8-12单元集中在Top8错误上门店成交最先变化,平均用力铺大全高优先级错误未被改掉信任持续流失,合规安全类必须100%覆盖；稳定门店改为按30天异常事件驱动,domain_general,KP-training_unit-priority-by-impact-frequency-trust
RL-KP-training_unit-standard-action-vs-judgment-skill,training_format_mapping,设计或改造任一培训单元,按 skill_type 匹配格式动作类拍手部空间动作判断类放情境演练,格式错配员工听过看过但现场做不出来或只会套万能话术,混合型单元拆成两段；资源紧张先保 judgment_skill,domain_general,KP-training_unit-standard-action-vs-judgment-skill
RL-KP-training_unit-customer-first-look-judgment,customer_intake_classification,顾客进店后导购第一次接触前 20 秒,20 秒内分入 4 型并选定向开口顾客被命中诉求愿意接话,上来报卖点/价格/面料顾客回再看看整段接客失效,老顾客可跳过分类；明确单品型可直进单品路径,domain_general,KP-training_unit-customer-first-look-judgment
RL-KP-training_unit-try-on-guidance-one-main-one-backup,try_on_guidance_policy,顾客进试衣间前 30 秒,先答主担忧再给主+备 2 件顾客能清楚说出适合或不适合理由,塞 3-5 件进试衣间顾客出来只说都还行或再看看决策信号丢失,顾客明确自助试穿→尊重；促销扫货模式→改为先收件后筛,domain_general,KP-training_unit-try-on-guidance-one-main-one-backup
RL-KP-training_unit-body-shape-objection-structure-points,body_shape_objection_response,顾客抛出身型类顾虑（显胖/显矮/显胯/显腿短/显脖短等）,导购指出至少 2 个具体结构点的作用并请顾客在镜前确认顾客认同建立专业感,只会空喊显瘦显高顾客觉得是套路本款及后续推荐均被否,实质是面料/颜色伪装→走对应路径；本款确实不利→诚实转向,domain_general,KP-training_unit-body-shape-objection-structure-points
RL-KP-training_unit-fabric-touch-before-spec,fabric_explanation_sequence,顾客对面料发问或在镜前犹豫面料体感,先邀请摸袖口/里层/领口再用比喻翻译成参数顾客形成具体记忆,上来背成分克重顾客敷衍回应面料话题打不开,线上场景改为高质量视频+比喻；面料专业顾客可跳过触摸,domain_general,KP-training_unit-fabric-touch-before-spec
RL-KP-training_unit-styling-error-top-priority-eight,error_priority_focus,冷启动或大批新人入职首批纠错训练编排,首批培训资源100%聚焦8类Top错误门店成交在4-8周内可观测改善,20类平均铺开员工记不全用不出8类高优先级错误继续发生,稳定门店改为月度异常事件驱动；合规安全不参与此裁剪,domain_general,KP-training_unit-styling-error-top-priority-eight
RL-KP-training_unit-substitution-honest-disclosure,substitution_disclosure_policy,顾客想买的款断码/断色/缺整套→进入替代或转向,明确告知是替代+说清哪里变了+解释为什么仍成立+邀请确认长期信任建立,把替代说成同款/硬推不合尺码/不解释换色/只否定不转向退货+差评+连带新客流失,替代过远→直接放弃；调拨场景走调拨话术不走本规则；顾客已自决→尊重,domain_general,KP-training_unit-substitution-honest-disclosure
RL-KP-training_unit-on-floor-four-layer-assessment,assessment_layer_mapping,培训单元完成 / 新人入职满 4 周 / 季度复评,按 skill_type 选层验收培训完成与现场执行两条曲线对齐,做背题/答题/签到员工过了但门店实际没改善培训系统失公信力,合规法律加书面项不替代四层；远程门店用视频补 A/B/C，D 层须线下补做,domain_general,KP-training_unit-on-floor-four-layer-assessment
RL-KP-training_unit-auto-trigger-rules,training_auto_dispatch,已运营门店采集到 6 类信号之一,信号触发即派发 microlearning 单元错误从月级到周级被纠偏,靠月度排课错误反复发生直到顾客投诉/退货才进入复盘队列,新店 7 天内用首批计划替代；无数据系统时改店长日志手工判定,domain_general,KP-training_unit-auto-trigger-rules
RL-KP-training_unit-role-binding-frontline-priority,training_role_binding_priority,首批培训对象编排或培训资源分配复盘,前线 3 岗优先绑定 TrainingMaterial 门店执行率提升,总部岗位优先前线边缘化门店执行长期拉不起来,纯设计开发知识优先 designer/sample_worker；合规流程类全岗位覆盖,domain_general,KP-training_unit-role-binding-frontline-priority
RL-KP-training_unit-color-hesitation-disambiguation,color_concern_disambiguation,顾客对颜色发问或在镜前犹豫颜色,拆到 4 类顾虑之一并定向回应颜色话题被打开推进到下一步,只回显白百搭顾客敷衍放下衣服本款及颜色突破点失效,纯审美偏好直接转替代色；明确单一顾虑直接走对应路径,domain_general,KP-training_unit-color-hesitation-disambiguation
RL-KP-display_rule-window-display-purpose,window_display_setup,上新/季节切换/节庆活动/主推变更,路人看懂主推+进店率提升,店外好看店内拿不齐/塞太多/道具压货/季节错位,库存稀薄→单焦点+主题道具；季节切换→双焦点过渡,domain_general,KP-display_rule-window-display-purpose
RL-KP-display_rule-mannequin-display-purpose,mannequin_look_setup,上新/模特位调整/主推切换,整身穿着结果引发试穿欲整套带走率提升,像大片不像门店/主件有货配件没货/层次过重,配件断码→同气质替代或退正挂；层次重→减层留点睛；多模特无 hold→退单模特,domain_general,KP-display_rule-mannequin-display-purpose
RL-KP-display_rule-front-hanging-purpose,front_hanging_setup,上新/主推切换/日常陈列维护,顾客一眼锁定第一主款主推转化率提升,一排都是重点/颜色风格长度乱/挂没货样子款,主推无货→临时下撤；多候选冲突→选一个进正挂,domain_general,KP-display_rule-front-hanging-purpose
RL-KP-display_rule-side-hanging-purpose,side_hanging_setup,日常补货/上新衍生/季节换挂,顾客敢翻愿拿能找自己的码色版型,像仓库/挂太满/顺序乱/季节混挂,库存稀薄→收并正挂；季节切换→先清旧再上新,domain_general,KP-display_rule-side-hanging-purpose
RL-KP-display_rule-folded-display-purpose,folded_display_setup,日常补货/上新衍生/折叠位维护,顾客敢抽能展开看面料顺手加购,叠太高/尺码混叠/没打开样件/只求齐,库存稀薄→正挂单挂或收回库；样件易脏→2 小时补换机制,domain_general,KP-display_rule-folded-display-purpose
RL-KP-display_rule-display-first-then-speak,visual_first_then_verbal,4 类指定场景；门口/成套位/新款陈列前,顾客完成视觉判断后主动询问；导购话术直接落在她已经认可的视觉点上，转化高,顾客刚停下就被开口打断，视觉判断流断裂，礼貌走开,"顾客停留超过 90 秒未主动开口 → 用一句""模特那身用的就是这件""切入，不要追问需求；模特位陈列效果与单品差异大 → 提前说明，避免试穿落差",domain_general,KP-display_rule-display-first-then-speak
RL-KP-inventory_rescue-can-rescue-scenarios,rescue_axis_substitution,5 类指定场景且核心轴有库存可对齐,"替代品成交且顾客理解""为什么是它""，复购信任不减",不识轴硬换（如周末社交客被推通勤款），核心轴错位，顾客拒绝,"核心轴库存也断 → 转预售/调货，不强凑；顾客明确""我只要那一款"" → 退出救场，不强转",domain_general,KP-inventory_rescue-can-rescue-scenarios
RL-KP-inventory_rescue-no-rescue-scenarios,rescue_refusal_disclosure,3 类指定场景的关键参数断码,顾客感到被坦诚对待，复购信任不损甚至加强,"用""还行""""差不多""硬救，顾客试穿后落差大，当场流失或日后差评",改场合定位（应急客可降级到 weekend 或 commute 路径）；顾客愿意等 → 预留款 + 到货通知；顾客不愿等也不接受替代 → 礼貌结束接客，不留尴尬,domain_general,KP-inventory_rescue-no-rescue-scenarios
RL-KP-service_judgment-budget-controlled,budget_axis_first,顾客明确说出预算或价格上限的接客,"顾客在预算内带走 1-2 件并对""值""有清晰说法，复购信任建立","用""再加一件就更划算""的话术，顾客感觉被推销超预算，反而退回原本想买的","单件主力断码 → 同价位带同功能位替；不退到组合路径；顾客摇摆主力 vs 组合 → 用""上次复购数据""或""利用率比较""帮她锁",domain_general,KP-service_judgment-budget-controlled
RL-KP-service_judgment-commute-mainstay,utility_anchored_set,一线/二线日常通勤客；办公室或商务场景,第二套挂上利用率理由后顾客带走；后续成为复购锚点,"第二套继续用""也挺百搭""话术，顾客回""先看看""，回头率低","顾客明确""今天就要带一件"" → 跳过第二套利用率铺垫，直接锁第一套；库存断码 → 同功能位换色/换细节，禁换核心版型",domain_general,KP-service_judgment-commute-mainstay
RL-KP-service_judgment-functional-gap-fill,wardrobe_map_then_fill,"顾客明确说出""缺什么""的接客","顾客带走那一件并主动说""刚好缺这个""，复购预期高",想顺手加推第二主件，顾客感到被推销，连原本想买的那件也搁置,缺位件断码 → 同功能位的同色/同版型替；可救率高；顾客对自己衣柜不熟 → 改走通勤主力或周末社交路径,domain_general,KP-service_judgment-functional-gap-fill
RL-KP-service_judgment-greeting-master-principles,greeting_decision_order,任何门店接客,四原则按顺序走完，10 类细分场景都能命中正确判断起点,颠倒顺序（先推货再判任务/先给套再问顾虑/三套同一逻辑/嘴上松就硬救），整段接客失败,顾客拒绝沟通 → 仍按原则 1 静默判断任务后再决定是否开口；客流爆满 → 砍原则 3 的第三套，但前两条不能砍,domain_general,KP-service_judgment-greeting-master-principles
RL-KP-service_judgment-must-ask-first,precondition_question_first,6 类指定场景的接客起点,前置参数齐 → 第一套精准 → 第二套有方向 → 成交概率显著提升,"跳过追问直接推货，顾客觉得""和我没关系""，整段接客白烧","顾客拒答 → 用同类客的 2-3 个常见参数选项让她挑（缩窄而非放弃）；顾客自带参数（如已说""我穿 M 码""） → 跳过对应追问，直接进推荐",domain_general,KP-service_judgment-must-ask-first
RL-KP-service_judgment-new-item-cannot-style,dual_path_styling,新款/设计款单品接客,顾客带走主件 + 至少 1 件搭配件，回家后真的穿出去,"只给一条搭法或夸""百搭""，顾客带回去发现""不会穿""，变成衣柜挂件","出彩穿法库存断 → 退到保守穿法 + 1 件可换鞋说明，仍可成交；顾客对两条路都不接受 → 进 styling_rule 的""风格反转""边界，重新匹配气质",domain_general,KP-service_judgment-new-item-cannot-style
RL-KP-service_judgment-ready-made-full-set,motive_disambiguation_then_set,顾客主动放弃挑选权的接客,顾客认同第二套整体感，整套带走或带 2 件以上,"把""现成""理解成""快速凑""，断码后随手换件，整体气质崩，顾客只带 1 件甚至空手走","整套断码 → 退回到""主件 + 1 件辅件""的最小成套，不强凑 3 件；顾客对成套位某件不满 → 同气质同场景替换，不跨气质替换",domain_general,KP-service_judgment-ready-made-full-set
RL-KP-service_judgment-repeat-purchase-replenish,satisfaction_axis_disambiguation,"顾客带""上次买过""参照的接客","顾客认可""这条和上次那条是一个逻辑""，复购完成且对店员信任加深","凭印象拿""差不多的""，顾客对照旧款发现核心轴不对，当场退或日后差评","原款全断 → 同逻辑同轴替；明确告知""这是同一逻辑下的替代款""；顾客自己说不清满意点 → 拿出历史购买记录辅助回忆，再锁轴",domain_general,KP-service_judgment-repeat-purchase-replenish
RL-KP-service_judgment-second-third-set-blocker,second_set_logic_switch,5 类指定场景的第二/第三套推荐,第二套打中场景特定逻辑，整套或主件成交,"用第一套的逻辑重复推第二、三套，顾客觉得""都差不多""，全部退出",顾客自带第二套方向 → 顺势承接，不必硬切到模板；时间不允许（应急下顾客赶时间）→ 砍第三套，第二套必须打透,domain_general,KP-service_judgment-second-third-set-blocker
RL-KP-service_judgment-shape-correction,body_anchor_then_fit_lock,顾客主动披露身体顾虑的接客,顾客在镜子前主动转身、放松，接受第二/三套微调；建立长期信任,"用""不会显胖""等空话搪塞，关键参数没对上，顾客脱掉就走且不再回头","关键参数库存断 → 转告""这版我们当前救不了""，预留下次到货；顾客顾虑模糊（说""全身都不太满意""） → 用 1 件试穿建立基线再细化",domain_general,KP-service_judgment-shape-correction
RL-KP-service_judgment-urgent-full-look,scenario_first_then_set,任何带明确场合与时间锁的应急接客,第二套打中本人气质，顾客整套带走或带主件；信任在场合上锁定,"上来就抓款配套，第一套""能去""但第二套塌方，顾客觉得""都还行但都不像我""，最后空手走","主件断码且气质无替代 → 转告顾客""这套救不了""，引导改场合定位；时间极紧（当天要穿）→ 砍掉第三套，集中火力把第二套打透",domain_general,KP-service_judgment-urgent-full-look
