field_id,owner_type,field_name,data_type,value_set_id,semantic_id,brand_layer,source_pack_id
FD-Attribute-used_in_modules,Attribute,used_in_modules,list_of_string,,,domain_general,KP-product_attribute-shared-6-decision-dims
FD-Attribute-canonical_value,Attribute,canonical_value,string,,SM-KP-product_attribute-synonym-convergence-canonical,domain_general,KP-product_attribute-synonym-convergence
FD-Attribute-synonyms,Attribute,synonyms,list_of_string,,,domain_general,KP-product_attribute-synonym-convergence
FD-Product-fabric_story,Product,fabric_story,text,VS-KP-product_attribute-display-only-fields-display_fields,SM-KP-product_attribute-display-only-fields-display_only,domain_general,KP-product_attribute-display-only-fields
FD-Product-craft_story,Product,craft_story,text,VS-KP-product_attribute-display-only-fields-display_fields,SM-KP-product_attribute-display-only-fields-display_only,domain_general,KP-product_attribute-display-only-fields
FD-Product-designer_note,Product,designer_note,text,VS-KP-product_attribute-display-only-fields-display_fields,SM-KP-product_attribute-display-only-fields-display_only,domain_general,KP-product_attribute-display-only-fields
FD-Product-care_instruction,Product,care_instruction,text,VS-KP-product_attribute-display-only-fields-display_fields,SM-KP-product_attribute-display-only-fields-display_only,domain_general,KP-product_attribute-display-only-fields
FD-Product-selling_points_copy,Product,selling_points_copy,text,VS-KP-product_attribute-display-only-fields-display_fields,SM-KP-product_attribute-display-only-fields-display_only,domain_general,KP-product_attribute-display-only-fields
FD-Product-model_reference,Product,model_reference,string,VS-KP-product_attribute-display-only-fields-display_fields,SM-KP-product_attribute-display-only-fields-display_only,domain_general,KP-product_attribute-display-only-fields
FD-Collection-collection_id,Collection,collection_id,string,,,domain_general,KP-product_attribute-collection-cold-start-scope
FD-Collection-collection_name,Collection,collection_name,string,,SM-KP-product_attribute-collection-cold-start-scope-three_roles,domain_general,KP-product_attribute-collection-cold-start-scope
FD-Collection-theme_keywords,Collection,theme_keywords,list_of_string,,,domain_general,KP-product_attribute-collection-cold-start-scope
FD-Collection-display_priority,Collection,display_priority,enum,,,domain_general,KP-product_attribute-collection-cold-start-scope
FD-StylingRule-rule_level,StylingRule,rule_level,enum,,,domain_general,KP-styling_rule-proportion-split-37
FD-StylingRule-rule_name,StylingRule,rule_name,string,,,domain_general,KP-styling_rule-proportion-split-37
FD-CraftKnowledge-craft_feature,CraftKnowledge,craft_feature,string,,,domain_general,KP-craft_quality-preshrink-wash-set-after-sale-front
FD-CraftKnowledge-quality_signal,CraftKnowledge,quality_signal,list_of_string,,,domain_general,KP-craft_quality-pleat-topstitch-pattern-match-care
FD-CraftKnowledge-failure_signal,CraftKnowledge,failure_signal,list_of_string,,,domain_general,KP-craft_quality-sewing-stitch-pucker-near-eye
FD-TrainingMaterial-format,TrainingMaterial,format,enum,VS-KP-training_unit-microlearning-not-long-course-format,,domain_general,KP-training_unit-microlearning-not-long-course
FD-TrainingMaterial-mastery_check,TrainingMaterial,mastery_check,string,,SM-KP-training_unit-microlearning-not-long-course-completion_definition,domain_general,KP-training_unit-microlearning-not-long-course
FD-TrainingMaterial-priority_score,TrainingMaterial,priority_score,composite,,SM-KP-training_unit-priority-by-impact-frequency-trust-priority_dim,domain_general,KP-training_unit-priority-by-impact-frequency-trust
FD-TrainingMaterial-skill_type,TrainingMaterial,skill_type,enum,VS-KP-training_unit-standard-action-vs-judgment-skill-skill_type,SM-KP-training_unit-standard-action-vs-judgment-skill-skill_type,domain_general,KP-training_unit-standard-action-vs-judgment-skill
FD-CustomerScenario-customer_type,CustomerScenario,customer_type,enum,VS-KP-training_unit-customer-first-look-judgment-customer_type,SM-KP-training_unit-customer-first-look-judgment-customer_type,domain_general,KP-training_unit-customer-first-look-judgment
FD-TrainingMaterial-assessment_method,TrainingMaterial,assessment_method,enum,VS-KP-training_unit-on-floor-four-layer-assessment-layer,SM-KP-training_unit-on-floor-four-layer-assessment-layer,domain_general,KP-training_unit-on-floor-four-layer-assessment
FD-RoleProfile-role_layer,RoleProfile,role_layer,enum,,SM-KP-training_unit-role-binding-frontline-priority-role_layer,domain_general,KP-training_unit-role-binding-frontline-priority
FD-DisplayGuide-training_tier,DisplayGuide,training_tier,enum,,,domain_general,KP-display_rule-window-display-purpose
FD-CustomerScenario-blockers,CustomerScenario,blockers,string,,,domain_general,KP-service_judgment-urgent-full-look
FD-InventoryState-rescue_disposition,InventoryState,rescue_disposition,enum,,,domain_general,KP-inventory_rescue-can-rescue-scenarios
FD-Persona-scope,Persona,scope,enum,,,domain_general,KP-training_unit-founder-profile-brand-unique-layer
FD-Persona-multiplicity,Persona,multiplicity,string,,,domain_general,KP-training_unit-founder-profile-brand-unique-layer
FD-Persona-layer,Persona,layer,enum,,,domain_general,KP-training_unit-founder-profile-brand-unique-layer
FD-Persona-enablement_flag,Persona,enablement_flag,bool,,,domain_general,KP-training_unit-founder-profile-soft-use-no-rename
FD-Persona-display_name,Persona,display_name,string,,,domain_general,KP-training_unit-founder-profile-soft-use-no-rename
FD-Persona-persona_count_cap,Persona,persona_count_cap,int,,,domain_general,KP-training_unit-persona-vs-roleprofile-layering
FD-RoleProfile-role_function,RoleProfile,role_function,enum,,,domain_general,KP-training_unit-roleprofile-not-speaking-shell
FD-Persona-role_type,Persona,role_type,string,,,domain_general,KP-product_attribute-persona-six-field-shell
FD-Persona-life_archetype,Persona,life_archetype,string,,,domain_general,KP-product_attribute-persona-six-field-shell
FD-Persona-emotional_spectrum,Persona,emotional_spectrum,list_of_string,,,domain_general,KP-product_attribute-persona-six-field-shell
FD-Persona-authenticity_anchors,Persona,authenticity_anchors,list_of_string,,,domain_general,KP-product_attribute-persona-six-field-shell
FD-Persona-topic_scope,Persona,topic_scope,composite,,SM-KP-product_attribute-persona-six-field-shell-topic_scope,domain_general,KP-product_attribute-persona-six-field-shell
FD-Persona-typical_scenarios,Persona,typical_scenarios,list_of_string,,,domain_general,KP-product_attribute-persona-six-field-shell
FD-Persona-field_fill_state,Persona,field_fill_state,enum,VS-KP-product_attribute-persona-field-fill-state-fill_state,SM-KP-product_attribute-persona-field-fill-state-fill_state,domain_general,KP-product_attribute-persona-field-fill-state
FD-InventoryState-match_status,InventoryState,match_status,enum,,,domain_general,KP-inventory_rescue-match-result-output-shape
FD-InventoryState-decision_mode,InventoryState,decision_mode,enum,,,domain_general,KP-inventory_rescue-match-result-output-shape
FD-InventoryState-display_permission_level,InventoryState,display_permission_level,enum,,,domain_general,KP-inventory_rescue-match-result-output-shape
FD-InventoryState-sensing_layer,InventoryState,sensing_layer,enum,,,domain_general,KP-inventory_rescue-shallow-vs-deep-sensing
FD-Persona-persona_id,Persona,persona_id,string,,,domain_general,KP-product_attribute-persona-three-shell-coverage
FD-Persona-cold_start_positioning,Persona,cold_start_positioning,string,,,domain_general,KP-product_attribute-persona-three-shell-coverage
FD-Persona-persona_definition_kind,Persona,persona_definition_kind,enum,,,domain_general,KP-product_attribute-persona-shell-not-equal-role
FD-Persona-anti_pattern_check_state,Persona,anti_pattern_check_state,enum,,,domain_general,KP-training_unit-persona-anti-pattern-checklist
FD-TrainingMaterial-collection_priority,TrainingMaterial,collection_priority,enum_ordered,,,domain_general,KP-training_unit-collect-real-action-before-script
FD-Evidence-evidence_shape,Evidence,evidence_shape,enum,,,domain_general,KP-training_unit-evidence-shape-four-types
FD-TrainingMaterial-failure_quota,TrainingMaterial,failure_quota,ratio,,,domain_general,KP-training_unit-collect-failure-not-only-success
FD-RoleProfile-material_completeness,RoleProfile,material_completeness,enum,,,domain_general,KP-training_unit-role-material-five-kinds-minimum
FD-RoleProfile-hard_evidence_count,RoleProfile,hard_evidence_count,int,,,domain_general,KP-training_unit-role-material-five-kinds-minimum
FD-RoleProfile-cold_start_priority_phase,RoleProfile,cold_start_priority_phase,enum,,,domain_general,KP-training_unit-cold-start-role-priority-frontline
FD-PlayCard-tier,ContentType,play_card_tier,string,,,domain_general,KP-product_attribute-engine-card-vs-play-card-shell
FD-PlayCard-north_star,ContentType,play_card_north_star,string,,,domain_general,KP-product_attribute-engine-card-vs-play-card-shell
FD-PlayCard-storyboard_30s,ContentType,play_card_storyboard_30s,composite,,,domain_general,KP-product_attribute-engine-card-vs-play-card-shell
FD-NarrativeEngine-origin,ContentType,engine_origin,string,,,domain_general,KP-product_attribute-engine-card-vs-play-card-shell
FD-NarrativeEngine-principle,ContentType,engine_principle,string,,,domain_general,KP-product_attribute-engine-card-vs-play-card-shell
FD-NarrativeEngine-callable_content_types,ContentType,engine_callable_content_types,list_of_string,,,domain_general,KP-product_attribute-engine-card-vs-play-card-shell
FD-PlayCard-scenario,ContentType,play_card_scenario,string,VS-KP-product_attribute-play-card-scenario-tag-three-values-scenario,,domain_general,KP-product_attribute-play-card-scenario-tag-three-values
FD-ContentType-output_format,ContentType,output_format,string,VS-KP-product_attribute-storyboard-30s-dual-decoding-output_format,,domain_general,KP-product_attribute-storyboard-30s-dual-decoding
FD-ContentType-audience_register,ContentType,audience_register,string,VS-KP-product_attribute-troop-facing-register-five-fields-audience_register,,domain_general,KP-product_attribute-troop-facing-register-five-fields
FD-ContentType-north_star,ContentType,north_star,string,,,domain_general,KP-product_attribute-troop-facing-register-five-fields
FD-ContentType-apparel_hook,ContentType,apparel_hook,string,,,domain_general,KP-product_attribute-troop-facing-register-five-fields
FD-ContentType-shooting_feasibility,ContentType,shooting_feasibility,string,,,domain_general,KP-product_attribute-troop-facing-register-five-fields
FD-ContentType-red_lines,ContentType,red_lines,list_of_string,,,domain_general,KP-product_attribute-troop-facing-register-five-fields
FD-ContentType-ai_boundary,ContentType,ai_boundary,string,,,domain_general,KP-product_attribute-troop-facing-register-five-fields
FD-ContentType-mainstream_played_out,ContentType,mainstream_played_out,string,,,domain_general,KP-product_attribute-enterprise-narrative-six-section-shell
FD-ContentType-advanced_play,ContentType,advanced_play,string,,,domain_general,KP-product_attribute-enterprise-narrative-six-section-shell
FD-ContentType-breakthrough_play,ContentType,breakthrough_play,string,,,domain_general,KP-product_attribute-enterprise-narrative-six-section-shell
FD-ContentType-industry_vertical_lift,ContentType,industry_vertical_lift,string,,,domain_general,KP-product_attribute-enterprise-narrative-six-section-shell
FD-ContentType-forbidden_plays,ContentType,forbidden_plays,string,,,domain_general,KP-product_attribute-enterprise-narrative-six-section-shell
FD-ContentType-production_difficulty,ContentType,production_difficulty,string,,,domain_general,KP-product_attribute-enterprise-narrative-six-section-shell
FD-ContentType-routing_gate,ContentType,routing_gate,composite,,,domain_general,KP-service_judgment-store-daily-three-required-elements
FD-ContentType-audience_orientation,ContentType,audience_orientation,string,,,domain_general,KP-product_attribute-content-type-north-star-training-material
FD-ContentType-failure_immunity_level,ContentType,failure_immunity_level,string,,,domain_general,KP-product_attribute-content-type-north-star-emotion-expression
FD-ContentType-output_form,ContentType,output_form,string,,,domain_general,KP-product_attribute-content-type-north-star-product-copy-general
FD-ContentType-voice_archetype,ContentType,voice_archetype,enum,VS-pcg-voice-archetype,,domain_general,KP-product_attribute-pcg-five-voice-archetypes
FD-PlatformTone-distribution_mechanism,PlatformTone,distribution_mechanism,string,,,domain_general,KP-product_attribute-platform-tone-vs-private-outlet-channel-parallel
FD-PrivateOutletChannel-distribution_mechanism,PrivateOutletChannel,distribution_mechanism,string,,,domain_general,KP-product_attribute-platform-tone-vs-private-outlet-channel-parallel
FD-RoleProfile-required_skills,RoleProfile,required_skills,enum,VS-RoleProfile-required_skills,,domain_general,KP-training_unit-role-profile-required-skills-binding
