source_pack_id,brand_layer,granularity_layer,gate_status,source_table_refs,evidence_ids,traceability_status,default_call_pool,review_status,compile_run_id,source_manifest_hash,view_schema_version,chunk_text_hash,play_card_id,pack_id,content_type,hook,production_tier,production_difficulty,duration,steps_json,anti_pattern,applicable_when,success_scenario,alternative_boundary,completeness_status
KP-styling_rule-old-sample-as-error-archive,domain_general,L2,active,"[""play_card_register.csv"", ""03_semantic.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-styling_rule-old-sample-as-error-archive""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,6a1dbffcb81d6f4bb1ebb8f8ce4c95e12f658e848e41b32a823758f8059b012d,PC-styling_rule-old-sample-as-error-archive,KP-styling_rule-old-sample-as-error-archive,old,把旧样衣当错误档案审问出创始人的成长证据,instant,medium,medium,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",只怀旧展示旧款而不说它暴露的判断错误,服装品牌做 founder_ip / 老板有可调出的旧样衣（成立 ≥ 6 个月通常都有）,"老板把旧样衣摆到桌面 + 用手指出几处具体错误（缝线 / 颜色 / 版型）+ 配低声自述""心疼 3 块钱后来赔了 30 万"" → 观众接住""这个品牌不是平地起高楼，而是从失败里磨出来的""——信任感远强于任何口号",not_applicable_when: 非服装行业 / 极新品牌完全没有失败样衣 | alternative_path: 没有可拍旧样衣 → 退而用 C3-4 桌面证物剧场（7 个物件）或 C2-1 决策日记; 旧样衣过于敏感（如涉及供应商纠纷）→ 用 C3-2 沉默创始人日志或 C3-5 门口角色切换,complete
KP-styling_rule-ootd-clothes-remember-today,domain_general,L2,active,"[""play_card_register.csv"", ""01_object_type.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-styling_rule-ootd-clothes-remember-today""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,415338da848503041f07c9d2f1e902b682357304c3f1fc74022d9594a34a591d,PC-styling_rule-ootd-clothes-remember-today,KP-styling_rule-ootd-clothes-remember-today,ootd,不拍刚穿上而拍衣服怎样记住今天的痕迹,instant,low,medium,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",只做镜前搭配展示没有留下任何生活痕迹,"1 人手机 / 4 小时内可完成（早 + 中 + 晚 + 夜 4 个时段）/ 主角服装具有""耐看 / 耐穿 / 会呼吸""隐性价值（针织 / 衬衫 / 牛仔 / 西装等）","早晨镜前裤线笔挺、衬衫平整 → 中午工作褶皱 → 傍晚包带痕迹 → 夜里挂回衣架
→ 观众接住""衣服真的进入了生活""——把""耐看 / 耐穿 / 会呼吸""从参数变成可视化证据","not_applicable_when: 一次性即弃服装 / 仅展示新品光鲜的硬种草 / 不允许出现""褶皱 / 痕迹""的品牌调性 | alternative_path: 与 C3-1 ""穿搭服务今天的路线""配合——本卡聚焦时间痕迹 / 路线卡聚焦功能场景; 与 product_review C3 ""衣橱考古""配合——本卡是""今天留下的痕迹"" / 衣橱考古是""多年留下的痕迹""",complete
KP-styling_rule-ootd-micro-suspense-decision-chain,domain_general,L2,active,"[""play_card_register.csv"", ""01_object_type.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-styling_rule-ootd-micro-suspense-decision-chain""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,485b5ff7494e5e02098cf9ce280cc02569fb5be8179695670a0576949bf77903,PC-styling_rule-ootd-micro-suspense-decision-chain,KP-styling_rule-ootd-micro-suspense-decision-chain,ootd,用三次换装的因果链制造三十秒微悬疑,instant,medium,short,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",把多次换装剪成显瘦快秀却没有决策因果,1 人 1 手机 / 服装能解决具体场景问题（不走光/好活动/挡风/不闷热）/ 4 小时内,"0-3 袖口线头特写+字幕""为什么换了三次"" → 3-10 第一套出门遇手机震动停顿 →
10-18 换第二套店里镜前发现走光 → 18-27 第三套穿上出门 →
27-30 那粒线头被剪掉+字幕""不是穿给别人，是穿给今天的自己""
→ 观众接住""原来我也可以这样选衣服""，更愿意收藏复看","not_applicable_when: 服装无具体功能差异（纯审美款 / 礼服）→ C3-2 身份协商 / C3-6 情绪衣橱 / 不擅长剪辑因果节拍 → C3-1 路线适配（更线性） | alternative_path: 与 C3-2 ""两种身份争同一身衣服""互补：本卡是""换三套解决问题""，C3-2 是""一套配饰微改身份谈判""; 与 product_review C3-2 ""只拍犹豫""互补：OOTD C3-4 重心是""个人决策叙事""，product_review C3-2 重心是""商品顾虑解除证据""",complete
KP-styling_rule-ootd-route-fitness-not-display,domain_general,L2,active,"[""play_card_register.csv"", ""01_object_type.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-styling_rule-ootd-route-fitness-not-display""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,bb81fdaba5c027f25de5d002dd9f832ecb199b50dc45e2b4e21d23223db20640,PC-styling_rule-ootd-route-fitness-not-display,KP-styling_rule-ootd-route-fitness-not-display,ootd,让衣服跟完整路线走而不是站镜前被展示,instant,medium,medium,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",站在镜前讲搭配优点没有生活路线验证,"1 人 1 手机 / 真实路线 / 4 小时内 / 预算 0 / 服装本身确实有""生活功能""可拍","0-5 清晨骑车+外套被风鼓起+字幕""挡得住风"" → 5-12 进店卷袖口+手表露出+字幕""收得起来"" →
12-20 下午试衣低头看鞋+字幕""走得动"" → 20-30 晚餐灯光下放下头发+外套显得更松+字幕""松得下来""
→ 观众接住""这套穿搭有生活功能也有情绪功能""","not_applicable_when: 重心是商品评测可信度证据 → product_review C3-1 一天只穿这一件 / 重心是个人情绪流 → personal_vlog / 商品本身无明显生活功能（如礼服）→ 改用 C3-2 身份协商或 C3-6 情绪衣橱 | alternative_path: 与 C3-3 ""衣服记住了今天""配合：本卡走""路线功能""，C3-3 走""时间痕迹""——可两个都做，单条选一个重心; 与 product_review C3-1 ""一天只穿这一件""互补：OOTD C3-1 重心是""穿搭决策的生活适配""，product_review C3-1 重心是""商品时间考验的体感证据""",complete
KP-styling_rule-process-trace-rejected-garment,domain_general,L2,active,"[""play_card_register.csv"", ""03_semantic.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-styling_rule-process-trace-rejected-garment""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,9a0f560c746a25ccd385db807132aceb1a977a0480ea820277bd8405594f4dcd,PC-styling_rule-process-trace-rejected-garment,KP-styling_rule-process-trace-rejected-garment,process,拍被拦下来的衣服比拍合格品更能建立信任,instant,medium,short,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",只展示好品和严格口号却不展示被拒绝证据,服装品牌有真实的 QC 拦下流程 / 可在不泄露敏感信息前提下展示,"让被拦下的成衣成为主角 + 低声不鼓吹的解释 + 真实质检台场景 → 观众接住品牌的""边界感""——比任何""严格把控""口号都强",not_applicable_when: 没有真实拦下案例（编造将造成反向伤害）/ 涉及供应商纠纷的瑕疵不得用于内容 | alternative_path: 不便展示被拦下成衣 → 退用 C2-3 证据链 5 个核验点 / C3-4 工艺侦探; QC 流程涉及商业机密 → 仅拍质检员手指动作 + 抽象瑕疵描述，不拍批次/供应商,complete
KP-styling_rule-process-trace-single-hard-fake-step,domain_general,L2,active,"[""play_card_register.csv"", ""03_semantic.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-styling_rule-process-trace-single-hard-fake-step""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,74c5dba4f6b2ad3a70b178fca37c2224059c9ba430c5dcc7f8af075fcee6f926,PC-styling_rule-process-trace-single-hard-fake-step,KP-styling_rule-process-trace-single-hard-fake-step,process,只深拍一个最难伪装的工艺节点让真实自己说话,instant,medium,medium,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",试图拍完整流程导致每个步骤都浅而像宣传片,"process_trace 内容创作 / 选定服装品类已有可识别的""最难伪装节点""","0-5 秒""今天只讲一件事：对花"" + 5-15 秒手指对齐图案 + 15-22 秒刀落下前 2 秒检查 + 22-30 秒完美对齐 → 观众接住""这家品牌真的有不能偷懒的动作""",not_applicable_when: 拍 product_journey（设计决策历程）应保留多版本对比；拍 brand_tier 长期纪录片可接受全链路（如 C2-4 / C3-8） | alternative_path: 没有可视化的难伪装节点 → 退用 C3-3 被拦下的那一件 / C3-5 夜班 12 分钟; 节点涉及商业机密（合同 / 价格 / 工艺）→ 红线 E8 不得披露，转用感官类玩法（C3-6 ASMR / C3-7 微距）,complete
KP-styling_rule-talent-showcase-micro-skill-hundred-reps,domain_general,L2,active,"[""play_card_register.csv"", ""01_object_type.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-styling_rule-talent-showcase-micro-skill-hundred-reps""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,4042349b196604143684b3450ddac24d8a95eaa4bf0a6bb22de2355c0f017765,PC-styling_rule-talent-showcase-micro-skill-hundred-reps,KP-styling_rule-talent-showcase-micro-skill-hundred-reps,talent,把微技能拍成练过一百次的控制力证据,instant,medium,medium,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",直接展示完美成品让才艺变成普通技巧炫耀,"服装行业里""看似很小但需控制""的动作（丝巾、袖口、下摆、收腰、打结、卷裤脚）/ 1 人 1 手机固定机位 / ≤4 小时","固定机位 + 同一动作 4-6 次连续快切 + 前几次歪 / 太松 / 太紧 + 最后一次 slow-motion 收紧 + 字幕标记次数
→ 观众接住""控制力""+""耐心""，记住""这个人真在做这件事""","not_applicable_when: 不可视化的""判断力""才艺（如选衣眼光）→ 不适合微技能格式，应走""才艺即救场"" / 不适合长技能（一次完整动作 >30 秒） | alternative_path: 微技能也可以反向走""才艺即救场""卡——把同一微技能放到帮朋友/家人改一身造型的场景里展示",complete
KP-training_unit-behind-scenes-near-disaster-narrative,domain_general,L2,active,"[""play_card_register.csv"", ""03_semantic.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-training_unit-behind-scenes-near-disaster-narrative""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,bb1cdcc03039048cc754664a722597097e32b6982c6ba1bbfef0fd1ade519564,PC-training_unit-behind-scenes-near-disaster-narrative,KP-training_unit-behind-scenes-near-disaster-narrative,behind,用一个差点翻车点讲清内容如何被救回来,instant,medium,medium,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",平铺五个翻车点让观众只觉得现场混乱,任意拍摄/上新/经营场景的 BTS 内容生产 / 1-2 人手机跟拍 / 预算 0,"0-5 秒字幕""今天差点翻车"" + 同事抓头发""光不对"" → 5-12 秒老板看 iPad 皱眉 →
12-18 秒临时换场景到店外手忙脚乱 → 18-25 秒拍到一半下雨躲屋檐下笑出来 →
25-30 秒最终镜头""成片其实只用了这 2 秒""定格 → 观众获得参与感","not_applicable_when: 没有真实翻车素材时强行编造 → 触发 E5 红线（故意制造冲突）/ 翻车涉及顾客投诉等敏感场景 → 走 store_daily 而非 BTS | alternative_path: 翻车连载化 → 升级为 C3-8 自嘲式真实困难 BTS（候选引擎; 翻车没有""解决""只有""接受"" → 改用 C2-2 非 glamorous 劳动玩法（无叙事弧的纯劳动呈现）",complete
KP-training_unit-enterprise-narrative-object-witness-over-talking-head,domain_general,L2,active,"[""play_card_register.csv"", ""01_object_type.csv"", ""03_semantic.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-training_unit-enterprise-narrative-object-witness-over-talking-head""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,252b3abee66b86f0134e29129218d91bc5003c207bcbe5701bbbe97c3061f19b,PC-training_unit-enterprise-narrative-object-witness-over-talking-head,KP-training_unit-enterprise-narrative-object-witness-over-talking-head,enterprise,让低位物件替代人脸口播承担企业叙事,instant,low,medium,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",人物正对镜头讲价值观导致内容像企业宣传,"6 类企业叙事的""进阶 / 突破""档；尤其适合 founder_ip / process_trace / behind_the_scenes / product_journey","物件成为""证物 / 错误档案 / 决策对象""；观众从物件细节自动拼出品牌气质与人物性格；AI 难以零成本仿写","not_applicable_when: 必须以人物访谈推进的极少数选题；或物件与品牌叙事无关的硬资讯类内容 | alternative_path: 找不到合适物件 → 改用""沉默叙事 / ASMR 感官沉浸 / 一镜到底""等同档替代手法（同样是物件 / 声音 / 时间承担叙事）; 物件叙事仍嫌单薄 → 叠加""自我矛盾暴露""或""前台后台并置""提升戏剧密度",complete
KP-training_unit-error-first-then-correct-replay,domain_general,L2,active,"[""play_card_register.csv"", ""01_object_type.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-training_unit-error-first-then-correct-replay""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,e506c7f6accfeb407b2c34b280818bc7bbef6815f16620438315a8b3452db2fe,PC-training_unit-error-first-then-correct-replay,KP-training_unit-error-first-then-correct-replay,error,先让接客错误发生再倒带重演正确判断顺序,instant,medium,medium,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",先讲正确答案让员工只背话术不记判断,高频翻车的接客判断场景 / 1 店长 + 1 同事即可拍 / 4 小时内可批量做 / 30 秒短视频,"员工看完能说出""关键不是背话术 / 是问对问题的顺序""——下次遇到顾客类似反馈时，
先反问""你平时更在意 X 还是 Y""再根据回答推荐 / 错误率显著降低","not_applicable_when: 纯动作 SOP（折叠 / 蒸烫 / 打包）→ 走 C2-2 Do/Don't 对照或 C3-4 SOP ASMR / 没有""具体本能翻车""的事后纠偏 | alternative_path: 也可与""门店 RPG 选择题""配合——RPG 是""让员工提前选""，本卡是""让员工看到错的后果""，两者互补",complete
KP-training_unit-event-documentary-failure-perspective,domain_general,L2,active,"[""play_card_register.csv"", ""01_object_type.csv"", ""03_semantic.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-training_unit-event-documentary-failure-perspective""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,dbd69e9455bbab03be54c57512a71e482506f3b183498f406a66ae3de3daee8f,PC-training_unit-event-documentary-failure-perspective,KP-training_unit-event-documentary-failure-perspective,event,敢从失败视角拍事件反而更能赢得信任,instant,medium,medium,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",只拍光鲜热闹场面掩盖真实事件压力,event_documentary 的 C3 突破性档位；展会 / 开业 / 大促 / 上新 / 联名等真实事件,"真实困难比虚假成功更有共鸣 / 观众接住""这家品牌真的在扛过"" / 信任沉淀（高于""圆满落幕""叙事）",not_applicable_when: 事件实际上没有失败而强行编造 / 失败被包装成营销噱头（违反 §E 红线）；事件涉及第三方利益方（合规风险）需先处置 | alternative_path: 事件确无失败 → 选 C3-3 后台手忙脚乱（前后台反差）或 C3-2 散场叙事，不强凑失败视角; 失败但不便公开（员工过失 / 第三方原因）→ 转为 C3-1 开场前一分钟无人声（紧张感叙事）,complete
KP-training_unit-event-documentary-long-term-tier-discipline,domain_general,L2,active,"[""play_card_register.csv"", ""01_object_type.csv"", ""03_semantic.csv"", ""04_value_set.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-training_unit-event-documentary-long-term-tier-discipline""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,1bb239f80db27b93e88fe1df924bd76cca58dee220d5d5b924acb9ad1e2cc54e,PC-training_unit-event-documentary-long-term-tier-discipline,KP-training_unit-event-documentary-long-term-tier-discipline,event,跨日采集但单条成片仍收敛在四小时标准内,instant,medium,long,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",把长期素材堆成流水账导致单条内容失控,"event_documentary C3 中标注""long_term""的玩法卡（如 C3-6）","时间压缩叙事的真实跨度被保留 / 单条成片仍合规 / 元数据可让下游正确识别""需提前 N 天启动""","not_applicable_when: brand_tier（品牌级）玩法——跨地区采集、超出个人创作基线，不在本规则覆盖 | alternative_path: 创作者无法跨日采集 → 改用 C3-1 ""开场前一分钟无人声"" 或 C3-2 ""散场叙事""等单条 4 小时内完成的玩法; 长期型素材但成片大幅超 4 小时 → 拆为系列短片（每条 ≤ 4 小时），不许单条突破基线",complete
KP-training_unit-humor-content-clothing-as-persona-switch,domain_general,L2,active,"[""play_card_register.csv"", ""01_object_type.csv"", ""03_semantic.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-training_unit-humor-content-clothing-as-persona-switch""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,86f9025c7d609554a6bd101fa742de4e45bda35c8e07d5918b5d1c48c535d193,PC-training_unit-humor-content-clothing-as-persona-switch,KP-training_unit-humor-content-clothing-as-persona-switch,humor,只靠一件衣服和站姿切换出三个不同自己,instant,low,short,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",依赖台词和特效制造笑点忽略服装开关作用,humor_content 突破性档；想做身份 / 社会角色幽默,"笑点来自身份落差 / 服装承担""人格开关""而非""美化""功能 / 一人分饰多角成本极低","not_applicable_when: 严肃品牌调性（极简 / 高端定制 / 冷感风）—— 与 C3-5 衣架木偶戏同样存在调性边界，需走品牌调性提示 | alternative_path: 品牌调性偏冷感 / 高端 → 改用 C2-1 ""幽默做认知翻面""（comedy + education）减弱身份切换戏剧性; 创作者不愿一人分饰多角 → 改用 C3-3 ""评论区演成第二人格""（左右分屏吐槽自己）",complete
KP-training_unit-lifestyle-expression-old-defines-premium,domain_general,L2,active,"[""play_card_register.csv"", ""01_object_type.csv"", ""03_semantic.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-training_unit-lifestyle-expression-old-defines-premium""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,d7302892e766d56ed4245657ecb5c90b5dfc74456040710e2425949dde6c4429,PC-training_unit-lifestyle-expression-old-defines-premium,KP-training_unit-lifestyle-expression-old-defines-premium,lifestyle,用旧衣服的磨损史反向定义真正的高级感,instant,low,medium,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",把高级感拍成崭新精致没有时间和陪伴证据,lifestyle_expression 突破性档；C3-5 衣物磨损史；长期主义 / 反消费主义品牌叙事,"观众接住""高级不是更新而是陪伴""/ 自然引出耐穿可修补卖点 / 品牌""长期主义""叙事可信","not_applicable_when: 快时尚品牌（与""陪伴 ≠ 更新""价值观冲突）；新品发布场景（与""旧""叙事矛盾） | alternative_path: 品牌为快时尚 / 新品发布 → 改用 C3-3 气味叙事或 C3-6 散文电影意识流（不依赖旧物）; 创作者无足够磨损的旧衣 → 进入 unprocessable，不许伪做旧（违反 §E E2 真实使用痕迹要求）",complete
KP-training_unit-lifestyle-expression-values-via-rejection,domain_general,L2,active,"[""play_card_register.csv"", ""01_object_type.csv"", ""03_semantic.csv"", ""04_value_set.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-training_unit-lifestyle-expression-values-via-rejection""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,bd79f14a2db0b142601e5031614a18e9b36f91db1302a4a4c71b7c515e1465b9,PC-training_unit-lifestyle-expression-values-via-rejection,KP-training_unit-lifestyle-expression-values-via-rejection,lifestyle,价值观不靠宣言而靠今天拒绝了什么出现,instant,low,short,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",正面口播我怎样生活导致价值观变成口号,lifestyle_expression 突破性档；C3-1 拒绝玩法,"观众接住边界感 / 秩序感 / 自我尊重 / 不被""slogan 贴脸输出""距离感推开",not_applicable_when: 强主张型品牌 slogan 推广（属于 product_copy_general）；伪装拒绝实为炫耀（违反 §E E6 过度摆拍） | alternative_path: 创作者无具体拒绝场景 → 改用 C3-2 反差场景里的柔软穿着（粗粝场景里的稳定感）; 拒绝动作过于戏剧化 → 改用 C3-3 气味叙事的视觉化（感官表达替代观念表达）,complete
KP-training_unit-process-trace-stop-the-bad-one-builds-trust,domain_general,L2,active,"[""play_card_register.csv"", ""01_object_type.csv"", ""03_semantic.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-training_unit-process-trace-stop-the-bad-one-builds-trust""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,366190db3c9268e207ea4d8849286b28dc3fb4ba025173653cec3d2f1c228895,PC-training_unit-process-trace-stop-the-bad-one-builds-trust,KP-training_unit-process-trace-stop-the-bad-one-builds-trust,process,用淘汰一件坏衣服证明品牌没有骗顾客,instant,medium,short,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",只展示好工艺而不展示品牌愿意挡掉什么,process_trace 突破性档；品牌愿意展示真实质检过程,"观众接住""我愿意相信你没有骗我""/ 品牌的边界感 / 用淘汰建立信任比口号有效","not_applicable_when: 品牌为代工 / 无自主质检（无被拦下的那一件可拍）；车间敏感区域涉及第三方利益（合规风险） | alternative_path: 无可拍质检过程 → 改用 C3-1 ""只拍手不拍脸""（手部叙事不依赖质检场景）; 有质检但不便公开瑕疵细节 → 改用 C3-2 ""一刀之前的静止""（用不可逆动作前的呼吸感建立可信）",complete
KP-training_unit-product-review-fabric-detective-spec-party,domain_general,L2,active,"[""play_card_register.csv"", ""03_semantic.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-training_unit-product-review-fabric-detective-spec-party""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,d9f7b73c5354254489d7e2a151e9200eb19d031d9bfef734af3b0823bb189af8,PC-training_unit-product-review-fabric-detective-spec-party,KP-training_unit-product-review-fabric-detective-spec-party,product,像面料侦探一样从洗标和测试拆出真实价值,instant,medium,medium,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",只说显瘦百搭而不让观众看到成分证据,1 人 1 手机 / 微距靠近拍或 ¥30 夹镜头 / 桌面俯拍 / 预算 ≤ 200 / 4 小时内,"0-5 翻洗标+字幕""成分：天丝 70% / 棉 30%"" → 5-12 纱线特写+低声""很细但很紧"" →
12-20 揉搓 10 秒+松开+特写褶皱回弹+字幕""3 秒复原"" →
20-27 对比另一件便宜款+同样揉搓+褶皱没回弹+字幕""同价差别就在这"" → 27-30 字幕""下次买之前先翻洗标""
→ 不擅长口播的创作者也能做出稀缺测评 → 接客场景给材质敏感顾客做详细说明","not_applicable_when: 商品材质差异不显著（如同款不同色）→ 改 C3-3 触感法庭 / 想拍体感反馈 → C2-1 体感测评 / 想做反种草 → C2-4 反种草+替代方案 | alternative_path: 与 C2-1 体感测评配合（信息服务+体感反馈双玩法形成主理人测评号定位）; 接客场景应用：给对材质敏感的顾客现场做面料微观讲解（""两者通用""标签）",complete
KP-training_unit-sop-asmr-procedural-memory,domain_general,L2,active,"[""play_card_register.csv"", ""01_object_type.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-training_unit-sop-asmr-procedural-memory""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,b7d0874a632fc6088ad4667e41d46de6f668f76983dcbca937ad09d3bebbcee8,PC-training_unit-sop-asmr-procedural-memory,KP-training_unit-sop-asmr-procedural-memory,sop,无口播手部操作短片让员工用手记住流程,instant,low,short,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",培训视频讲太多理论导致现场动作仍然不会做,服装行业可视化 SOP（蒸烫 / 折叠 / 装袋 / 贴标 / 封口 / 挂装 / 量体）/ 步骤明确 / 静默可执行,"员工在工作中遇到动作模糊时当场扫码刷一条 / 30 秒内完成动作回忆 + 复刻 / 错误率显著降低
/ 拍摄成本极低（手机 + ≤200 元俯拍架 + 4 小时批量 5-8 条）","not_applicable_when: 接客判断 / 话术训练 / 含价值判断的非动作内容 → 走 C2-1 分支情境训练或 C3-1 错误先倒回 | alternative_path: 也可与 C2-2 Do/Don't 对照配合——Do/Don't 给""对错对比""，本卡给""正确动作的肌肉记忆""",complete
KP-training_unit-talent-showcase-rescue-not-show-off,domain_general,L2,active,"[""play_card_register.csv"", ""01_object_type.csv"", ""03_semantic.csv"", ""05_relation.csv"", ""06_rule.csv"", ""07_evidence.csv"", ""09_call_mapping.csv""]","[""EV-KP-training_unit-talent-showcase-rescue-not-show-off""]",partial,true,approved,f80c33f738be21eb,4b7f97ddfa4427ccb83a59c016a33622e3401b909ff1efd02c3820d8095460e0,3c0863a75967,5d63f5f8c2f32e2694145d143a5be8c52a4cd47f740c6a8dbf8f103bdce9863b,PC-training_unit-talent-showcase-rescue-not-show-off,KP-training_unit-talent-showcase-rescue-not-show-off,talent,才艺不是表演而是在小问题发生时刚好救场,instant,medium,medium,"[{""step_index"": 1}, {""step_index"": 2}, {""step_index"": 3}]",直接展示我会什么让才艺变成自我炫耀,talent_showcase 突破性档；C3-1 救场玩法；有真实救场场景的创作者,"观众接住有用 / 有温度 / 救场感 / 把你当作""值得追随的人""","not_applicable_when: 创作者无可救场对象（一人独居 / 才艺类型不适合救场如纯艺术创作）→ 改用 C3-2 同动作练 100 次 | alternative_path: 无救场场景 → 改用 C3-2 ""同一个动作练一百次的痕迹""（用控制力代替关系外溢）; 才艺过于专业（普通观众无法识别救场效果）→ 改用 C3-6 ASMR 化才艺（用沉浸感代替关系感）",complete
