source_pack_id,brand_layer,granularity_layer,gate_status,source_table_refs,evidence_ids,traceability_status,default_call_pool,review_status,compile_run_id,source_manifest_hash,view_schema_version,chunk_text_hash,runtime_asset_id,pack_id,asset_type,title,summary,content_pointer,asset_payload_json,source_pointer
KP-service_judgment-urgent-full-look,domain_general,L3,active,"[""runtime_asset_index.csv""]",[],partial,false,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,58e5b843c4bdcd7353e031599eb5f35e0b811d1f08353fa98374b435c4c4d160,RA-service_judgment-urgent-full-look,KP-service_judgment-urgent-full-look,action_template,急用全套场景动作,后天有事的全套需求要先问场合对象天气时长，再用第二套解决像不像本人。,candidates/domain_general/KP-service_judgment-urgent-full-look.yaml#runtime_asset,{},candidates/domain_general/KP-service_judgment-urgent-full-look.yaml#runtime_asset
KP-service_judgment-weekend-social,domain_general,L3,active,"[""runtime_asset_index.csv""]",[],partial,false,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,8dd5260f4c7e0cc7a6273075345a0d4c2082d4a8bac2c7d74f5b66614631f567,RA-service_judgment-weekend-social,KP-service_judgment-weekend-social,dialogue_template,周末状态感话术,周末社交客先问见谁和想呈现的状态，再按同气质方向推荐替代。,candidates/domain_general/KP-service_judgment-weekend-social.yaml#runtime_asset,{},candidates/domain_general/KP-service_judgment-weekend-social.yaml#runtime_asset
KP-training_unit-content-template-saturation-anti-pattern,domain_general,L3,active,"[""runtime_asset_index.csv""]",[],partial,false,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,53c99d65d5772f8852ab831ad8d3bb824ce11de1c91befa558894ba8047f3858,RA-training_unit-content-template-saturation-anti-pattern,KP-training_unit-content-template-saturation-anti-pattern,dialogue_template,模板饱和反模式话术,提醒内容团队识别模板化表达过饱和的问题，避免继续复用失效口播框架。,candidates/domain_general/KP-training_unit-content-template-saturation-anti-pattern.yaml#runtime_asset,{},candidates/domain_general/KP-training_unit-content-template-saturation-anti-pattern.yaml#runtime_asset
KP-training_unit-customer-first-look-judgment,domain_general,L3,active,"[""runtime_asset_index.csv""]",[],partial,false,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,65472f174947a840fab3e4d78b0759984096b26f78be91310319bc773ec36598,RA-training_unit-customer-first-look-judgment,KP-training_unit-customer-first-look-judgment,action_template,进店第一眼判断动作,顾客进店先分场景型单品型体感型价格型，再决定开口角度。,candidates/domain_general/KP-training_unit-customer-first-look-judgment.yaml#runtime_asset,{},candidates/domain_general/KP-training_unit-customer-first-look-judgment.yaml#runtime_asset
KP-training_unit-fabric-touch-before-spec,domain_general,L3,active,"[""runtime_asset_index.csv""]",[],partial,false,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,fe4a09014dd14aa9a91d892bb3fa0299340546f260a66f577d080e41beefcd9e,RA-training_unit-fabric-touch-before-spec,KP-training_unit-fabric-touch-before-spec,action_template,先摸后讲面料动作,解释面料前先让顾客摸到袖口里层领口等关键点，再补充参数。,candidates/domain_general/KP-training_unit-fabric-touch-before-spec.yaml#runtime_asset,{},candidates/domain_general/KP-training_unit-fabric-touch-before-spec.yaml#runtime_asset
KP-training_unit-kuleshov-context-driven-emotion-edit,domain_general,L3,active,"[""runtime_asset_index.csv""]",[],partial,false,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,1cb9298423122fdeb722afdd9046a9873d0c2ef019acb68f6a9c7808f0895c5e,RA-training_unit-kuleshov-context-driven-emotion-edit,KP-training_unit-kuleshov-context-driven-emotion-edit,shot_template,上下文情绪剪辑镜头,通过前后镜头上下文改变同一表情或衣物动作的情绪含义，形成可复用剪辑模板。,candidates/domain_general/KP-training_unit-kuleshov-context-driven-emotion-edit.yaml#runtime_asset,{},candidates/domain_general/KP-training_unit-kuleshov-context-driven-emotion-edit.yaml#runtime_asset
KP-training_unit-microlearning-not-long-course,domain_general,L3,active,"[""runtime_asset_index.csv""]",[],partial,false,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,fe987e3d3e77587c2c365124d39945cbad9c527163fd3fa9e39dc6d403b77231,RA-training_unit-microlearning-not-long-course,KP-training_unit-microlearning-not-long-course,role_split,微学习训练分工,把门店培训拆给微学习即时支持情境训练和复现检查，避免长课式完成假象。,candidates/domain_general/KP-training_unit-microlearning-not-long-course.yaml#runtime_asset,{},candidates/domain_general/KP-training_unit-microlearning-not-long-course.yaml#runtime_asset
KP-training_unit-product-review-anti-filter-pledge,domain_general,L3,active,"[""runtime_asset_index.csv""]",[],partial,false,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,7d6cefa6f2ee4c8df780b2c0805ba26eb67a29ea8c814f09723fe86f3bcd3e39,RA-training_unit-product-review-anti-filter-pledge,KP-training_unit-product-review-anti-filter-pledge,shot_template,反滤镜测评镜头,测评开头用原相机自然光不拉腿不美颜声明建立信任，再进入体感测试。,candidates/domain_general/KP-training_unit-product-review-anti-filter-pledge.yaml#runtime_asset,{},candidates/domain_general/KP-training_unit-product-review-anti-filter-pledge.yaml#runtime_asset
KP-training_unit-relational-witness-over-monologue,domain_general,L3,active,"[""runtime_asset_index.csv""]",[],partial,false,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,4b4c53c669141eca2b8996a1591d6f841d26aa30c77f930d7f7a27ac530b77d5,RA-training_unit-relational-witness-over-monologue,KP-training_unit-relational-witness-over-monologue,action_template,关系见证替代独白,用人与人之间的反应和见证动作承载表达，替代单人长篇独白。,candidates/domain_general/KP-training_unit-relational-witness-over-monologue.yaml#runtime_asset,{},candidates/domain_general/KP-training_unit-relational-witness-over-monologue.yaml#runtime_asset
KP-training_unit-role-binding-frontline-priority,domain_general,L3,active,"[""runtime_asset_index.csv""]",[],partial,false,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,87d23ee0f255b276fe4a44868be0bc4c7571aafa444b07d972c7ddaa59790cd1,RA-training_unit-role-binding-frontline-priority,KP-training_unit-role-binding-frontline-priority,role_split,前线岗位优先分工,首批培训优先绑定店长导购仓库主管三类前线岗位，避免资源喂给次级岗位。,candidates/domain_general/KP-training_unit-role-binding-frontline-priority.yaml#runtime_asset,{},candidates/domain_general/KP-training_unit-role-binding-frontline-priority.yaml#runtime_asset
KP-training_unit-role-profile-required-skills-binding,domain_general,L3,active,"[""runtime_asset_index.csv""]",[],partial,false,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,5355901c2cb96f52197ef512d6dd37b304991523e3efb1df52b03c4db172fb51,RA-training_unit-role-profile-required-skills-binding,KP-training_unit-role-profile-required-skills-binding,action_template,角色技能绑定动作,把陈列搭配技能作为角色能力清单绑定到训练目标，而不是新增核心对象。,candidates/domain_general/KP-training_unit-role-profile-required-skills-binding.yaml#runtime_asset,{},candidates/domain_general/KP-training_unit-role-profile-required-skills-binding.yaml#runtime_asset
KP-training_unit-silence-as-pattern-interrupt,domain_general,L3,active,"[""runtime_asset_index.csv""]",[],partial,false,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,a2fb51591456c17477f1be327ba45acd0ea94fd7b8b74840cdac7e618763eacf,RA-training_unit-silence-as-pattern-interrupt,KP-training_unit-silence-as-pattern-interrupt,dialogue_template,沉默打断惯性话术,在高频推销或解释惯性中使用克制停顿，让顾客重新进入判断而不是被信息淹没。,candidates/domain_general/KP-training_unit-silence-as-pattern-interrupt.yaml#runtime_asset,{},candidates/domain_general/KP-training_unit-silence-as-pattern-interrupt.yaml#runtime_asset
KP-training_unit-standard-action-vs-judgment-skill,domain_general,L3,active,"[""runtime_asset_index.csv""]",[],partial,false,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,828663b52ce0baf2e831215c1c1a9dcaadede976484ffe7ee02fbab710f7baf9,RA-training_unit-standard-action-vs-judgment-skill,KP-training_unit-standard-action-vs-judgment-skill,action_template,标准动作判断力拆分,先区分标准动作和判断力两类训练，再分别设计手部动作和情境演练。,candidates/domain_general/KP-training_unit-standard-action-vs-judgment-skill.yaml#runtime_asset,{},candidates/domain_general/KP-training_unit-standard-action-vs-judgment-skill.yaml#runtime_asset
KP-training_unit-store-manager-rhythm-first,domain_general,L3,active,"[""runtime_asset_index.csv""]",[],partial,false,approved,5b5e5fc1f6199ec6,b3967bca40aa93759d3f9d80a548ca12115fd91df9064d997d8d585d8c6adfc2,3c0863a75967,169aa808476dab581caabf64df185319b5c443a5278c55c6a57facc2975b7165,RA-training_unit-store-manager-rhythm-first,KP-training_unit-store-manager-rhythm-first,role_split,店长节奏优先分工,店长先按货场店员顾客后场的节奏顺序判断整店状态，再处理成交。,candidates/domain_general/KP-training_unit-store-manager-rhythm-first.yaml#runtime_asset,{},candidates/domain_general/KP-training_unit-store-manager-rhythm-first.yaml#runtime_asset
