VS-KP-inventory_rescue-can-rescue-scenarios-rescue_scenarios,,,,domain_general,KP-inventory_rescue-can-rescue-scenarios
VS-KP-inventory_rescue-hard-block-five-conditions-hard_block,set_promise_broken,成套承诺失效,3,domain_general,KP-inventory_rescue-hard-block-five-conditions
VS-KP-inventory_rescue-hard-block-five-conditions-hard_block,color_mandatory_missing,强锚定颜色缺失,4,domain_general,KP-inventory_rescue-hard-block-five-conditions
VS-KP-inventory_rescue-hard-block-five-conditions-hard_block,trust_damage_substitution,替代会明显伤信任,5,domain_general,KP-inventory_rescue-hard-block-five-conditions
VS-KP-inventory_rescue-match-result-output-shape-match_status,direct_match,直接成立,1,domain_general,KP-inventory_rescue-match-result-output-shape
VS-KP-inventory_rescue-match-result-output-shape-match_status,soft_substitute,软替代成立,2,domain_general,KP-inventory_rescue-match-result-output-shape
VS-KP-inventory_rescue-match-result-output-shape-match_status,redirect_required,必须转向,3,domain_general,KP-inventory_rescue-match-result-output-shape
VS-KP-inventory_rescue-match-result-output-shape-match_status,hard_blocked,硬拦截,4,domain_general,KP-inventory_rescue-match-result-output-shape
VS-KP-inventory_rescue-match-result-output-shape-display_permission,hero_display_allowed,允许主陈列,1,domain_general,KP-inventory_rescue-match-result-output-shape
VS-KP-inventory_rescue-match-result-output-shape-display_permission,support_display_only,仅允许辅陈列,2,domain_general,KP-inventory_rescue-match-result-output-shape
VS-KP-inventory_rescue-match-result-output-shape-display_permission,opportunity_display_only,仅允许机会陈列,3,domain_general,KP-inventory_rescue-match-result-output-shape
VS-KP-inventory_rescue-match-result-output-shape-display_permission,display_blocked,禁止陈列,4,domain_general,KP-inventory_rescue-match-result-output-shape
VS-KP-inventory_rescue-no-rescue-scenarios-no_rescue_scenarios,,,,domain_general,KP-inventory_rescue-no-rescue-scenarios
VS-KP-inventory_rescue-shallow-vs-deep-sensing-layer,shallow_inventory_sensing,浅感知-过滤层,1,domain_general,KP-inventory_rescue-shallow-vs-deep-sensing
VS-KP-inventory_rescue-shallow-vs-deep-sensing-layer,deep_inventory_sensing,深感知-判断层,2,domain_general,KP-inventory_rescue-shallow-vs-deep-sensing
VS-KP-inventory_rescue-shallow-vs-deep-sensing-shallow_caps,in_stock_flag,有货无货,1,domain_general,KP-inventory_rescue-shallow-vs-deep-sensing
VS-KP-inventory_rescue-shallow-vs-deep-sensing-shallow_caps,rough_quantity,大概数量,2,domain_general,KP-inventory_rescue-shallow-vs-deep-sensing
VS-KP-inventory_rescue-shallow-vs-deep-sensing-shallow_caps,last_sync,最近同步时间,3,domain_general,KP-inventory_rescue-shallow-vs-deep-sensing
VS-KP-inventory_rescue-shallow-vs-deep-sensing-deep_caps,color_size_break_detail,颜色尺码断点细节,1,domain_general,KP-inventory_rescue-shallow-vs-deep-sensing
VS-KP-inventory_rescue-shallow-vs-deep-sensing-deep_caps,core_size_recognition,核心成交码识别,2,domain_general,KP-inventory_rescue-shallow-vs-deep-sensing
VS-KP-inventory_rescue-shallow-vs-deep-sensing-deep_caps,fit_sensitivity_eval,版型敏感度评估,3,domain_general,KP-inventory_rescue-shallow-vs-deep-sensing
VS-KP-inventory_rescue-shallow-vs-deep-sensing-deep_caps,hero_display_eligibility,主陈列资格,4,domain_general,KP-inventory_rescue-shallow-vs-deep-sensing
VS-KP-inventory_rescue-shallow-vs-deep-sensing-deep_caps,rescue_redirect_decision,救场转向决策,5,domain_general,KP-inventory_rescue-shallow-vs-deep-sensing
VS-KP-inventory_rescue-shallow-vs-deep-sensing-deep_caps,training_trigger,培训触发,6,domain_general,KP-inventory_rescue-shallow-vs-deep-sensing
VS-KP-inventory_rescue-shallow-vs-deep-sensing-deep_caps,substitution_trust_risk,替代信任风险,7,domain_general,KP-inventory_rescue-shallow-vs-deep-sensing
VS-KP-inventory_rescue-soft-substitute-four-paths-soft_path,same_sku_other_color,同款异色,1,domain_general,KP-inventory_rescue-soft-substitute-four-paths
VS-KP-inventory_rescue-soft-substitute-four-paths-soft_path,near_color_family,近色群替代,2,domain_general,KP-inventory_rescue-soft-substitute-four-paths
VS-KP-inventory_rescue-soft-substitute-four-paths-soft_path,same_occasion_same_silhouette,同场景同廓形异款,3,domain_general,KP-inventory_rescue-soft-substitute-four-paths
VS-KP-inventory_rescue-soft-substitute-four-paths-soft_path,same_item_new_pairing_piece,单品不变搭配件替换,4,domain_general,KP-inventory_rescue-soft-substitute-four-paths
VS-KP-inventory_rescue-state-catalog-six-states-state_label,size_complete,尺码齐全,1,domain_general,KP-inventory_rescue-state-catalog-six-states
VS-KP-inventory_rescue-state-catalog-six-states-state_label,size_broken,断码,2,domain_general,KP-inventory_rescue-state-catalog-six-states
VS-KP-inventory_rescue-state-catalog-six-states-state_label,color_broken,断色,3,domain_general,KP-inventory_rescue-state-catalog-six-states
VS-KP-inventory_rescue-state-catalog-six-states-state_label,single_size_tail,单码尾货,4,domain_general,KP-inventory_rescue-state-catalog-six-states
VS-KP-inventory_rescue-state-catalog-six-states-state_label,single_item_only,只有单品凑不成套,5,domain_general,KP-inventory_rescue-state-catalog-six-states
VS-KP-inventory_rescue-state-catalog-six-states-state_label,alternate_not_same_sku,有替代款但不是同款,6,domain_general,KP-inventory_rescue-state-catalog-six-states
VS-KP-inventory_rescue-state-catalog-six-states-rescue_mode,rescue_mode,救场模式,1,domain_general,KP-inventory_rescue-state-catalog-six-states
VS-KP-inventory_rescue-state-catalog-six-states-rescue_mode,redirect_mode,转向模式,2,domain_general,KP-inventory_rescue-state-catalog-six-states
VS-KP-inventory_rescue-state-catalog-six-states-rescue_mode,give_up_mode,放弃模式,3,domain_general,KP-inventory_rescue-state-catalog-six-states
VS-KP-inventory_rescue-three-sentence-discipline-sentence_order,fact_first_no_myth,先讲事实不先讲神话,1,domain_general,KP-inventory_rescue-three-sentence-discipline
VS-KP-inventory_rescue-three-sentence-discipline-sentence_order,rescue_or_redirect,能救就救不能救就转向,2,domain_general,KP-inventory_rescue-three-sentence-discipline
VS-KP-inventory_rescue-three-sentence-discipline-sentence_order,give_up_protect_trust,转不了就放弃不换信任,3,domain_general,KP-inventory_rescue-three-sentence-discipline
VS-KP-inventory_rescue-three-sentence-discipline-three_forbid,no_broken_size_as_main_push,不把断码当全员适推,1,domain_general,KP-inventory_rescue-three-sentence-discipline
VS-KP-inventory_rescue-three-sentence-discipline-three_forbid,no_substitute_as_original,不把替代说成原款,2,domain_general,KP-inventory_rescue-three-sentence-discipline
VS-KP-inventory_rescue-three-sentence-discipline-three_forbid,no_burden_on_customer_for_destock,不让顾客替门店承担不合适,3,domain_general,KP-inventory_rescue-three-sentence-discipline
