runtime_asset_id,pack_id,granularity_layer,asset_type,source_md,source_anchor,line_no,title,summary,source_pointer,brand_layer,registered_at
RA-service_judgment-weekend-social,KP-service_judgment-weekend-social,L3,dialogue_template,,,-1,周末状态感话术,周末社交客先问见谁和想呈现的状态，再按同气质方向推荐替代。,candidates/domain_general/KP-service_judgment-weekend-social.yaml#runtime_asset,domain_general,2026-05-04T01:32:17Z
RA-training_unit-content-template-saturation-anti-pattern,KP-training_unit-content-template-saturation-anti-pattern,L3,dialogue_template,,,-1,模板饱和反模式话术,提醒内容团队识别模板化表达过饱和的问题，避免继续复用失效口播框架。,candidates/domain_general/KP-training_unit-content-template-saturation-anti-pattern.yaml#runtime_asset,domain_general,2026-05-04T01:32:17Z
RA-training_unit-customer-first-look-judgment,KP-training_unit-customer-first-look-judgment,L3,action_template,,,-1,进店第一眼判断动作,顾客进店先分场景型单品型体感型价格型，再决定开口角度。,candidates/domain_general/KP-training_unit-customer-first-look-judgment.yaml#runtime_asset,domain_general,2026-05-04T01:32:17Z
RA-training_unit-fabric-touch-before-spec,KP-training_unit-fabric-touch-before-spec,L3,action_template,,,-1,先摸后讲面料动作,解释面料前先让顾客摸到袖口里层领口等关键点，再补充参数。,candidates/domain_general/KP-training_unit-fabric-touch-before-spec.yaml#runtime_asset,domain_general,2026-05-04T01:32:17Z
RA-training_unit-kuleshov-context-driven-emotion-edit,KP-training_unit-kuleshov-context-driven-emotion-edit,L3,shot_template,,,-1,上下文情绪剪辑镜头,通过前后镜头上下文改变同一表情或衣物动作的情绪含义，形成可复用剪辑模板。,candidates/domain_general/KP-training_unit-kuleshov-context-driven-emotion-edit.yaml#runtime_asset,domain_general,2026-05-04T01:32:17Z
RA-training_unit-microlearning-not-long-course,KP-training_unit-microlearning-not-long-course,L3,role_split,,,-1,微学习训练分工,把门店培训拆给微学习即时支持情境训练和复现检查，避免长课式完成假象。,candidates/domain_general/KP-training_unit-microlearning-not-long-course.yaml#runtime_asset,domain_general,2026-05-04T01:32:17Z
RA-training_unit-product-review-anti-filter-pledge,KP-training_unit-product-review-anti-filter-pledge,L3,shot_template,,,-1,反滤镜测评镜头,测评开头用原相机自然光不拉腿不美颜声明建立信任，再进入体感测试。,candidates/domain_general/KP-training_unit-product-review-anti-filter-pledge.yaml#runtime_asset,domain_general,2026-05-04T01:32:17Z
RA-training_unit-relational-witness-over-monologue,KP-training_unit-relational-witness-over-monologue,L3,action_template,,,-1,关系见证替代独白,用人与人之间的反应和见证动作承载表达，替代单人长篇独白。,candidates/domain_general/KP-training_unit-relational-witness-over-monologue.yaml#runtime_asset,domain_general,2026-05-04T01:32:17Z
RA-training_unit-role-binding-frontline-priority,KP-training_unit-role-binding-frontline-priority,L3,role_split,,,-1,前线岗位优先分工,首批培训优先绑定店长导购仓库主管三类前线岗位，避免资源喂给次级岗位。,candidates/domain_general/KP-training_unit-role-binding-frontline-priority.yaml#runtime_asset,domain_general,2026-05-04T01:32:17Z
RA-training_unit-role-profile-required-skills-binding,KP-training_unit-role-profile-required-skills-binding,L3,action_template,,,-1,角色技能绑定动作,把陈列搭配技能作为角色能力清单绑定到训练目标，而不是新增核心对象。,candidates/domain_general/KP-training_unit-role-profile-required-skills-binding.yaml#runtime_asset,domain_general,2026-05-04T01:32:17Z
RA-training_unit-silence-as-pattern-interrupt,KP-training_unit-silence-as-pattern-interrupt,L3,dialogue_template,,,-1,沉默打断惯性话术,在高频推销或解释惯性中使用克制停顿，让顾客重新进入判断而不是被信息淹没。,candidates/domain_general/KP-training_unit-silence-as-pattern-interrupt.yaml#runtime_asset,domain_general,2026-05-04T01:32:17Z
RA-training_unit-standard-action-vs-judgment-skill,KP-training_unit-standard-action-vs-judgment-skill,L3,action_template,,,-1,标准动作判断力拆分,先区分标准动作和判断力两类训练，再分别设计手部动作和情境演练。,candidates/domain_general/KP-training_unit-standard-action-vs-judgment-skill.yaml#runtime_asset,domain_general,2026-05-04T01:32:17Z
RA-training_unit-store-manager-rhythm-first,KP-training_unit-store-manager-rhythm-first,L3,role_split,,,-1,店长节奏优先分工,店长先按货场店员顾客后场的节奏顺序判断整店状态，再处理成交。,candidates/domain_general/KP-training_unit-store-manager-rhythm-first.yaml#runtime_asset,domain_general,2026-05-04T01:32:17Z
